Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
83.81,-0.18,-2.15,0,0,0,0
5131.00,-0.36,-0.04,0,0,0,0
5136.81,-0.54,-30.96,0,1,0,0
5140.26,-0.36,52.17,0,1,0,0
5146.76,-0.18,27.69,0,1,0,0
5150.97,0.00,42.74,0,1,0,0
5153.59,0.18,68.81,0,1,0,0
5156.65,0.36,58.79,0,1,0,0
5158.59,0.54,93.07,0,1,0,0
5160.69,0.72,85.51,0,1,0,0
5162.91,0.90,81.12,0,1,0,0
5164.73,1.08,98.79,0,1,0,0
5166.35,1.26,111.73,0,1,0,0
5168.12,1.44,101.47,0,1,0,0
5169.88,1.62,101.98,0,1,0,0
5171.33,1.80,124.48,0,1,0,0
5172.88,1.98,116.20,0,1,0,0
5174.33,2.16,123.54,0,1,0,0
5175.76,2.34,126.58,1,0,0,0
5177.19,2.52,125.79,1,0,0,0
5178.47,2.70,140.73,1,0,0,0
5179.81,2.88,134.23,1,0,0,0
5181.03,3.06,147.18,1,0,0,0
5182.22,3.24,151.64,1,0,0,0
5183.38,3.42,155.57,1,0,0,0
5184.54,3.60,154.24,1,0,0,0
5185.75,3.78,149.01,1,0,0,0
5186.97,3.96,148.27,1,0,0,0
5188.21,4.14,144.93,1,0,0,0
5189.08,4.32,206.66,1,0,0,0
5190.15,4.50,167.29,1,0,0,0
5191.25,4.68,164.99,1,0,0,0
5192.65,4.86,128.57,1,0,0,0
5193.73,5.04,166.20,1,0,0,0
5194.80,5.22,169.01,1,0,0,0
5195.89,5.40,164.53,1,0,0,0
5197.09,5.58,150.38,1,0,0,0
5198.17,5.76,166.67,1,0,0,0
5199.34,5.94,153.06,1,0,0,0
5200.58,6.12,145.28,1,0,0,0
5201.80,6.30,147.54,1,0,0,0
5202.85,6.48,172.08,1,0,0,0
5203.98,6.66,158.73,1,0,0,0
5205.15,6.84,154.11,1,0,0,0
5206.40,7.02,143.43,1,0,0,0
5207.54,7.20,158.03,1,0,0,0
5208.66,7.38,161.29,1,0,0,0
5209.70,7.56,172.41,1,0,0,0
5210.78,7.74,166.98,1,0,0,0
5211.91,7.92,160.00,1,0,0,0
5213.02,8.10,162.31,1,0,0,0
5214.26,8.28,144.46,1,0,0,0
5215.50,8.46,145.28,1,0,0,0
5216.69,8.64,152.03,1,0,0,0
5217.72,8.82,174.25,1,0,0,0
5218.85,9.00,159.57,1,0,0,0
5219.95,9.18,163.49,1,0,0,0
5221.02,9.36,167.44,1,0,0,0
5222.22,9.54,150.13,1,0,0,0
5223.45,9.72,146.82,1,0,0,0
5224.61,9.90,154.91,1,0,0,0
5225.76,10.08,156.25,1,0,0,0
5226.99,10.26,146.82,1,0,0,0
5228.11,10.44,160.14,1,0,0,0
5229.21,10.62,164.23,1,0,0,0
5230.31,10.80,164.08,1,0,0,0
5231.41,10.98,162.90,1,0,0,0
5232.58,11.16,154.11,1,0,0,0
5233.81,11.34,146.34,1,0,0,0
5234.91,11.52,163.49,1,0,0,0
5236.04,11.70,159.43,1,0,0,0
5237.19,11.88,156.39,1,0,0,0
5238.33,12.06,158.31,1,0,0,0
5239.50,12.24,153.32,1,0,0,0
5240.65,12.42,156.39,1,0,0,0
5241.78,12.60,159.43,1,0,0,0
5242.98,12.78,149.63,1,0,0,0
5244.10,12.96,161.00,1,0,0,0
5245.24,13.14,158.03,1,0,0,0
5246.37,13.32,159.01,1,0,0,0
5247.51,13.50,158.59,1,0,0,0
