Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
784.62,0.18,0.23,0,1,0,0
3807.73,0.00,-0.06,0,1,0,0
3816.36,-0.18,-20.84,0,1,0,0
3822.16,-0.36,-31.03,0,1,0,0
3826.89,-0.54,-38.08,0,1,0,0
3831.09,-0.72,-42.83,0,1,0,0
3835.06,-0.90,-45.39,0,1,0,0
3838.88,-1.08,-47.12,0,1,0,0
3842.59,-1.26,-48.47,0,1,0,0
3846.19,-1.44,-50.10,0,1,0,0
3849.67,-1.62,-51.64,0,1,0,0
3853.08,-1.80,-52.80,0,1,0,0
3856.41,-1.98,-54.12,0,1,0,0
3859.67,-2.16,-55.13,0,1,0,0
3862.86,-2.34,-56.37,0,1,0,0
3866.01,-2.52,-57.12,0,1,0,0
3869.11,-2.70,-58.10,0,1,0,0
3872.15,-2.88,-59.21,0,1,0,0
3875.16,-3.06,-59.80,0,1,0,0
3878.13,-3.24,-60.65,0,1,0,0
3881.06,-3.42,-61.45,0,1,0,0
3883.95,-3.60,-62.39,0,1,0,0
3886.82,-3.78,-62.57,0,1,0,0
3889.68,-3.96,-62.94,0,1,0,0
3892.52,-4.14,-63.42,0,1,0,0
3895.36,-4.32,-63.47,0,1,0,0
3898.18,-4.50,-63.78,0,1,0,0
3901.00,-4.68,-63.88,0,1,0,0
3903.81,-4.86,-64.06,0,1,0,0
3906.61,-5.04,-64.10,0,1,0,0
3909.40,-5.22,-64.66,0,1,0,0
3912.15,-5.40,-65.45,0,1,0,0
3914.98,-5.58,-63.65,0,1,0,0
3917.76,-5.76,-64.68,0,1,0,0
3920.52,-5.94,-65.10,0,1,0,0
3923.25,-6.12,-66.13,0,1,0,0
3926.03,-6.30,-64.66,0,1,0,0
3928.77,-6.48,-65.79,0,1,0,0
3931.48,-6.66,-66.42,0,1,0,0
3934.17,-6.84,-66.89,0,1,0,0
3936.84,-7.02,-67.31,0,1,0,0
3939.49,-7.20,-67.98,0,1,0,0
3942.11,-7.38,-68.70,0,1,0,0
3944.71,-7.56,-69.34,0,1,0,0
3947.28,-7.74,-69.88,0,1,0,0
3949.81,-7.92,-71.06,0,1,0,0
3952.32,-8.10,-71.83,0,1,0,0
3954.79,-8.28,-72.82,0,1,0,0
3957.24,-8.46,-73.62,0,1,0,0
3959.65,-8.64,-74.75,0,1,0,0
3962.01,-8.82,-75.98,0,1,0,0
3964.35,-9.00,-76.99,0,1,0,0
3966.61,-9.18,-79.61,0,1,0,0
3968.94,-9.36,-77.42,0,1,0,0
3971.18,-9.54,-80.18,0,1,0,0
3973.40,-9.72,-81.12,0,1,0,0
3975.59,-9.90,-82.27,0,1,0,0
3977.75,-10.08,-83.33,0,1,0,0
3979.88,-10.26,-84.47,0,1,0,0
3981.99,-10.44,-85.43,0,1,0,0
3984.07,-10.62,-86.37,0,1,0,0
3986.13,-10.80,-87.46,0,1,0,0
3988.16,-10.98,-88.58,0,1,0,0
3990.18,-11.16,-89.24,0,1,0,0
3992.18,-11.34,-90.18,0,1,0,0
3994.15,-11.52,-91.05,0,1,0,0
3996.11,-11.70,-91.93,0,1,0,0
3998.05,-11.88,-92.69,0,1,0,0
3999.98,-12.06,-93.46,0,1,0,0
4001.88,-12.24,-94.64,0,1,0,0
4003.77,-12.42,-95.39,0,1,0,0
4005.64,-12.60,-96.05,0,1,0,0
4007.50,-12.78,-97.09,0,1,0,0
4009.34,-12.96,-97.56,0,1,0,0
4011.13,-13.14,-100.84,0,1,0,0
4012.95,-13.32,-98.85,0,1,0,0
4014.80,-13.50,-96.88,0,1,0,0
4016.60,-13.68,-100.22,0,1,0,0
4018.39,-13.86,-100.78,0,1,0,0
4020.16,-14.04,-101.29,0,1,0,0
4021.92,-14.22,-102.51,0,1,0,0
4023.68,-14.40,-102.51,0,1,0,0
4025.42,-14.58,-103.09,0,1,0,0
4027.15,-14.76,-104.17,0,1,0,0
4028.88,-14.94,-104.05,0,1,0,0
4030.60,-15.12,-104.71,0,1,0,0
4032.26,-15.30,-108.37,0,1,0,0
4034.01,-15.48,-102.86,0,1,0,0
4035.66,-15.66,-109.29,0,1,0,0
4037.35,-15.84,-106.26,0,1,0,0
4039.03,-16.02,-107.02,0,1,0,0
4040.75,-16.20,-104.90,0,1,0,0
4042.38,-16.38,-110.70,0,1,0,0
4044.09,-16.56,-105.14,0,1,0,0
4045.74,-16.74,-108.63,0,1,0,0
4047.40,-16.92,-108.96,0,1,0,0
