Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1061.25,-0.18,-0.17,0,1,0,0,1061.249023
1070.57,-0.36,-19.31,0,1,0,0,1070.572021
1076.66,-0.54,-29.59,0,1,0,0,1076.655029
1081.61,-0.72,-36.33,0,1,0,0,1081.610962
1085.89,-0.90,-42.05,0,1,0,0,1085.891968
1089.94,-1.08,-44.47,0,1,0,0,1089.939941
1093.66,-1.26,-48.39,0,1,0,0,1093.660034
1097.19,-1.44,-50.99,0,1,0,0,1097.189941
1100.64,-1.62,-52.17,0,1,0,0,1100.640015
1103.97,-1.80,-54.05,0,1,0,0,1103.969971
1107.20,-1.98,-55.69,0,1,0,0,1107.202026
1110.42,-2.16,-56.00,0,1,0,0,1110.416992
1113.59,-2.34,-56.73,0,1,0,0,1113.589966
1116.69,-2.52,-57.97,0,1,0,0,1116.694946
1119.75,-2.70,-58.94,0,1,0,0,1119.749023
1122.82,-2.88,-58.69,0,1,0,0,1122.816040
1125.84,-3.06,-59.52,0,1,0,0,1125.839966
1128.80,-3.24,-60.87,0,1,0,0,1128.796997
1131.76,-3.42,-60.85,0,1,0,0,1131.755981
1134.67,-3.60,-61.79,0,1,0,0,1134.667969
1137.54,-3.78,-62.74,0,1,0,0,1137.537964
1140.52,-3.96,-60.34,0,1,0,0,1140.520996
1143.42,-4.14,-62.00,0,1,0,0,1143.423950
1146.31,-4.32,-62.46,0,1,0,0,1146.307007
1149.22,-4.50,-61.88,0,1,0,0,1149.215942
1152.09,-4.68,-62.52,0,1,0,0,1152.094971
1154.97,-4.86,-62.61,0,1,0,0,1154.969971
1157.84,-5.04,-62.81,0,1,0,0,1157.836060
1160.75,-5.22,-61.71,0,1,0,0,1160.753052
1163.56,-5.40,-64.06,0,1,0,0,1163.562988
1166.39,-5.58,-63.67,0,1,0,0,1166.390991
1169.22,-5.76,-63.51,0,1,0,0,1169.223999
1172.08,-5.94,-63.09,0,1,0,0,1172.077026
1174.89,-6.12,-63.97,0,1,0,0,1174.890991
1177.70,-6.30,-64.08,0,1,0,0,1177.699951
1180.47,-6.48,-64.89,0,1,0,0,1180.473999
1183.26,-6.66,-64.59,0,1,0,0,1183.260986
1186.00,-6.84,-65.72,0,1,0,0,1186.000977
1188.76,-7.02,-65.29,0,1,0,0,1188.758057
1191.45,-7.20,-66.86,0,1,0,0,1191.451050
1194.16,-7.38,-66.37,0,1,0,0,1194.162964
1196.86,-7.56,-66.82,0,1,0,0,1196.857056
1199.54,-7.74,-67.11,0,1,0,0,1199.538940
1202.21,-7.92,-67.42,0,1,0,0,1202.208984
1204.88,-8.10,-67.47,0,1,0,0,1204.876953
1207.49,-8.28,-68.81,0,1,0,0,1207.493042
1210.10,-8.46,-69.15,0,1,0,0,1210.095947
1212.67,-8.64,-69.90,0,1,0,0,1212.671021
1215.26,-8.82,-69.50,0,1,0,0,1215.261963
1217.81,-9.00,-70.64,0,1,0,0,1217.810059
1220.36,-9.18,-70.53,0,1,0,0,1220.363037
1222.90,-9.36,-71.03,0,1,0,0,1222.897949
1225.41,-9.54,-71.54,0,1,0,0,1225.412964
1227.93,-9.72,-71.57,0,1,0,0,1227.927979
1230.42,-9.90,-72.23,0,1,0,0,1230.420044
1232.90,-10.08,-72.58,0,1,0,0,1232.901001
1235.35,-10.26,-73.38,0,1,0,0,1235.354004
1237.79,-10.44,-73.95,0,1,0,0,1237.787964
1240.18,-10.62,-75.22,0,1,0,0,1240.181030
1242.52,-10.80,-76.92,0,1,0,0,1242.520996
1244.88,-10.98,-76.47,0,1,0,0,1244.875000
1247.22,-11.16,-76.82,0,1,0,0,1247.218018
1249.52,-11.34,-78.06,0,1,0,0,1249.524048
1251.82,-11.52,-78.33,0,1,0,0,1251.822998
1254.10,-11.70,-79.19,0,1,0,0,1254.095947
1256.38,-11.88,-78.84,0,1,0,0,1256.379028
1258.62,-12.06,-80.18,0,1,0,0,1258.624023
1260.86,-12.24,-80.54,0,1,0,0,1260.859009
1263.07,-12.42,-81.56,0,1,0,0,1263.067017
1265.25,-12.60,-82.34,0,1,0,0,1265.253052
1267.44,-12.78,-82.38,0,1,0,0,1267.437988
1269.60,-12.96,-83.37,0,1,0,0,1269.597046
1271.75,-13.14,-83.49,0,1,0,0,1271.754028
1273.88,-13.32,-84.59,0,1,0,0,1273.880981
1276.02,-13.50,-84.23,0,1,0,0,1276.017944
1278.14,-13.68,-84.75,0,1,0,0,1278.141968
1280.28,-13.86,-84.23,0,1,0,0,1280.279053
1282.40,-14.04,-84.99,0,1,0,0,1282.396973
1284.51,-14.22,-85.39,0,1,0,0,1284.505005
1286.64,-14.40,-84.31,0,1,0,0,1286.640015
1288.76,-14.58,-85.03,0,1,0,0,1288.756958
1290.88,-14.76,-84.95,0,1,0,0,1290.875977
1292.97,-14.94,-85.80,0,1,0,0,1292.973999
1295.08,-15.12,-85.43,0,1,0,0,1295.082031
1297.19,-15.30,-85.19,0,1,0,0,1297.193970
1299.33,-15.48,-84.27,0,1,0,0,1299.329956
1301.43,-15.66,-85.55,0,1,0,0,1301.433960
1303.56,-15.84,-84.51,0,1,0,0,1303.563965
1305.71,-16.02,-83.84,0,1,0,0,1305.711060
1307.85,-16.20,-84.19,0,1,0,0,1307.848999
1310.02,-16.38,-82.83,0,1,0,0,1310.021973
1312.18,-16.56,-83.45,0,1,0,0,1312.178955
1314.36,-16.74,-82.34,0,1,0,0,1314.364990
1316.53,-16.92,-83.06,0,1,0,0,1316.531982
1318.70,-17.10,-82.83,0,1,0,0,1318.704956
1320.91,-17.28,-81.78,0,1,0,0,1320.906006
1323.07,-17.46,-83.22,0,1,0,0,1323.069946
1325.36,-17.64,-78.71,0,1,0,0,1325.357056
1327.59,-17.82,-80.50,0,1,0,0,1327.593018
1329.84,-18.00,-80.21,0,1,0,0,1329.837036
1332.10,-18.18,-79.37,0,1,0,0,1332.104980
1334.40,-18.36,-78.50,0,1,0,0,1334.397949
1336.70,-18.54,-78.06,0,1,0,0,1336.703979
1339.02,-18.72,-77.85,0,1,0,0,1339.016968
1341.35,-18.90,-77.09,0,1,0,0,1341.350952
1343.69,-19.08,-77.09,0,1,0,0,1343.686035
1346.02,-19.26,-77.05,0,1,0,0,1346.021973
1348.39,-19.44,-75.89,0,1,0,0,1348.394043
1350.77,-19.62,-75.82,0,1,0,0,1350.767944
1353.11,-19.80,-76.86,0,1,0,0,1353.109985
1355.52,-19.98,-74.69,0,1,0,0,1355.520020
1357.91,-20.16,-75.28,0,1,0,0,1357.911011
1360.32,-20.34,-74.75,0,1,0,0,1360.318970
1362.75,-20.52,-73.98,0,1,0,0,1362.751953
1365.16,-20.70,-74.84,0,1,0,0,1365.156982
1367.60,-20.88,-73.80,0,1,0,0,1367.595947
1370.04,-21.06,-73.77,0,1,0,0,1370.036011
1372.47,-21.24,-73.92,0,1,0,0,1372.470947
1374.92,-21.42,-73.56,0,1,0,0,1374.917969
1377.36,-21.60,-73.71,0,1,0,0,1377.359985
1379.79,-21.78,-74.20,0,1,0,0,1379.786011
1382.22,-21.96,-73.89,0,1,0,0,1382.222046
1384.66,-22.14,-73.74,0,1,0,0,1384.662964
1387.10,-22.32,-73.74,0,1,0,0,1387.104004
1389.56,-22.50,-73.17,0,1,0,0,1389.564941
1392.02,-22.68,-73.26,0,1,0,0,1392.021973
1394.47,-22.86,-73.50,0,1,0,0,1394.470947
1396.94,-23.04,-72.79,0,1,0,0,1396.943970
1399.40,-23.22,-73.41,0,1,0,0,1399.395996
1401.85,-23.40,-73.32,0,1,0,0,1401.852051
1404.29,-23.58,-73.83,0,1,0,0,1404.290039
1406.71,-23.76,-74.23,0,1,0,0,1406.714966
1409.16,-23.94,-73.71,0,1,0,0,1409.156982
1411.57,-24.12,-74.57,0,1,0,0,1411.572021
1413.98,-24.30,-74.78,0,1,0,0,1413.978027
1416.38,-24.48,-75.03,0,1,0,0,1416.376953
1418.77,-24.66,-75.16,0,1,0,0,1418.771973
1421.16,-24.84,-75.54,0,1,0,0,1421.155029
1423.52,-25.02,-76.17,0,1,0,0,1423.517944
1425.82,-25.20,-78.02,0,1,0,0,1425.824951
1428.21,-25.38,-75.35,0,1,0,0,1428.213989
1430.56,-25.56,-76.89,0,1,0,0,1430.555054
1432.87,-25.74,-77.72,0,1,0,0,1432.870972
1435.19,-25.92,-77.49,0,1,0,0,1435.193970
1437.50,-26.10,-78.06,0,1,0,0,1437.500000
1439.80,-26.28,-78.19,0,1,0,0,1439.802002
1442.10,-26.46,-78.43,0,1,0,0,1442.097046
1444.38,-26.64,-78.91,0,1,0,0,1444.378052
1446.66,-26.82,-78.77,0,1,0,0,1446.662964
1448.93,-27.00,-79.47,0,1,0,0,1448.927979
1451.19,-27.18,-79.40,0,1,0,0,1451.194946
1453.47,-27.36,-78.95,0,1,0,0,1453.474976
1455.74,-27.54,-79.37,0,1,0,0,1455.743042
1458.02,-27.72,-79.05,0,1,0,0,1458.020020
1460.30,-27.90,-78.88,0,1,0,0,1460.302002
1462.61,-28.08,-78.06,0,1,0,0,1462.608032
