Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.86,-0.24,-0.00,0,0,0,0
6.15,-0.24,-0.00,1,1,0,0
11.46,-0.24,-0.00,1,1,0,0
16.78,-0.24,-0.00,1,1,0,0
22.26,-0.24,-0.00,1,1,0,0
27.59,-0.24,-0.00,1,1,0,0
32.91,-0.24,-0.00,1,1,0,0
38.24,-0.24,-0.00,1,1,0,0
43.57,-0.24,-0.00,1,1,0,0
48.90,-0.24,-0.00,1,1,0,0
54.23,-0.24,-0.00,1,1,0,0
59.56,-0.24,-0.00,1,1,0,0
64.78,-0.24,-0.00,1,1,0,0
70.11,-0.24,-0.00,1,1,0,0
75.44,-0.24,-0.00,1,1,0,0
80.77,-0.24,-0.00,1,1,0,0
86.10,-0.24,-0.00,1,1,0,0
91.42,-0.24,-0.00,1,1,0,0
96.75,-0.24,-0.00,1,1,0,0
102.09,-0.24,-0.00,1,1,0,0
107.42,-0.24,-0.00,1,1,0,0
112.75,-0.24,-0.00,1,1,0,0
118.00,-0.24,-0.00,1,1,0,0
123.12,-0.24,-0.00,1,1,0,0
128.26,-0.24,-0.00,1,1,0,0
133.34,-0.24,-0.00,1,1,0,0
138.48,-0.24,-0.00,1,1,0,0
143.62,-0.24,-0.00,1,1,0,0
148.76,-0.24,-0.00,1,1,0,0
153.85,-0.24,-0.00,1,1,0,0
158.99,-0.24,-0.00,1,1,0,0
164.12,-0.24,-0.00,1,1,0,0
169.26,-0.24,-0.00,1,1,0,0
174.40,-0.24,-0.00,1,1,0,0
179.53,-0.24,-0.00,1,1,0,0
184.67,-0.24,-0.00,1,1,0,0
189.80,-0.24,-0.00,1,1,0,0
194.94,-0.24,-0.00,1,1,0,0
200.07,-0.24,-0.00,1,1,0,0
205.20,-0.24,-0.00,1,1,0,0
210.35,-0.24,-0.00,1,1,0,0
215.48,-0.24,-0.00,1,1,0,0
220.61,-0.24,-0.00,1,1,0,0
225.75,-0.24,-0.00,1,1,0,0
230.88,-0.24,-0.00,1,1,0,0
236.01,-0.24,-0.00,1,1,0,0
241.15,-0.24,-0.00,1,1,0,0
246.28,-0.24,-0.00,1,1,0,0
251.41,-0.24,-0.00,1,1,0,0
256.55,-0.24,-0.00,1,1,0,0
261.68,-0.24,-0.00,1,1,0,0
266.81,-0.24,-0.00,1,1,0,0
271.95,-0.24,-0.00,1,1,0,0
277.08,-0.24,-0.00,1,1,0,0
282.22,-0.24,-0.00,1,1,0,0
287.35,-0.24,-0.00,1,1,0,0
292.49,-0.24,-0.00,1,1,0,0
297.62,-0.24,-0.00,1,1,0,0
302.75,-0.24,-0.00,1,1,0,0
307.88,-0.24,-0.00,1,1,0,0
313.02,-0.24,-0.00,1,1,0,0
318.15,-0.24,-0.00,1,1,0,0
323.30,-0.24,-0.00,1,1,0,0
328.43,-0.24,-0.00,1,1,0,0
333.56,-0.24,-0.00,1,1,0,0
338.69,-0.24,-0.00,1,1,0,0
343.83,-0.24,-0.00,1,1,0,0
348.96,-0.24,-0.00,1,1,0,0
354.09,-0.24,-0.00,1,1,0,0
359.22,-0.24,-0.00,1,1,0,0
364.36,-0.24,-0.00,1,1,0,0
369.49,-0.24,-0.00,1,1,0,0
374.62,-0.24,-0.00,1,1,0,0
379.75,-0.24,-0.00,1,1,0,0
384.89,-0.24,-0.00,1,1,0,0
390.02,-0.24,-0.00,1,1,0,0
395.15,-0.24,-0.00,1,1,0,0
400.28,-0.24,-0.00,1,1,0,0
405.42,-0.24,-0.00,1,1,0,0
410.55,-0.24,-0.00,1,1,0,0
415.68,-0.24,-0.00,1,1,0,0
420.81,-0.24,-0.00,1,1,0,0
425.95,-0.24,-0.00,1,1,0,0
431.08,-0.24,-0.00,1,1,0,0
