Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
727.83,-0.18,-0.25,0,1,0,0
781.63,-0.36,-3.35,0,1,0,0
811.87,-0.54,-5.95,0,1,0,0
835.50,-0.72,-7.62,0,1,0,0
855.95,-0.90,-8.80,0,1,0,0
873.82,-1.08,-10.07,0,1,0,0
890.27,-1.26,-10.94,0,1,0,0
905.41,-1.44,-11.89,0,1,0,0
919.64,-1.62,-12.65,0,1,0,0
933.19,-1.80,-13.28,0,1,0,0
946.08,-1.98,-13.97,0,1,0,0
958.48,-2.16,-14.51,0,1,0,0
970.42,-2.34,-15.07,0,1,0,0
981.91,-2.52,-15.67,0,1,0,0
993.01,-2.70,-16.22,0,1,0,0
1003.85,-2.88,-16.60,0,1,0,0
1014.40,-3.06,-17.06,0,1,0,0
1024.68,-3.24,-17.51,0,1,0,0
1034.72,-3.42,-17.92,0,1,0,0
1044.60,-3.60,-18.22,0,1,0,0
1054.26,-3.78,-18.64,0,1,0,0
1063.67,-3.96,-19.14,0,1,0,0
1072.90,-4.14,-19.49,0,1,0,0
1081.83,-4.32,-20.15,0,1,0,0
1086.19,-4.50,-41.35,0,1,0,0
1089.51,-4.68,-54.23,0,1,0,0
1092.50,-4.86,-60.16,0,1,0,0
1095.09,-5.04,-69.31,0,1,0,0
1097.60,-5.22,-71.88,0,1,0,0
1099.88,-5.40,-78.77,0,1,0,0
1102.05,-5.58,-82.91,0,1,0,0
1104.23,-5.76,-82.53,0,1,0,0
1106.30,-5.94,-87.08,0,1,0,0
1108.27,-6.12,-91.70,0,1,0,0
1110.30,-6.30,-88.41,0,1,0,0
1112.21,-6.48,-94.39,0,1,0,0
1114.13,-6.66,-93.75,0,1,0,0
1116.07,-6.84,-92.78,0,1,0,0
1117.94,-7.02,-96.10,0,1,0,0
1119.74,-7.20,-100.33,0,1,0,0
1121.59,-7.38,-97.30,0,1,0,0
1123.49,-7.56,-94.59,0,1,0,0
1125.32,-7.74,-98.47,0,1,0,0
1127.18,-7.92,-96.72,0,1,0,0
1129.04,-8.10,-96.83,0,1,0,0
1130.95,-8.28,-94.09,0,1,0,0
1132.80,-8.46,-97.19,0,1,0,0
1134.61,-8.64,-99.83,0,1,0,0
1136.46,-8.82,-96.93,0,1,0,0
1138.38,-9.00,-94.14,0,1,0,0
1140.24,-9.18,-96.67,0,1,0,0
1142.05,-9.36,-99.17,0,1,0,0
1143.92,-9.54,-96.46,0,1,0,0
1145.79,-9.72,-96.21,0,1,0,0
1147.66,-9.90,-96.46,0,1,0,0
1149.53,-10.08,-96.10,0,1,0,0
1151.41,-10.26,-95.80,0,1,0,0
1153.33,-10.44,-93.56,0,1,0,0
1155.16,-10.62,-98.52,0,1,0,0
1157.04,-10.80,-95.59,0,1,0,0
1158.99,-10.98,-92.59,0,1,0,0
1160.86,-11.16,-96.15,0,1,0,0
