Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.96,0.18,0.00,0,0,0,0
6.37,0.18,0.00,0,0,0,0
11.78,0.36,23.66,0,0,0,0
17.07,0.54,55.63,0,0,0,0
22.50,0.54,55.63,0,0,0,0
27.92,0.54,55.63,0,0,0,0
33.34,0.54,55.63,0,0,0,0
38.77,0.54,55.63,0,0,0,0
44.19,0.54,55.63,0,0,0,0
49.61,0.54,55.63,0,0,0,0
55.03,0.54,55.63,0,0,0,0
60.48,0.54,55.63,0,0,0,0
65.91,0.54,55.63,0,0,0,0
71.33,0.54,55.63,0,0,0,0
76.80,0.72,4.17,0,0,0,0
82.22,0.72,4.17,0,0,0,0
87.64,0.72,4.17,0,0,0,0
93.06,0.72,4.17,0,0,0,0
98.49,0.72,4.17,0,0,0,0
103.79,0.72,4.17,0,0,0,0
109.21,0.72,4.17,0,0,0,0
114.52,0.72,4.17,0,0,0,0
119.74,0.72,4.17,0,0,0,0
124.90,0.72,4.17,0,0,0,0
130.08,0.72,4.17,0,0,0,0
135.24,0.72,4.17,0,0,0,0
140.41,0.72,4.17,0,0,0,0
145.57,0.72,4.17,0,0,0,0
150.74,0.72,4.17,0,0,0,0
155.90,0.72,4.17,0,0,0,0
161.06,0.54,-2.81,0,0,0,0
166.23,0.54,-2.81,0,0,0,0
171.39,0.54,-2.81,0,0,0,0
176.54,0.54,-2.81,0,0,0,0
181.69,0.54,-2.81,0,0,0,0
186.84,0.54,-2.81,0,0,0,0
192.00,0.54,-2.81,0,0,0,0
197.15,0.54,-2.81,0,0,0,0
202.30,0.54,-2.81,0,0,0,0
207.45,0.54,-2.81,0,0,0,0
212.61,0.54,-2.81,0,0,0,0
217.76,0.54,-2.81,0,0,0,0
222.91,0.54,-2.81,0,0,0,0
228.06,0.54,-2.81,0,0,0,0
233.21,0.54,-2.81,0,0,0,0
238.37,0.54,-2.81,0,0,0,0
243.52,0.54,-2.81,0,0,0,0
248.67,0.54,-2.81,0,0,0,0
253.82,0.72,2.57,0,0,0,0
258.97,0.72,2.57,0,0,0,0
264.07,0.72,2.57,0,0,0,0
269.22,0.72,2.57,0,0,0,0
274.38,0.72,2.57,0,0,0,0
279.53,0.72,2.57,0,0,0,0
284.68,0.72,2.57,0,0,0,0
289.83,0.72,2.57,0,0,0,0
294.98,0.72,2.57,0,0,0,0
300.13,0.72,2.57,0,0,0,0
305.28,0.72,2.57,0,0,0,0
310.44,0.72,2.57,0,0,0,0
315.59,0.72,2.57,0,0,0,0
320.74,0.72,2.57,0,0,0,0
325.89,0.72,2.57,0,0,0,0
331.04,0.72,2.57,0,0,0,0
336.20,0.72,2.57,0,0,0,0
341.35,0.72,2.57,0,0,0,0
346.50,0.72,2.57,0,0,0,0
351.65,0.72,2.57,0,0,0,0
356.80,0.72,2.57,0,0,0,0
361.95,0.72,2.57,0,0,0,0
367.11,0.72,2.57,0,0,0,0
372.26,0.72,2.57,0,0,0,0
377.41,0.72,2.57,0,0,0,0
382.56,0.72,2.57,0,0,0,0
387.72,0.72,2.57,0,0,0,0
392.87,0.72,2.57,0,0,0,0
398.02,0.72,2.57,0,0,0,0
403.17,0.72,2.57,0,0,0,0
408.32,0.72,2.57,0,0,0,0
413.43,0.72,2.57,0,0,0,0
418.58,0.72,2.57,0,0,0,0
423.73,0.72,2.57,0,0,0,0
428.88,0.72,2.57,0,0,0,0
434.03,0.72,2.57,0,0,0,0
439.18,0.72,2.57,0,0,0,0
444.34,0.72,2.57,0,0,0,0
