Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.77,0.36,234.68,0,0,0,0
3.14,0.54,57.40,0,0,0,0
2.97,0.72,60.63,0,0,0,0
3.20,0.90,56.27,0,0,0,0
3.12,1.08,57.73,0,0,0,0
3.09,1.26,58.29,0,1,0,0
2.70,1.44,66.77,0,1,0,0
3.37,1.62,53.41,0,1,0,0
3.04,1.80,59.25,0,1,0,0
3.35,1.98,53.73,0,1,0,0
3.21,2.16,56.02,0,1,0,0
3.41,2.34,52.71,0,1,0,0
3.28,2.52,54.95,0,1,0,0
3.42,2.70,52.59,0,1,0,0
3.33,2.88,53.99,0,1,0,0
3.44,3.06,52.26,0,1,0,0
3.46,3.24,52.02,0,1,0,0
3.50,3.42,51.37,0,1,0,0
3.52,3.60,51.12,0,1,0,0
3.59,3.78,50.20,0,1,0,0
3.61,3.96,49.85,0,1,0,0
3.73,4.14,48.27,0,1,0,0
3.66,4.32,49.13,0,1,0,0
3.78,4.50,47.66,0,1,0,0
3.85,4.68,46.78,0,1,0,0
3.91,4.86,46.01,0,1,0,0
3.93,5.04,45.77,0,1,0,0
4.03,5.22,44.68,0,1,0,0
4.05,5.40,44.44,0,1,0,0
4.12,5.58,43.64,0,1,0,0
4.25,5.76,42.31,0,1,0,0
4.33,5.94,41.58,0,1,0,0
4.40,6.12,40.88,0,1,0,0
4.56,6.30,39.50,0,1,0,0
4.63,6.48,38.89,0,1,0,0
4.85,6.66,37.11,0,1,0,0
4.93,6.84,36.50,0,1,0,0
5.13,7.02,35.09,0,1,0,0
5.27,7.20,34.15,0,1,0,0
5.63,7.38,31.97,0,1,0,0
5.86,7.56,30.74,0,1,0,0
6.20,7.74,29.03,0,1,0,0
6.63,7.92,27.17,0,1,0,0
7.11,8.10,25.30,0,1,0,0
7.89,8.28,22.82,0,1,0,0
8.92,8.46,20.19,0,1,0,0
10.60,8.64,16.97,0,1,0,0
13.52,8.82,13.31,0,1,0,0
24.58,9.00,7.32,0,1,0,0
41.22,8.82,-4.37,0,1,0,0
16.85,8.64,-10.69,0,1,0,0
12.44,8.46,-14.47,0,1,0,0
10.38,8.28,-17.34,0,1,0,0
9.26,8.10,-19.43,0,1,0,0
8.35,7.92,-21.55,0,1,0,0
7.93,7.74,-22.70,0,1,0,0
7.33,7.56,-24.57,0,1,0,0
7.04,7.38,-25.56,0,1,0,0
6.74,7.20,-26.69,0,1,0,0
6.56,7.02,-27.43,0,1,0,0
6.30,6.84,-28.58,0,1,0,0
6.16,6.66,-29.20,0,1,0,0
5.92,6.48,-30.42,0,1,0,0
5.78,6.30,-31.11,0,1,0,0
5.66,6.12,-31.83,0,1,0,0
5.48,5.94,-32.87,0,1,0,0
5.50,5.76,-32.71,0,1,0,0
5.34,5.58,-33.74,0,1,0,0
5.27,5.40,-34.17,0,1,0,0
5.18,5.22,-34.75,0,1,0,0
5.09,5.04,-35.35,0,1,0,0
5.05,4.86,-35.64,0,1,0,0
