Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
587.34,-0.18,-0.31,0,1,0,0
602.54,-0.36,-11.83,0,1,0,0
613.92,-0.54,-15.82,0,1,0,0
623.59,-0.72,-18.61,0,1,0,0
632.20,-0.90,-20.91,0,1,0,0
639.98,-1.08,-23.13,0,1,0,0
647.06,-1.26,-25.42,0,1,0,0
653.56,-1.44,-27.69,0,1,0,0
659.66,-1.62,-29.49,0,1,0,0
665.43,-1.80,-31.21,0,1,0,0
670.92,-1.98,-32.77,0,1,0,0
676.17,-2.16,-34.29,0,1,0,0
681.18,-2.34,-35.97,0,1,0,0
685.97,-2.52,-37.57,0,1,0,0
690.58,-2.70,-39.06,0,1,0,0
695.00,-2.88,-40.69,0,1,0,0
699.23,-3.06,-42.55,0,1,0,0
703.39,-3.24,-43.25,0,1,0,0
707.38,-3.42,-45.16,0,1,0,0
711.33,-3.60,-45.57,0,1,0,0
715.11,-3.78,-47.57,0,1,0,0
718.73,-3.96,-49.74,0,1,0,0
722.30,-4.14,-50.43,0,1,0,0
725.82,-4.32,-51.09,0,1,0,0
729.14,-4.50,-54.32,0,1,0,0
732.51,-4.68,-53.41,0,1,0,0
735.70,-4.86,-56.41,0,1,0,0
738.92,-5.04,-55.95,0,1,0,0
742.03,-5.22,-57.84,0,1,0,0
745.14,-5.40,-57.84,0,1,0,0
748.20,-5.58,-58.96,0,1,0,0
751.21,-5.76,-59.60,0,1,0,0
754.21,-5.94,-60.18,0,1,0,0
757.16,-6.12,-60.83,0,1,0,0
760.07,-6.30,-61.94,0,1,0,0
763.02,-6.48,-60.95,0,1,0,0
765.85,-6.66,-63.72,0,1,0,0
768.76,-6.84,-61.81,0,1,0,0
771.56,-7.02,-64.42,0,1,0,0
774.41,-7.20,-63.14,0,1,0,0
777.14,-7.38,-65.86,0,1,0,0
779.92,-7.56,-64.84,0,1,0,0
782.71,-7.74,-64.47,0,1,0,0
785.42,-7.92,-66.30,0,1,0,0
788.14,-8.10,-66.25,0,1,0,0
790.86,-8.28,-66.27,0,1,0,0
793.54,-8.46,-67.04,0,1,0,0
796.23,-8.64,-67.01,0,1,0,0
798.87,-8.82,-68.13,0,1,0,0
801.60,-9.00,-65.96,0,1,0,0
804.29,-9.18,-67.04,0,1,0,0
806.94,-9.36,-67.77,0,1,0,0
809.58,-9.54,-68.16,0,1,0,0
812.28,-9.72,-66.69,0,1,0,0
814.86,-9.90,-69.74,0,1,0,0
817.56,-10.08,-66.74,0,1,0,0
820.19,-10.26,-68.55,0,1,0,0
822.73,-10.44,-70.62,0,1,0,0
825.36,-10.62,-68.49,0,1,0,0
827.86,-10.80,-72.03,0,1,0,0
830.43,-10.98,-70.20,0,1,0,0
833.03,-11.16,-69.04,0,1,0,0
835.52,-11.34,-72.35,0,1,0,0
838.06,-11.52,-71.06,0,1,0,0
840.59,-11.70,-71.06,0,1,0,0
