Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
136.63,-0.18,-1.32,0,1,0,0
636.95,-0.36,-0.36,0,1,0,0
716.36,-0.54,-2.27,0,1,0,0
751.94,-0.72,-5.06,0,1,0,0
774.15,-0.90,-8.10,0,1,0,0
790.72,-1.08,-10.86,0,1,0,0
803.29,-1.26,-14.32,0,1,0,0
813.75,-1.44,-17.22,0,1,0,0
822.98,-1.62,-19.50,0,1,0,0
831.49,-1.80,-21.14,0,1,0,0
839.73,-1.98,-21.85,0,1,0,0
847.79,-2.16,-22.34,0,1,0,0
855.91,-2.34,-22.18,0,1,0,0
864.15,-2.52,-21.84,0,1,0,0
872.51,-2.70,-21.53,0,1,0,0
880.99,-2.88,-21.22,0,1,0,0
889.63,-3.06,-20.84,0,1,0,0
898.16,-3.24,-21.10,0,1,0,0
906.41,-3.42,-21.81,0,1,0,0
914.09,-3.60,-23.45,0,1,0,0
921.28,-3.78,-25.05,0,1,0,0
927.96,-3.96,-26.93,0,1,0,0
934.18,-4.14,-28.91,0,1,0,0
940.06,-4.32,-30.63,0,1,0,0
945.74,-4.50,-31.71,0,1,0,0
951.34,-4.68,-32.16,0,1,0,0
956.72,-4.86,-33.40,0,1,0,0
962.09,-5.04,-33.51,0,1,0,0
967.41,-5.22,-33.87,0,1,0,0
972.74,-5.40,-33.74,0,1,0,0
978.09,-5.58,-33.70,0,1,0,0
983.49,-5.76,-33.32,0,1,0,0
988.81,-5.94,-33.82,0,1,0,0
994.08,-6.12,-34.19,0,1,0,0
999.45,-6.30,-33.48,0,1,0,0
1004.83,-6.48,-33.46,0,1,0,0
1010.16,-6.66,-33.79,0,1,0,0
1015.56,-6.84,-33.33,0,1,0,0
1020.90,-7.02,-33.71,0,1,0,0
1026.26,-7.20,-33.63,0,1,0,0
1031.54,-7.38,-34.09,0,1,0,0
1036.76,-7.56,-34.49,0,1,0,0
1041.88,-7.74,-35.12,0,1,0,0
1046.84,-7.92,-36.29,0,1,0,0
1051.77,-8.10,-36.53,0,1,0,0
1056.58,-8.28,-37.44,0,1,0,0
1061.31,-8.46,-38.06,0,1,0,0
1065.98,-8.64,-38.54,0,1,0,0
1070.60,-8.82,-38.95,0,1,0,0
1075.03,-9.00,-40.65,0,1,0,0
1079.39,-9.18,-41.27,0,1,0,0
1083.66,-9.36,-42.12,0,1,0,0
1087.87,-9.54,-42.75,0,1,0,0
1092.04,-9.72,-43.64,0,1,0,0
1096.19,-9.90,-43.35,0,1,0,0
1100.31,-10.08,-43.70,0,1,0,0
1104.37,-10.26,-44.38,0,1,0,0
1108.40,-10.44,-44.70,0,1,0,0
1112.42,-10.62,-44.74,0,1,0,0
1116.36,-10.80,-45.23,0,1,0,0
1120.33,-10.98,-45.39,0,1,0,0
1124.33,-11.16,-45.02,0,1,0,0
1128.29,-11.34,-45.39,0,1,0,0
1132.26,-11.52,-45.37,0,1,0,0
1136.20,-11.70,-45.72,0,1,0,0
1140.14,-11.88,-45.72,0,1,0,0
1144.07,-12.06,-45.73,0,1,0,0
1147.98,-12.24,-46.07,0,1,0,0
1151.93,-12.42,-45.56,0,1,0,0
1155.76,-12.60,-46.99,0,1,0,0
1159.71,-12.78,-45.57,0,1,0,0
1163.54,-12.96,-46.99,0,1,0,0
1167.39,-13.14,-46.81,0,1,0,0
1171.23,-13.32,-46.79,0,1,0,0
1175.08,-13.50,-46.83,0,1,0,0
1178.89,-13.68,-47.19,0,1,0,0
1182.72,-13.86,-47.03,0,1,0,0
1186.50,-14.04,-47.58,0,1,0,0
1190.26,-14.22,-47.95,0,1,0,0
1194.01,-14.40,-47.95,0,1,0,0
1197.73,-14.58,-48.36,0,1,0,0
1201.35,-14.76,-49.75,0,1,0,0
1205.06,-14.94,-48.58,0,1,0,0
1208.65,-15.12,-50.10,0,1,0,0
1212.25,-15.30,-50.08,0,1,0,0
1215.85,-15.48,-49.99,0,1,0,0
1219.40,-15.66,-50.83,0,1,0,0
1222.93,-15.84,-50.86,0,1,0,0
1226.45,-16.02,-51.09,0,1,0,0
1229.96,-16.20,-51.30,0,1,0,0
1233.44,-16.38,-51.75,0,1,0,0
1236.92,-16.56,-51.75,0,1,0,0
1240.37,-16.74,-52.19,0,1,0,0
1243.80,-16.92,-52.39,0,1,0,0
1247.28,-17.10,-51.74,0,1,0,0
1250.81,-17.28,-51.09,0,1,0,0
1254.25,-17.46,-52.22,0,1,0,0
1257.69,-17.64,-52.39,0,1,0,0
1261.24,-17.82,-50.66,0,1,0,0
1264.75,-18.00,-51.30,0,1,0,0
1268.32,-18.18,-50.42,0,1,0,0
1271.88,-18.36,-50.59,0,1,0,0
1275.55,-18.54,-48.99,0,1,0,0
1279.20,-18.72,-49.30,0,1,0,0
1282.90,-18.90,-48.75,0,1,0,0
1286.69,-19.08,-47.41,0,1,0,0
1290.48,-19.26,-47.57,0,1,0,0
1294.28,-19.44,-47.36,0,1,0,0
1298.26,-19.62,-45.24,0,1,0,0
1302.18,-19.80,-45.88,0,1,0,0
1306.25,-19.98,-44.22,0,1,0,0
1310.28,-20.16,-44.70,0,1,0,0
1314.37,-20.34,-44.01,0,1,0,0
1318.42,-20.52,-44.50,0,1,0,0
1322.55,-20.70,-43.55,0,1,0,0
1326.60,-20.88,-44.50,0,1,0,0
1330.67,-21.06,-44.18,0,1,0,0
1334.66,-21.24,-45.17,0,1,0,0
1338.63,-21.42,-45.25,0,1,0,0
1342.57,-21.60,-45.73,0,1,0,0
1346.41,-21.78,-46.81,0,1,0,0
1350.16,-21.96,-48.10,0,1,0,0
1353.95,-22.14,-47.42,0,1,0,0
1357.65,-22.32,-48.74,0,1,0,0
1361.31,-22.50,-49.15,0,1,0,0
1364.84,-22.68,-51.02,0,1,0,0
1368.42,-22.86,-50.24,0,1,0,0
1371.90,-23.04,-51.75,0,1,0,0
1375.32,-23.22,-52.62,0,1,0,0
1378.75,-23.40,-52.43,0,1,0,0
1382.18,-23.58,-52.49,0,1,0,0
1385.56,-23.76,-53.33,0,1,0,0
1388.97,-23.94,-52.68,0,1,0,0
1392.44,-24.12,-51.98,0,1,0,0
1395.85,-24.30,-52.68,0,1,0,0
1399.23,-24.48,-53.35,0,1,0,0
1402.69,-24.66,-51.99,0,1,0,0
1406.09,-24.84,-52.88,0,1,0,0
1409.62,-25.02,-51.09,0,1,0,0
1413.05,-25.20,-52.39,0,1,0,0
1416.60,-25.38,-50.68,0,1,0,0
1420.14,-25.56,-50.86,0,1,0,0
1423.72,-25.74,-50.41,0,1,0,0
1427.24,-25.92,-51.03,0,1,0,0
1430.84,-26.10,-50.00,0,1,0,0
1434.45,-26.28,-49.97,0,1,0,0
1438.05,-26.46,-50.03,0,1,0,0
1441.71,-26.64,-49.14,0,1,0,0
1445.41,-26.82,-48.57,0,1,0,0
1449.14,-27.00,-48.37,0,1,0,0
1452.73,-27.18,-50.14,0,1,0,0
1456.46,-27.36,-48.18,0,1,0,0
1460.18,-27.54,-48.36,0,1,0,0
1463.83,-27.72,-49.33,0,1,0,0
1467.53,-27.90,-48.74,0,1,0,0
1471.22,-28.08,-48.74,0,1,0,0
1474.91,-28.26,-48.75,0,1,0,0
1478.57,-28.44,-49.14,0,1,0,0
1482.24,-28.62,-49.17,0,1,0,0
1485.85,-28.80,-49.79,0,1,0,0
1489.45,-28.98,-49.99,0,1,0,0
1492.96,-29.16,-51.30,0,1,0,0
1496.44,-29.34,-51.74,0,1,0,0
1499.92,-29.52,-51.72,0,1,0,0
1503.29,-29.70,-53.36,0,1,0,0
1506.68,-29.88,-53.14,0,1,0,0
1510.01,-30.06,-54.12,0,1,0,0
1513.33,-30.24,-54.12,0,1,0,0
1516.60,-30.42,-55.13,0,1,0,0
1519.83,-30.60,-55.66,0,1,0,0
1523.06,-30.78,-55.64,0,1,0,0
1526.31,-30.96,-55.40,0,1,0,0
1529.49,-31.14,-56.71,0,1,0,0
1532.69,-31.32,-56.20,0,1,0,0
1535.90,-31.50,-56.18,0,1,0,0
1539.10,-31.68,-56.18,0,1,0,0
1542.34,-31.86,-55.64,0,1,0,0
1545.60,-32.04,-55.13,0,1,0,0
1548.84,-32.22,-55.62,0,1,0,0
1552.10,-32.40,-55.13,0,1,0,0
1555.35,-32.58,-55.35,0,1,0,0
1558.65,-32.76,-54.58,0,1,0,0
1562.02,-32.94,-53.44,0,1,0,0
1565.30,-33.12,-54.86,0,1,0,0
1568.66,-33.30,-53.62,0,1,0,0
1572.02,-33.48,-53.60,0,1,0,0
1575.41,-33.66,-53.07,0,1,0,0
1578.79,-33.84,-53.21,0,1,0,0
1582.25,-34.02,-51.99,0,1,0,0
1585.67,-34.20,-52.66,0,1,0,0
1589.12,-34.38,-52.22,0,1,0,0
1592.54,-34.56,-52.66,0,1,0,0
1596.02,-34.74,-51.72,0,1,0,0
1599.47,-34.92,-52.20,0,1,0,0
1602.88,-35.10,-52.68,0,1,0,0
1606.33,-35.28,-52.19,0,1,0,0
1609.75,-35.46,-52.66,0,1,0,0
1613.20,-35.64,-52.19,0,1,0,0
1616.62,-35.82,-52.66,0,1,0,0
1620.07,-36.00,-52.20,0,1,0,0
1623.52,-36.18,-52.14,0,1,0,0
1626.96,-36.36,-52.26,0,1,0,0
1630.41,-36.54,-52.19,0,1,0,0
1633.89,-36.72,-51.75,0,1,0,0
1637.37,-36.90,-51.72,0,1,0,0
1640.88,-37.08,-51.28,0,1,0,0
1644.39,-37.26,-51.31,0,1,0,0
1647.96,-37.44,-50.41,0,1,0,0
1651.59,-37.62,-49.56,0,1,0,0
1655.28,-37.80,-48.74,0,1,0,0
1659.01,-37.98,-48.36,0,1,0,0
