Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.36,-0.18,-0.00,0,0,0,0
5.54,-0.18,-0.00,0,0,0,0
10.68,-0.18,-0.00,0,0,0,0
15.87,-0.18,-0.00,0,0,0,0
21.02,-0.18,-0.00,0,0,0,0
26.21,-0.18,-0.00,0,0,0,0
31.34,-0.18,-0.00,0,0,0,0
36.52,-0.18,-0.00,0,0,0,0
41.66,-0.18,-0.00,0,0,0,0
46.80,-0.18,-0.00,0,0,0,0
51.92,-0.18,-0.00,0,0,0,0
57.13,-0.18,-0.00,0,0,0,0
62.31,-0.18,-0.00,0,0,0,0
67.45,-0.18,-0.00,0,0,0,0
72.64,-0.18,-0.00,0,0,0,0
77.83,-0.18,-0.00,0,0,0,0
83.01,-0.18,-0.00,0,0,0,0
88.20,-0.18,-0.00,0,0,0,0
93.39,-0.18,-0.00,0,0,0,0
98.52,-0.18,-0.00,0,0,0,0
103.64,-0.18,-0.00,0,0,0,0
108.80,-0.18,-0.00,0,0,0,0
113.90,-0.18,-0.00,0,0,0,0
119.06,-0.18,-0.00,0,0,0,0
124.16,-0.18,-0.00,0,0,0,0
129.32,-0.18,-0.00,0,0,0,0
134.41,-0.18,-0.00,0,0,0,0
139.57,-0.18,-0.00,0,0,0,0
144.67,-0.18,-0.00,0,0,0,0
149.83,-0.18,-0.00,0,0,0,0
154.99,-0.18,-0.00,0,0,0,0
160.14,-0.18,-0.00,0,0,0,0
165.30,-0.18,-0.00,0,0,0,0
170.42,-0.18,-0.00,0,0,0,0
175.58,-0.18,-0.00,0,0,0,0
180.68,-0.18,-0.00,0,0,0,0
185.84,-0.18,-0.00,0,0,0,0
190.95,-0.18,-0.00,0,0,0,0
196.10,-0.18,-0.00,0,0,0,0
201.21,-0.18,-0.00,0,0,0,0
206.32,-0.18,-0.00,0,0,0,0
211.42,-0.18,-0.00,0,0,0,0
216.58,-0.18,-0.00,0,0,0,0
221.68,-0.18,-0.00,0,0,0,0
226.84,-0.18,-0.00,0,0,0,0
231.99,-0.18,-0.00,0,0,0,0
237.15,-0.18,-0.00,0,0,0,0
242.31,-0.18,-0.00,0,0,0,0
247.42,-0.18,-0.00,0,0,0,0
252.58,-0.18,-0.00,0,0,0,0
257.69,-0.18,-0.00,0,0,0,0
262.84,-0.18,-0.00,0,0,0,0
267.94,-0.18,-0.00,0,0,0,0
273.10,-0.18,-0.00,0,0,0,0
278.26,-0.18,-0.00,0,0,0,0
283.41,-0.18,-0.00,0,0,0,0
288.57,-0.18,-0.00,0,0,0,0
293.73,-0.18,-0.00,0,0,0,0
298.88,-0.18,-0.00,0,0,0,0
303.99,-0.18,-0.00,0,0,0,0
309.10,-0.18,-0.00,0,0,0,0
314.20,-0.18,-0.00,0,0,0,0
319.36,-0.18,-0.00,0,0,0,0
324.46,-0.18,-0.00,0,0,0,0
329.61,-0.18,-0.00,0,0,0,0
334.71,-0.18,-0.00,0,0,0,0
339.87,-0.18,-0.00,0,0,0,0
344.97,-0.18,-0.00,0,0,0,0
350.13,-0.18,-0.00,0,0,0,0
355.23,-0.18,-0.00,0,0,0,0
360.39,-0.18,-0.00,0,0,0,0
365.54,-0.18,-0.00,0,0,0,0
370.70,-0.18,-0.00,0,0,0,0
375.85,-0.18,-0.00,0,0,0,0
380.96,-0.18,-0.00,0,0,0,0
386.12,-0.18,-0.00,0,0,0,0
391.21,-0.18,-0.00,0,0,0,0
396.37,-0.18,-0.00,0,0,0,0
401.47,-0.18,-0.00,0,0,0,0
406.63,-0.18,-0.00,0,0,0,0
411.74,-0.18,-0.00,0,0,0,0
416.89,-0.18,-0.00,0,0,0,0
421.99,-0.18,-0.00,0,0,0,0
427.09,-0.18,-0.00,0,0,0,0
432.24,-0.18,-0.00,0,0,0,0
437.34,-0.18,-0.00,0,0,0,0
442.44,-0.18,-0.00,0,0,0,0
447.57,-0.18,-0.00,0,0,0,0
452.72,-0.18,-0.00,0,0,0,0
457.82,-0.18,-0.00,0,0,0,0
462.98,-0.18,-0.00,0,0,0,0
468.13,-0.18,-0.00,0,0,0,0
473.29,-0.18,-0.00,0,0,0,0
478.45,-0.18,-0.00,0,0,0,0
483.60,-0.18,-0.00,0,0,0,0
488.76,-0.18,-0.00,0,0,0,0
493.91,-0.18,-0.00,0,0,0,0
499.07,-0.18,-0.00,0,0,0,0
504.17,-0.18,-0.00,0,0,0,0
509.33,-0.18,-0.00,0,0,0,0
514.43,-0.18,-0.00,0,0,0,0
519.54,-0.18,-0.00,0,0,0,0
524.64,-0.18,-0.00,0,0,0,0
