Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.70,0.18,0.00,0,0,0,0
1.81,0.18,0.00,0,1,0,0
2.89,0.18,0.00,0,1,0,0
3.98,0.18,0.00,0,1,0,0
5.09,0.18,0.00,0,1,0,0
6.18,0.18,0.00,0,1,0,0
7.25,0.18,0.00,0,1,0,0
8.31,0.18,0.00,0,1,0,0
9.37,0.18,0.00,0,1,0,0
10.43,0.18,0.00,0,1,0,0
11.49,0.18,0.00,0,1,0,0
12.55,0.18,0.00,0,1,0,0
13.60,0.18,0.00,0,1,0,0
14.66,0.18,0.00,0,1,0,0
15.72,0.18,0.00,0,1,0,0
16.77,0.18,0.00,0,1,0,0
17.83,0.18,0.00,0,1,0,0
18.90,0.18,0.00,0,1,0,0
19.96,0.18,0.00,0,1,0,0
21.02,0.18,0.00,0,1,0,0
22.08,0.18,0.00,0,1,0,0
23.14,0.18,0.00,0,1,0,0
24.19,0.18,0.00,0,1,0,0
25.25,0.18,0.00,0,1,0,0
26.31,0.18,0.00,0,1,0,0
27.36,0.18,0.00,0,1,0,0
28.42,0.18,0.00,0,1,0,0
29.48,0.18,0.00,0,1,0,0
30.53,0.18,0.00,0,1,0,0
31.59,0.18,0.00,0,1,0,0
32.65,0.18,0.00,0,1,0,0
33.71,0.18,0.00,0,1,0,0
34.77,0.18,0.00,0,1,0,0
35.82,0.18,0.00,0,1,0,0
36.89,0.18,0.00,0,1,0,0
37.95,0.18,0.00,0,1,0,0
39.00,0.18,0.00,0,1,0,0
40.06,0.18,0.00,0,1,0,0
41.12,0.18,0.00,0,1,0,0
42.17,0.18,0.00,0,1,0,0
43.20,0.18,0.00,0,1,0,0
44.26,0.18,0.00,0,1,0,0
45.32,0.18,0.00,0,1,0,0
46.37,0.18,0.00,0,1,0,0
47.43,0.18,0.00,0,1,0,0
48.49,0.18,0.00,0,1,0,0
49.55,0.18,0.00,0,1,0,0
50.60,0.18,0.00,0,1,0,0
51.66,0.18,0.00,0,1,0,0
52.72,0.18,0.00,0,1,0,0
53.78,0.18,0.00,0,1,0,0
54.84,0.18,0.00,0,1,0,0
55.90,0.18,0.00,0,1,0,0
56.96,0.18,0.00,0,1,0,0
58.01,0.18,0.00,0,1,0,0
59.07,0.18,0.00,0,1,0,0
60.13,0.18,0.00,0,1,0,0
61.19,0.18,0.00,0,1,0,0
62.24,0.18,0.00,0,1,0,0
63.30,0.18,0.00,0,1,0,0
64.36,0.18,0.00,0,1,0,0
65.42,0.18,0.00,0,1,0,0
66.47,0.18,0.00,0,1,0,0
67.53,0.18,0.00,0,1,0,0
68.59,0.18,0.00,0,1,0,0
69.64,0.18,0.00,0,1,0,0
70.70,0.18,0.00,0,1,0,0
71.76,0.18,0.00,0,1,0,0
72.82,0.18,0.00,0,1,0,0
73.88,0.18,0.00,0,1,0,0
74.94,0.18,0.00,0,1,0,0
76.00,0.18,0.00,0,1,0,0
77.06,0.18,0.00,0,1,0,0
78.11,0.18,0.00,0,1,0,0
79.17,0.18,0.00,0,1,0,0
80.23,0.18,0.00,0,1,0,0
81.28,0.18,0.00,0,1,0,0
82.34,0.18,0.00,0,1,0,0
83.40,0.18,0.00,0,1,0,0
84.45,0.18,0.00,0,1,0,0
85.52,0.18,0.00,0,1,0,0
86.53,0.18,0.00,0,1,0,0
87.59,0.18,0.00,0,1,0,0
88.65,0.18,0.00,0,1,0,0
89.70,0.18,0.00,0,1,0,0
90.77,0.18,0.00,0,1,0,0
91.83,0.18,0.00,0,1,0,0
92.88,0.18,0.00,0,1,0,0
93.94,0.18,0.00,0,1,0,0
95.00,0.18,0.00,0,1,0,0
96.06,0.18,0.00,0,1,0,0
97.12,0.18,0.00,0,1,0,0
98.17,0.18,0.00,0,1,0,0
99.23,0.18,0.00,0,1,0,0
100.29,0.18,0.00,0,1,0,0
101.34,0.18,0.00,0,1,0,0
102.40,0.18,0.00,0,1,0,0
103.46,0.18,0.00,0,1,0,0
104.52,0.18,0.00,0,1,0,0
105.57,0.18,0.00,0,1,0,0
106.63,0.18,0.00,0,1,0,0
107.69,0.18,0.00,0,1,0,0
108.75,0.18,0.00,0,1,0,0
109.81,0.18,0.00,0,1,0,0
110.87,0.18,0.00,0,1,0,0
111.92,0.18,0.00,0,1,0,0
112.98,0.18,0.00,0,1,0,0
114.04,0.18,0.00,0,1,0,0
115.10,0.18,0.00,0,1,0,0
116.15,0.18,0.00,0,1,0,0
117.21,0.18,0.00,0,1,0,0
118.27,0.18,0.00,0,1,0,0
119.32,0.18,0.00,0,1,0,0
120.38,0.18,0.00,0,1,0,0
121.44,0.18,0.00,0,1,0,0
122.50,0.18,0.00,0,1,0,0
123.55,0.18,0.00,0,1,0,0
124.61,0.18,0.00,0,1,0,0
125.67,0.18,0.00,0,1,0,0
126.73,0.18,0.00,0,1,0,0
127.79,0.18,0.00,0,1,0,0
128.85,0.18,0.00,0,1,0,0
129.87,0.18,0.00,0,1,0,0
130.92,0.18,0.00,0,1,0,0
131.98,0.18,0.00,0,1,0,0
133.04,0.18,0.00,0,1,0,0
134.09,0.18,0.00,0,1,0,0
135.15,0.18,0.00,0,1,0,0
136.21,0.18,0.00,0,1,0,0
137.27,0.18,0.00,0,1,0,0
138.32,0.18,0.00,0,1,0,0
139.38,0.18,0.00,0,1,0,0
140.44,0.18,0.00,0,1,0,0
141.49,0.18,0.00,0,1,0,0
142.55,0.18,0.00,0,1,0,0
143.61,0.18,0.00,0,1,0,0
144.67,0.18,0.00,0,1,0,0
145.73,0.18,0.00,0,1,0,0
146.79,0.18,0.00,0,1,0,0
147.84,0.18,0.00,0,1,0,0
148.90,0.18,0.00,0,1,0,0
149.96,0.18,0.00,0,1,0,0
151.02,0.18,0.00,0,1,0,0
152.07,0.18,0.00,0,1,0,0
153.13,0.18,0.00,0,1,0,0
154.19,0.18,0.00,0,1,0,0
155.24,0.18,0.00,0,1,0,0
156.30,0.18,0.00,0,1,0,0
157.36,0.18,0.00,0,1,0,0
158.42,0.18,0.00,0,1,0,0
159.48,0.18,0.00,0,1,0,0
160.53,0.18,0.00,0,1,0,0
161.59,0.18,0.00,0,1,0,0
162.66,0.18,0.00,0,1,0,0
163.71,0.18,0.00,0,1,0,0
164.77,0.18,0.00,0,1,0,0
165.83,0.18,0.00,0,1,0,0
166.88,0.18,0.00,0,1,0,0
167.94,0.18,0.00,0,1,0,0
169.00,0.18,0.00,0,1,0,0
170.06,0.18,0.00,0,1,0,0
171.12,0.18,0.00,0,1,0,0
172.17,0.18,0.00,0,1,0,0
173.20,0.18,0.00,0,1,0,0
174.29,0.18,0.00,0,1,0,0
175.35,0.18,0.00,0,1,0,0
176.41,0.18,0.00,0,1,0,0
177.46,0.18,0.00,0,1,0,0
178.52,0.18,0.00,0,1,0,0
179.58,0.18,0.00,0,1,0,0
180.65,0.18,0.00,0,1,0,0
181.71,0.18,0.00,0,1,0,0
182.76,0.18,0.00,0,1,0,0
183.82,0.18,0.00,0,1,0,0
184.88,0.18,0.00,0,1,0,0
185.93,0.18,0.00,0,1,0,0
186.99,0.18,0.00,0,1,0,0
188.05,0.18,0.00,0,1,0,0
189.11,0.18,0.00,0,1,0,0
190.17,0.18,0.00,0,1,0,0
191.22,0.18,0.00,0,1,0,0
192.28,0.18,0.00,0,1,0,0
193.34,0.18,0.00,0,1,0,0
194.39,0.18,0.00,0,1,0,0
195.45,0.18,0.00,0,1,0,0
196.51,0.18,0.00,0,1,0,0
197.56,0.18,0.00,0,1,0,0
198.63,0.18,0.00,0,1,0,0
199.69,0.18,0.00,0,1,0,0
200.75,0.18,0.00,0,1,0,0
201.81,0.18,0.00,0,1,0,0
