Time,Degree,Velocity,Electromagnet_Clutch
0.92,-0.24,-0.00,0
6.25,-0.24,-0.00,1
11.55,-0.24,-0.00,1
16.99,-0.24,-0.00,1
22.30,-0.24,-0.00,1
27.64,-0.24,-0.00,1
32.95,-0.24,-0.00,1
38.31,-0.24,-0.00,1
43.72,-0.24,-0.00,1
49.04,-0.24,-0.00,1
54.42,-0.24,-0.00,1
59.84,-0.24,-0.00,1
65.02,-0.24,-0.00,1
70.21,-0.24,-0.00,1
75.43,-0.24,-0.00,1
80.73,-0.24,-0.00,1
85.95,-0.24,-0.00,1
91.17,-0.24,-0.00,1
96.28,-0.24,-0.00,1
101.39,-0.24,-0.00,1
106.48,-0.24,-0.00,1
111.59,-0.24,-0.00,1
116.69,-0.24,-0.00,1
121.79,-0.24,-0.00,1
126.89,-0.24,-0.00,1
132.05,-0.24,-0.00,1
145.24,-0.24,-0.00,1
150.40,-0.24,-0.00,1
155.49,-0.24,-0.00,1
160.63,-0.24,-0.00,1
165.73,-0.24,-0.00,1
170.87,-0.24,-0.00,1
175.97,-0.24,-0.00,1
181.10,-0.24,-0.00,1
186.26,-0.24,-0.00,1
191.35,-0.24,-0.00,1
196.50,-0.24,-0.00,1
201.59,-0.24,-0.00,1
206.73,-0.24,-0.00,1
211.83,-0.24,-0.00,1
216.97,-0.24,-0.00,1
222.06,-0.24,-0.00,1
227.21,-0.24,-0.00,1
232.30,-0.24,-0.00,1
237.40,-0.24,-0.00,1
242.49,-0.24,-0.00,1
247.64,-0.24,-0.00,1
252.73,-0.24,-0.00,1
257.82,-0.24,-0.00,1
262.92,-0.24,-0.00,1
268.01,-0.24,-0.00,1
273.15,-0.24,-0.00,1
278.25,-0.24,-0.00,1
283.33,-0.24,-0.00,1
288.43,-0.24,-0.00,1
293.58,-0.24,-0.00,1
298.68,-0.24,-0.00,1
303.82,-0.24,-0.00,1
308.91,-0.24,-0.00,1
314.06,-0.24,-0.00,1
319.15,-0.24,-0.00,1
324.29,-0.24,-0.00,1
329.44,-0.24,-0.00,1
334.53,-0.24,-0.00,1
339.62,-0.24,-0.00,1
344.72,-0.24,-0.00,1
349.81,-0.24,-0.00,1
354.90,-0.24,-0.00,1
359.99,-0.24,-0.00,1
365.09,-0.24,-0.00,1
370.23,-0.24,-0.00,1
375.32,-0.24,-0.00,1
380.47,-0.24,-0.00,1
385.56,-0.24,-0.00,1
390.71,-0.24,-0.00,1
395.80,-0.24,-0.00,1
400.94,-0.24,-0.00,1
406.04,-0.24,-0.00,1
411.09,-0.24,-0.00,1
416.19,-0.24,-0.00,1
421.28,-0.24,-0.00,1
426.42,-0.24,-0.00,1
431.52,-0.24,-0.00,1
436.61,-0.24,-0.00,1
441.71,-0.24,-0.00,1
446.85,-0.24,-0.00,1
451.95,-0.24,-0.00,1
457.04,-0.24,-0.00,1
462.13,-0.24,-0.00,1
467.28,-0.24,-0.00,1
472.37,-0.24,-0.00,1
477.51,-0.24,-0.00,1
482.60,-0.24,-0.00,1
487.76,-0.24,-0.00,1
492.85,-0.24,-0.00,1
497.94,-0.24,-0.00,1
503.08,-0.24,-0.00,1
508.18,-0.24,-0.00,1
513.26,-0.24,-0.00,1
518.36,-0.24,-0.00,1
523.50,-0.24,-0.00,1
528.59,-0.24,-0.00,1
533.74,-0.24,-0.00,1
538.83,-0.24,-0.00,1
543.93,-0.24,-0.00,1
549.02,-0.24,-0.00,1
554.16,-0.24,-0.00,1
559.26,-0.24,-0.00,1
564.41,-0.24,-0.00,1
569.50,-0.24,-0.00,1
574.60,-0.24,-0.00,1
579.74,-0.24,-0.00,1
584.83,-0.24,-0.00,1
589.98,-0.24,-0.00,1
595.07,-0.24,-0.00,1
600.22,-0.24,-0.00,1
605.31,-0.24,-0.00,1
610.45,-0.24,-0.00,1
615.54,-0.24,-0.00,1
620.69,-0.24,-0.00,1
625.78,-0.24,-0.00,1
630.93,-0.24,-0.00,1
636.07,-0.24,-0.00,1
641.16,-0.24,-0.00,1
646.31,-0.24,-0.00,1
651.40,-0.24,-0.00,1
656.55,-0.24,-0.00,1
661.64,-0.24,-0.00,1
666.79,-0.24,-0.00,1
671.88,-0.24,-0.00,1
677.02,-0.24,-0.00,1
682.11,-0.24,-0.00,1
687.26,-0.24,-0.00,1
692.35,-0.24,-0.00,1
697.50,-0.24,-0.00,1
702.58,-0.24,-0.00,1
707.73,-0.24,-0.00,1
712.88,-0.24,-0.00,1
717.97,-0.24,-0.00,1
723.12,-0.24,-0.00,1
728.21,-0.24,-0.00,1
733.35,-0.24,-0.00,1
738.45,-0.24,-0.00,1
743.59,-0.24,-0.00,1
748.69,-0.24,-0.00,1
753.83,-0.24,-0.00,1
758.92,-0.24,-0.00,1
764.07,-0.24,-0.00,1
769.16,-0.24,-0.00,1
774.31,-0.24,-0.00,1
779.40,-0.24,-0.00,1
784.49,-0.24,-0.00,1
789.58,-0.24,-0.00,1
794.67,-0.24,-0.00,1
799.77,-0.24,-0.00,1
804.86,-0.24,-0.00,1
810.00,-0.24,-0.00,1
815.10,-0.24,-0.00,1
820.24,-0.24,-0.00,1
825.34,-0.24,-0.00,1
830.48,-0.24,-0.00,1
835.57,-0.24,-0.00,1
840.72,-0.24,-0.00,1
845.81,-0.24,-0.00,1
850.91,-0.24,-0.00,1
856.00,-0.24,-0.00,1
861.09,-0.24,-0.00,1
866.18,-0.24,-0.00,1
871.28,-0.24,-0.00,1
876.37,-0.24,-0.00,1
881.46,-0.24,-0.00,1
886.61,-0.24,-0.00,1
891.70,-0.24,-0.00,1
896.79,-0.24,-0.00,1
901.90,-0.24,-0.00,1
907.04,-0.24,-0.00,1
912.13,-0.24,-0.00,1
917.28,-0.24,-0.00,1
922.37,-0.24,-0.00,1
927.51,-0.24,-0.00,1
932.60,-0.24,-0.00,1
937.76,-0.24,-0.00,1
942.90,-0.24,-0.00,1
948.00,-0.24,-0.00,1
953.10,-0.24,-0.00,1
958.19,-0.24,-0.00,1
963.28,-0.24,-0.00,1
968.38,-0.24,-0.00,1
973.52,-0.24,-0.00,1
978.62,-0.24,-0.00,1
983.77,-0.24,-0.00,1
988.86,-0.24,-0.00,1
994.01,-0.24,-0.00,1
999.10,-0.24,-0.00,1
1004.24,-0.24,-0.00,1
1009.44,-0.24,-0.00,1
1014.53,-0.24,-0.00,1
1019.69,-0.24,-0.00,1
1024.78,-0.24,-0.00,1
1029.93,-0.24,-0.00,1
1035.03,-0.24,-0.00,1
1040.17,-0.24,-0.00,1
1045.32,-0.24,-0.00,1
1050.42,-0.24,-0.00,1
1055.51,-0.24,-0.00,1
1060.66,-0.24,-0.00,1
1065.75,-0.24,-0.00,1
1070.89,-0.24,-0.00,1
1076.04,-0.24,-0.00,1
1081.10,-0.24,-0.00,1
1086.24,-0.24,-0.00,1
1091.34,-0.24,-0.00,1
