Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
11.05,-0.18,-16.87,0,1,0,0
33.33,0.00,8.07,0,1,0,0
69.08,0.18,5.04,0,1,0,0
93.99,0.36,7.23,0,1,0,0
115.47,0.54,8.38,0,1,0,0
138.81,0.72,7.71,0,1,0,0
166.51,0.90,6.50,0,1,0,0
272.60,0.72,-1.70,0,1,0,0
320.55,0.54,-3.75,0,1,0,0
454.30,0.72,1.35,0,1,0,0
592.59,0.54,-1.30,0,1,0,0
691.92,0.36,-1.81,0,1,0,0
696.85,0.18,-36.51,0,1,0,0
700.87,0.00,-44.78,0,1,0,0
704.45,-0.18,-50.29,0,1,0,0
707.64,-0.36,-56.37,0,1,0,0
710.79,-0.54,-57.14,0,1,0,0
713.72,-0.72,-61.43,0,1,0,0
716.50,-0.90,-64.89,0,1,0,0
719.14,-1.08,-68.16,0,1,0,0
721.86,-1.26,-66.25,0,1,0,0
724.51,-1.44,-67.92,0,1,0,0
727.13,-1.62,-68.70,0,1,0,0
729.85,-1.80,-65.98,0,1,0,0
732.50,-1.98,-67.95,0,1,0,0
735.30,-2.16,-64.35,0,1,0,0
738.06,-2.34,-65.29,0,1,0,0
740.92,-2.52,-62.83,0,1,0,0
743.91,-2.70,-60.32,0,1,0,0
746.88,-2.88,-60.65,0,1,0,0
750.04,-3.06,-56.76,0,1,0,0
753.23,-3.24,-56.50,0,1,0,0
756.62,-3.42,-53.05,0,1,0,0
760.10,-3.60,-51.74,0,1,0,0
763.73,-3.78,-49.63,0,1,0,0
767.55,-3.96,-47.18,0,1,0,0
771.59,-4.14,-44.52,0,1,0,0
775.90,-4.32,-41.73,0,1,0,0
780.22,-4.50,-41.68,0,1,0,0
784.04,-4.68,-47.13,0,1,0,0
787.74,-4.86,-48.67,0,1,0,0
791.41,-5.04,-49.11,0,1,0,0
794.92,-5.22,-51.15,0,1,0,0
798.37,-5.40,-52.25,0,1,0,0
801.72,-5.58,-53.72,0,1,0,0
805.12,-5.76,-52.85,0,1,0,0
808.63,-5.94,-51.40,0,1,0,0
811.96,-6.12,-54.05,0,1,0,0
815.08,-6.30,-57.64,0,1,0,0
818.00,-6.48,-61.56,0,1,0,0
820.82,-6.66,-63.97,0,1,0,0
823.64,-6.84,-63.78,0,1,0,0
826.32,-7.02,-67.19,0,1,0,0
829.02,-7.20,-66.57,0,1,0,0
831.63,-7.38,-69.18,0,1,0,0
834.12,-7.56,-72.14,0,1,0,0
836.67,-7.74,-70.67,0,1,0,0
839.14,-7.92,-72.90,0,1,0,0
841.53,-8.10,-75.06,0,1,0,0
844.01,-8.28,-72.70,0,1,0,0
846.37,-8.46,-76.30,0,1,0,0
848.80,-8.64,-74.04,0,1,0,0
851.16,-8.82,-76.17,0,1,0,0
853.46,-9.00,-78.29,0,1,0,0
855.85,-9.18,-75.44,0,1,0,0
858.13,-9.36,-78.74,0,1,0,0
860.42,-9.54,-78.60,0,1,0,0
862.76,-9.72,-77.02,0,1,0,0
865.05,-9.90,-78.57,0,1,0,0
867.29,-10.08,-80.32,0,1,0,0
869.63,-10.26,-77.12,0,1,0,0
871.91,-10.44,-78.81,0,1,0,0
874.14,-10.62,-80.72,0,1,0,0
876.46,-10.80,-77.59,0,1,0,0
878.75,-10.98,-78.84,0,1,0,0
880.97,-11.16,-80.75,0,1,0,0
883.26,-11.34,-78.98,0,1,0,0
885.52,-11.52,-79.54,0,1,0,0
887.78,-11.70,-79.44,0,1,0,0
890.09,-11.88,-78.16,0,1,0,0
892.30,-12.06,-81.48,0,1,0,0
894.58,-12.24,-78.74,0,1,0,0
896.79,-12.42,-81.60,0,1,0,0
899.03,-12.60,-80.21,0,1,0,0
901.32,-12.78,-78.74,0,1,0,0
903.50,-12.96,-82.57,0,1,0,0
905.72,-13.14,-80.94,0,1,0,0
907.93,-13.32,-81.60,0,1,0,0
910.13,-13.50,-81.74,0,1,0,0
912.32,-13.68,-82.23,0,1,0,0
914.50,-13.86,-82.49,0,1,0,0
916.74,-14.04,-80.46,0,1,0,0
918.87,-14.22,-84.43,0,1,0,0
921.06,-14.40,-82.27,0,1,0,0
923.25,-14.58,-82.27,0,1,0,0
925.48,-14.76,-80.68,0,1,0,0
927.62,-14.94,-84.07,0,1,0,0
929.86,-15.12,-80.43,0,1,0,0
932.02,-15.30,-83.33,0,1,0,0
934.23,-15.48,-81.15,0,1,0,0
936.51,-15.66,-79.26,0,1,0,0
938.73,-15.84,-81.08,0,1,0,0
940.92,-16.02,-82.12,0,1,0,0
943.21,-16.20,-78.60,0,1,0,0
945.41,-16.38,-81.63,0,1,0,0
947.67,-16.56,-79.68,0,1,0,0
949.97,-16.74,-78.40,0,1,0,0
952.22,-16.92,-80.04,0,1,0,0
954.41,-17.10,-82.08,0,1,0,0
956.71,-17.28,-78.47,0,1,0,0
958.96,-17.46,-79.89,0,1,0,0
961.15,-17.64,-82.15,0,1,0,0
963.43,-17.82,-78.71,0,1,0,0
965.67,-18.00,-80.65,0,1,0,0
967.85,-18.18,-82.61,0,1,0,0
970.12,-18.36,-79.09,0,1,0,0
972.35,-18.54,-80.79,0,1,0,0
974.54,-18.72,-82.34,0,1,0,0
976.83,-18.90,-78.67,0,1,0,0
979.06,-19.08,-80.43,0,1,0,0
981.27,-19.26,-81.41,0,1,0,0
983.59,-19.44,-77.59,0,1,0,0
985.88,-19.62,-78.81,0,1,0,0
988.12,-19.80,-80.32,0,1,0,0
990.42,-19.98,-78.19,0,1,0,0
992.79,-20.16,-76.08,0,1,0,0
995.05,-20.34,-79.68,0,1,0,0
997.36,-20.52,-77.82,0,1,0,0
999.68,-20.70,-77.69,0,1,0,0
1002.03,-20.88,-76.37,0,1,0,0
1004.30,-21.06,-79.40,0,1,0,0
1006.65,-21.24,-76.66,0,1,0,0
1008.94,-21.42,-78.50,0,1,0,0
1011.19,-21.60,-79.93,0,1,0,0
1013.52,-21.78,-77.39,0,1,0,0
1015.81,-21.96,-78.74,0,1,0,0
1018.04,-22.14,-80.46,0,1,0,0
1020.37,-22.32,-77.42,0,1,0,0
1022.59,-22.50,-80.86,0,1,0,0
1024.91,-22.68,-77.72,0,1,0,0
1027.14,-22.86,-80.90,0,1,0,0
1029.41,-23.04,-79.09,0,1,0,0
1031.73,-23.22,-77.55,0,1,0,0
1034.02,-23.40,-78.84,0,1,0,0
1036.25,-23.58,-80.46,0,1,0,0
1038.59,-23.76,-77.05,0,1,0,0
1040.88,-23.94,-78.43,0,1,0,0
1043.13,-24.12,-80.11,0,1,0,0
1045.49,-24.30,-76.37,0,1,0,0
1047.79,-24.48,-78.09,0,1,0,0
1050.06,-24.66,-79.19,0,1,0,0
1052.45,-24.84,-75.50,0,1,0,0
1054.75,-25.02,-78.36,0,1,0,0
1057.08,-25.20,-77.25,0,1,0,0
1059.46,-25.38,-75.47,0,1,0,0
1061.80,-25.56,-77.09,0,1,0,0
1064.10,-25.74,-78.23,0,1,0,0
1066.50,-25.92,-75.09,0,1,0,0
1068.85,-26.10,-76.43,0,1,0,0
1071.17,-26.28,-77.62,0,1,0,0
1073.59,-26.46,-74.57,0,1,0,0
1075.96,-26.64,-75.89,0,1,0,0
1078.30,-26.82,-76.92,0,1,0,0
1080.75,-27.00,-73.44,0,1,0,0
1083.16,-27.18,-74.57,0,1,0,0
1085.54,-27.36,-75.76,0,1,0,0
1088.02,-27.54,-72.49,0,1,0,0
1090.47,-27.72,-73.44,0,1,0,0
1092.89,-27.90,-74.35,0,1,0,0
1095.42,-28.08,-71.23,0,1,0,0
1097.88,-28.26,-73.23,0,1,0,0
1100.44,-28.44,-70.37,0,1,0,0
1102.97,-28.62,-70.98,0,1,0,0
1105.50,-28.80,-71.37,0,1,0,0
1108.08,-28.98,-69.77,0,1,0,0
1110.73,-29.16,-67.92,0,1,0,0
1113.30,-29.34,-70.07,0,1,0,0
1115.96,-29.52,-67.47,0,1,0,0
1118.58,-29.70,-68.89,0,1,0,0
1121.30,-29.88,-66.03,0,1,0,0
1123.99,-30.06,-66.96,0,1,0,0
1126.63,-30.24,-68.13,0,1,0,0
1129.36,-30.42,-66.13,0,1,0,0
1132.03,-30.60,-67.37,0,1,0,0
1134.64,-30.78,-68.89,0,1,0,0
1137.31,-30.96,-67.31,0,1,0,0
1139.88,-31.14,-70.18,0,1,0,0
1142.52,-31.32,-68.29,0,1,0,0
1145.03,-31.50,-71.54,0,1,0,0
1147.59,-31.68,-70.26,0,1,0,0
1150.20,-31.86,-69.18,0,1,0,0
1152.75,-32.04,-70.53,0,1,0,0
1155.30,-32.22,-70.70,0,1,0,0
1157.79,-32.40,-72.09,0,1,0,0
1160.34,-32.58,-70.48,0,1,0,0
1162.97,-32.76,-68.60,0,1,0,0
1165.56,-32.94,-69.39,0,1,0,0
1168.19,-33.12,-68.42,0,1,0,0
1170.84,-33.30,-68.16,0,1,0,0
1173.47,-33.48,-68.36,0,1,0,0
1176.22,-33.66,-65.29,0,1,0,0
1178.96,-33.84,-65.79,0,1,0,0
1181.70,-34.02,-65.69,0,1,0,0
1184.56,-34.20,-63.00,0,1,0,0
1187.38,-34.38,-63.88,0,1,0,0
1190.32,-34.56,-61.10,0,1,0,0
1193.25,-34.74,-61.50,0,1,0,0
1196.33,-34.92,-58.50,0,1,0,0
1199.46,-35.10,-57.53,0,1,0,0
1202.67,-35.28,-56.06,0,1,0,0
1206.00,-35.46,-54.04,0,1,0,0
1209.44,-35.64,-52.36,0,1,0,0
1212.99,-35.82,-50.68,0,1,0,0
1216.61,-36.00,-49.70,0,1,0,0
1220.21,-36.18,-50.07,0,1,0,0
1223.91,-36.36,-48.56,0,1,0,0
1227.52,-36.54,-49.88,0,1,0,0
1231.18,-36.72,-49.22,0,1,0,0
1234.79,-36.90,-49.92,0,1,0,0
1238.35,-37.08,-50.55,0,1,0,0
1241.87,-37.26,-51.09,0,1,0,0
1245.37,-37.44,-51.38,0,1,0,0
1248.86,-37.62,-51.62,0,1,0,0
1252.34,-37.80,-51.75,0,1,0,0
1255.81,-37.98,-51.86,0,1,0,0
1259.31,-38.16,-51.47,0,1,0,0
1262.81,-38.34,-51.33,0,1,0,0
1266.35,-38.52,-50.89,0,1,0,0
1269.92,-38.70,-50.46,0,1,0,0
1273.54,-38.88,-49.76,0,1,0,0
1277.27,-39.06,-48.23,0,1,0,0
1281.09,-39.24,-47.13,0,1,0,0
1285.06,-39.42,-45.32,0,1,0,0
1289.16,-39.60,-43.88,0,1,0,0
1293.62,-39.78,-40.36,0,1,0,0
1298.43,-39.96,-37.41,0,1,0,0
1303.78,-40.14,-33.67,0,1,0,0
1309.74,-40.32,-30.19,0,1,0,0
1316.36,-40.50,-27.20,0,1,0,0
1323.29,-40.68,-25.98,0,1,0,0
1330.08,-40.86,-26.49,0,1,0,0
1336.48,-41.04,-28.12,0,1,0,0
1342.52,-41.22,-29.82,0,1,0,0
1348.38,-41.40,-30.74,0,1,0,0
1354.01,-41.58,-31.98,0,1,0,0
1359.63,-41.76,-32.00,0,1,0,0
1365.19,-41.94,-32.40,0,1,0,0
1370.74,-42.12,-32.40,0,1,0,0
1376.32,-42.30,-32.28,0,1,0,0
1382.10,-42.48,-31.15,0,1,0,0
1388.20,-42.66,-29.50,0,1,0,0
1394.52,-42.84,-28.46,0,1,0,0
1401.22,-43.02,-26.87,0,1,0,0
1408.76,-43.20,-23.86,0,1,0,0
1417.12,-43.38,-21.53,0,1,0,0
1425.41,-43.56,-21.73,0,1,0,0
1433.18,-43.74,-23.17,0,1,0,0
1440.37,-43.92,-25.01,0,1,0,0
1447.38,-44.10,-25.69,0,1,0,0
1454.15,-44.28,-26.58,0,1,0,0
1460.81,-44.46,-27.04,0,1,0,0
1467.39,-44.64,-27.37,0,1,0,0
1473.73,-44.82,-28.39,0,1,0,0
1479.87,-45.00,-29.29,0,1,0,0
1485.84,-45.18,-30.17,0,1,0,0
1491.67,-45.36,-30.86,0,1,0,0
1497.45,-45.54,-31.15,0,1,0,0
1503.40,-45.72,-30.26,0,1,0,0
1509.21,-45.90,-31.00,0,1,0,0
1514.94,-46.08,-31.39,0,1,0,0
1520.49,-46.26,-32.41,0,1,0,0
1525.97,-46.44,-32.89,0,1,0,0
1531.39,-46.62,-33.19,0,1,0,0
1536.83,-46.80,-33.09,0,1,0,0
1542.33,-46.98,-32.74,0,1,0,0
1547.98,-47.16,-31.85,0,1,0,0
1553.86,-47.34,-30.61,0,1,0,0
1559.89,-47.52,-29.86,0,1,0,0
1565.73,-47.70,-30.81,0,1,0,0
1571.29,-47.88,-32.38,0,1,0,0
1576.47,-48.06,-34.78,0,1,0,0
1581.29,-48.24,-37.28,0,1,0,0
1585.82,-48.42,-39.80,0,1,0,0
1590.18,-48.60,-41.25,0,1,0,0
1594.41,-48.78,-42.59,0,1,0,0
1598.59,-48.96,-43.03,0,1,0,0
1602.78,-49.14,-42.93,0,1,0,0
1607.02,-49.32,-42.49,0,1,0,0
1611.34,-49.50,-41.68,0,1,0,0
1615.79,-49.68,-40.49,0,1,0,0
1620.43,-49.86,-38.77,0,1,0,0
1625.30,-50.04,-36.97,0,1,0,0
1630.43,-50.22,-35.08,0,1,0,0
1635.84,-50.40,-33.28,0,1,0,0
1641.52,-50.58,-31.67,0,1,0,0
1647.62,-50.76,-29.48,0,1,0,0
1654.19,-50.94,-27.41,0,1,0,0
1661.11,-51.12,-26.03,0,1,0,0
1668.27,-51.30,-25.12,0,1,0,0
1675.40,-51.48,-25.25,0,1,0,0
1682.23,-51.66,-26.37,0,1,0,0
1688.97,-51.84,-26.69,0,1,0,0
1695.31,-52.02,-28.40,0,1,0,0
1701.30,-52.20,-30.09,0,1,0,0
1707.09,-52.38,-31.08,0,1,0,0
1712.73,-52.56,-31.86,0,1,0,0
1718.31,-52.74,-32.27,0,1,0,0
1723.87,-52.92,-32.39,0,1,0,0
1729.52,-53.10,-31.90,0,1,0,0
1735.23,-53.28,-31.47,0,1,0,0
1741.19,-53.46,-30.22,0,1,0,0
1747.32,-53.64,-29.38,0,1,0,0
1754.29,-53.82,-25.82,0,1,0,0
2196.37,-53.64,0.41,0,1,0,0
2202.24,-53.46,30.68,0,1,0,0
2205.58,-53.28,53.86,0,1,0,0
2208.12,-53.10,70.92,0,1,0,0
2210.23,-52.92,85.07,0,1,0,0
2212.08,-52.74,97.14,0,1,0,0
2213.77,-52.56,106.76,0,1,0,0
2215.27,-52.38,120.32,0,1,0,0
2216.71,-52.20,124.83,0,1,0,0
2218.11,-52.02,128.85,0,1,0,0
2219.38,-51.84,140.96,0,1,0,0
2220.56,-51.66,152.93,0,1,0,0
2221.73,-51.48,153.71,0,1,0,0
2222.85,-51.30,160.57,0,1,0,0
2223.92,-51.12,168.22,0,1,0,0
2225.02,-50.94,164.53,0,1,0,0
2226.02,-50.76,179.46,0,1,0,0
2226.95,-50.58,193.55,0,1,0,0
2227.89,-50.40,191.08,0,1,0,0
2228.82,-50.22,194.38,0,1,0,0
2229.71,-50.04,201.12,0,1,0,0
2230.58,-49.86,206.66,0,1,0,0
2231.45,-49.68,208.82,0,1,0,0
2232.33,-49.50,203.39,0,1,0,0
2233.10,-49.32,235.29,0,1,0,0
2233.90,-49.14,225.28,0,1,0,0
2234.69,-48.96,228.14,0,1,0,0
2235.46,-48.78,231.96,0,1,0,0
2236.21,-48.60,239.04,0,1,0,0
2236.96,-48.42,240.32,0,1,0,0
2237.70,-48.24,244.23,0,1,0,0
2238.42,-48.06,248.96,0,1,0,0
2239.18,-47.88,238.73,0,1,0,0
2239.83,-47.70,273.97,0,1,0,0
2240.53,-47.52,260.12,0,1,0,0
2241.21,-47.34,263.16,0,1,0,0
2241.88,-47.16,267.86,0,1,0,0
2242.54,-46.98,271.08,0,1,0,0
2243.20,-46.80,274.39,0,1,0,0
2243.85,-46.62,276.50,0,1,0,0
2244.49,-46.44,281.25,0,1,0,0
2245.12,-46.26,286.17,0,1,0,0
2245.75,-46.08,288.00,0,1,0,0
2246.36,-45.90,291.73,0,1,0,0
2246.97,-45.72,295.57,0,1,0,0
2247.58,-45.54,298.51,0,1,0,0
2248.17,-45.36,303.54,0,1,0,0
2248.76,-45.18,304.05,0,1,0,0
2249.35,-45.00,307.69,0,1,0,0
2249.93,-44.82,310.34,0,1,0,0
2250.50,-44.64,311.96,0,1,0,0
2251.07,-44.46,315.79,0,1,0,0
2251.64,-44.28,319.15,0,1,0,0
2252.25,-44.10,296.54,0,1,0,0
2252.75,-43.92,357.85,0,1,0,0
2253.30,-43.74,327.87,0,1,0,0
2253.84,-43.56,330.88,0,1,0,0
2254.38,-43.38,333.33,0,1,0,0
2254.92,-43.20,335.20,0,1,0,0
2255.45,-43.02,338.35,0,1,0,0
2255.97,-42.84,343.51,0,1,0,0
2256.50,-42.66,342.21,0,1,0,0
2257.02,-42.48,346.15,0,1,0,0
2257.53,-42.30,348.84,0,1,0,0
2258.05,-42.12,351.56,0,1,0,0
2258.55,-41.94,354.33,0,1,0,0
2259.11,-41.76,326.68,0,1,0,0
2259.56,-41.58,398.23,0,1,0,0
2260.06,-41.40,360.72,0,1,0,0
2260.55,-41.22,362.90,0,1,0,0
2261.04,-41.04,368.10,0,1,0,0
2261.53,-40.86,366.60,0,1,0,0
2262.02,-40.68,372.67,0,1,0,0
2262.50,-40.50,372.67,0,1,0,0
2262.98,-40.32,376.57,0,1,0,0
2263.46,-40.14,375.78,0,1,0,0
2263.93,-39.96,379.75,0,1,0,0
2264.41,-39.78,380.55,0,1,0,0
2264.87,-39.60,383.80,0,1,0,0
2265.34,-39.42,387.93,0,1,0,0
2265.85,-39.24,353.63,0,1,0,0
2266.31,-39.06,391.30,0,1,0,0
2266.76,-38.88,395.60,0,1,0,0
2267.22,-38.70,395.60,0,1,0,0
2267.63,-38.52,441.18,0,1,0,0
2268.08,-38.34,400.00,0,1,0,0
2268.57,-38.16,362.17,0,1,0,0
2269.02,-37.98,402.68,0,1,0,0
2269.47,-37.80,403.59,0,1,0,0
2269.91,-37.62,405.41,0,1,0,0
2270.30,-37.44,462.72,0,1,0,0
2270.78,-37.26,371.13,0,1,0,0
2271.17,-37.08,463.92,0,1,0,0
2271.66,-36.90,374.22,0,1,0,0
2272.08,-36.72,417.63,0,1,0,0
2272.51,-36.54,418.60,0,1,0,0
2272.90,-36.36,472.44,0,1,0,0
2273.32,-36.18,422.54,0,1,0,0
2273.75,-36.00,423.53,0,1,0,0
2274.17,-35.82,425.53,0,1,0,0
2274.59,-35.64,424.53,0,1,0,0
2275.02,-35.46,428.57,0,1,0,0
2275.43,-35.28,429.59,0,1,0,0
2275.85,-35.10,432.69,0,1,0,0
2276.27,-34.92,430.62,0,1,0,0
2276.68,-34.74,434.78,0,1,0,0
2277.09,-34.56,435.84,0,1,0,0
2277.51,-34.38,436.89,0,1,0,0
2277.92,-34.20,439.02,0,1,0,0
2278.32,-34.02,442.26,0,1,0,0
2278.78,-33.84,392.16,0,1,0,0
2279.18,-33.66,452.26,0,1,0,0
2279.58,-33.48,446.65,0,1,0,0
2279.99,-33.30,447.76,0,1,0,0
2280.38,-33.12,452.26,0,1,0,0
2280.78,-32.94,451.13,0,1,0,0
2281.13,-32.76,515.76,0,1,0,0
2281.58,-32.58,404.49,0,1,0,0
2281.97,-32.40,458.02,0,1,0,0
2282.36,-32.22,455.70,0,1,0,0
2282.76,-32.04,461.54,0,1,0,0
2283.14,-31.86,462.72,0,1,0,0
2283.49,-31.68,526.32,0,1,0,0
2283.87,-31.50,463.92,0,1,0,0
2284.26,-31.32,466.32,0,1,0,0
2284.64,-31.14,468.75,0,1,0,0
2285.08,-30.96,417.63,0,1,0,0
2285.41,-30.78,537.31,0,1,0,0
2285.79,-30.60,469.97,0,1,0,0
2286.17,-30.42,473.68,0,1,0,0
2286.55,-30.24,472.44,0,1,0,0
2286.93,-30.06,477.45,0,1,0,0
2287.31,-29.88,477.45,0,1,0,0
2287.68,-29.70,478.72,0,1,0,0
2288.06,-29.52,481.28,0,1,0,0
2288.44,-29.34,478.72,0,1,0,0
2288.81,-29.16,482.57,0,1,0,0
2289.18,-28.98,483.87,0,1,0,0
2289.55,-28.80,483.87,0,1,0,0
2289.92,-28.62,485.18,0,1,0,0
2290.29,-28.44,487.80,0,1,0,0
2290.66,-28.26,487.80,0,1,0,0
2291.03,-28.08,490.46,0,1,0,0
2291.39,-27.90,491.80,0,1,0,0
2291.76,-27.72,491.80,0,1,0,0
2292.12,-27.54,494.51,0,1,0,0
2292.49,-27.36,495.87,0,1,0,0
2292.85,-27.18,495.87,0,1,0,0
2293.21,-27.00,497.24,0,1,0,0
2293.57,-26.82,498.61,0,1,0,0
2293.93,-26.64,498.61,0,1,0,0
2294.29,-26.46,498.61,0,1,0,0
2294.65,-26.28,501.39,0,1,0,0
2295.01,-26.10,502.79,0,1,0,0
2295.37,-25.92,504.20,0,1,0,0
2295.77,-25.74,446.65,0,1,0,0
2296.08,-25.56,582.52,0,1,0,0
2296.44,-25.38,507.04,0,1,0,0
2296.79,-25.20,508.47,0,1,0,0
2297.14,-25.02,509.92,0,1,0,0
2297.50,-24.84,512.82,0,1,0,0
