Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
261.36,0.00,-0.69,0,1,0,0
278.36,-0.18,-10.59,0,1,0,0
290.87,-0.36,-14.39,0,1,0,0
301.83,-0.54,-16.43,0,1,0,0
312.12,-0.72,-17.48,0,1,0,0
322.10,-0.90,-18.05,0,1,0,0
331.82,-1.08,-18.51,0,1,0,0
342.05,-1.26,-17.60,0,1,0,0
352.57,-1.44,-17.11,0,1,0,0
362.82,-1.62,-17.57,0,1,0,0
372.87,-1.80,-17.91,0,1,0,0
382.93,-1.98,-17.89,0,1,0,0
392.89,-2.16,-18.08,0,1,0,0
401.38,-2.34,-21.20,0,1,0,0
407.97,-2.52,-27.29,0,1,0,0
413.14,-2.70,-34.86,0,1,0,0
417.48,-2.88,-41.43,0,1,0,0
421.26,-3.06,-47.62,0,1,0,0
424.67,-3.24,-52.82,0,1,0,0
427.75,-3.42,-58.38,0,1,0,0
430.58,-3.60,-63.58,0,1,0,0
433.31,-3.78,-65.98,0,1,0,0
435.82,-3.96,-71.83,0,1,0,0
438.29,-4.14,-72.93,0,1,0,0
440.61,-4.32,-77.32,0,1,0,0
442.88,-4.50,-79.40,0,1,0,0
445.03,-4.68,-83.72,0,1,0,0
447.22,-4.86,-82.08,0,1,0,0
449.30,-5.04,-86.75,0,1,0,0
451.38,-5.22,-86.62,0,1,0,0
453.43,-5.40,-87.72,0,1,0,0
455.46,-5.58,-88.41,0,1,0,0
457.48,-5.76,-89.15,0,1,0,0
459.55,-5.94,-87.34,0,1,0,0
461.51,-6.12,-91.42,0,1,0,0
463.59,-6.30,-86.79,0,1,0,0
465.58,-6.48,-90.41,0,1,0,0
467.67,-6.66,-86.17,0,1,0,0
469.73,-6.84,-87.25,0,1,0,0
471.76,-7.02,-88.80,0,1,0,0
473.84,-7.20,-86.33,0,1,0,0
475.99,-7.38,-83.84,0,1,0,0
478.06,-7.56,-87.00,0,1,0,0
480.22,-7.74,-83.14,0,1,0,0
482.32,-7.92,-86.00,0,1,0,0
484.47,-8.10,-83.68,0,1,0,0
486.63,-8.28,-83.14,0,1,0,0
488.81,-8.46,-82.80,0,1,0,0
491.05,-8.64,-80.29,0,1,0,0
493.21,-8.82,-83.33,0,1,0,0
495.43,-9.00,-80.90,0,1,0,0
497.68,-9.18,-80.21,0,1,0,0
499.99,-9.36,-77.82,0,1,0,0
502.23,-9.54,-80.61,0,1,0,0
504.53,-9.72,-78.02,0,1,0,0
506.90,-9.90,-75.95,0,1,0,0
509.26,-10.08,-76.37,0,1,0,0
511.58,-10.26,-77.42,0,1,0,0
513.98,-10.44,-75.09,0,1,0,0
516.45,-10.62,-73.08,0,1,0,0
518.84,-10.80,-75.03,0,1,0,0
521.32,-10.98,-72.76,0,1,0,0
523.87,-11.16,-70.42,0,1,0,0
526.42,-11.34,-70.62,0,1,0,0
528.96,-11.52,-70.95,0,1,0,0
531.59,-11.70,-68.42,0,1,0,0
534.27,-11.88,-67.26,0,1,0,0
537.04,-12.06,-64.96,0,1,0,0
539.83,-12.24,-64.49,0,1,0,0
542.63,-12.42,-64.31,0,1,0,0
545.53,-12.60,-62.00,0,1,0,0
548.53,-12.78,-60.10,0,1,0,0
551.51,-12.96,-60.36,0,1,0,0
554.64,-13.14,-57.40,0,1,0,0
557.81,-13.32,-56.89,0,1,0,0
561.00,-13.50,-56.43,0,1,0,0
564.30,-13.68,-54.55,0,1,0,0
567.74,-13.86,-52.34,0,1,0,0
571.15,-14.04,-52.69,0,1,0,0
574.75,-14.22,-50.07,0,1,0,0
578.47,-14.40,-48.44,0,1,0,0
582.33,-14.58,-46.61,0,1,0,0
586.37,-14.76,-44.55,0,1,0,0
590.60,-14.94,-42.52,0,1,0,0
595.06,-15.12,-40.32,0,1,0,0
599.79,-15.30,-38.09,0,1,0,0
604.72,-15.48,-36.49,0,1,0,0
609.32,-15.66,-39.12,0,1,0,0
613.16,-15.84,-46.91,0,1,0,0
616.40,-16.02,-55.59,0,1,0,0
619.22,-16.20,-63.83,0,1,0,0
621.68,-16.38,-72.96,0,1,0,0
624.01,-16.56,-77.32,0,1,0,0
626.12,-16.74,-85.51,0,1,0,0
628.05,-16.92,-93.17,0,1,0,0
629.97,-17.10,-93.56,0,1,0,0
631.71,-17.28,-103.99,0,1,0,0
633.47,-17.46,-102.21,0,1,0,0
635.07,-17.64,-111.94,0,1,0,0
636.73,-17.82,-108.76,0,1,0,0
638.26,-18.00,-117.96,0,1,0,0
639.84,-18.18,-113.64,0,1,0,0
641.30,-18.36,-123.03,0,1,0,0
642.79,-18.54,-120.81,0,1,0,0
