Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1155.17,-0.18,-0.16,0,1,0,0
1162.51,-0.36,-24.50,0,1,0,0
1167.44,-0.54,-36.53,0,1,0,0
1171.37,-0.72,-45.80,0,1,0,0
1174.87,-0.90,-51.46,0,1,0,0
1178.09,-1.08,-55.88,0,1,0,0
1181.12,-1.26,-59.29,0,1,0,0
1184.00,-1.44,-62.59,0,1,0,0
1186.83,-1.62,-63.47,0,1,0,0
1189.67,-1.80,-63.49,0,1,0,0
1192.44,-1.98,-65.05,0,1,0,0
1195.21,-2.16,-65.01,0,1,0,0
1197.97,-2.34,-65.15,0,1,0,0
1200.70,-2.52,-66.01,0,1,0,0
1203.39,-2.70,-66.77,0,1,0,0
1206.11,-2.88,-66.32,0,1,0,0
1208.83,-3.06,-66.10,0,1,0,0
1211.56,-3.24,-65.93,0,1,0,0
1214.30,-3.42,-65.81,0,1,0,0
1217.04,-3.60,-65.50,0,1,0,0
1219.77,-3.78,-66.10,0,1,0,0
1222.60,-3.96,-63.54,0,1,0,0
1225.35,-4.14,-65.55,0,1,0,0
1228.20,-4.32,-62.98,0,1,0,0
1230.96,-4.50,-65.34,0,1,0,0
1233.82,-4.68,-62.89,0,1,0,0
1236.65,-4.86,-63.58,0,1,0,0
1239.45,-5.04,-64.22,0,1,0,0
1242.33,-5.22,-62.65,0,1,0,0
1245.13,-5.40,-64.24,0,1,0,0
1248.05,-5.58,-61.64,0,1,0,0
1250.95,-5.76,-62.13,0,1,0,0
1253.80,-5.94,-63.09,0,1,0,0
1256.77,-6.12,-60.65,0,1,0,0
1259.65,-6.30,-62.48,0,1,0,0
1262.61,-6.48,-60.87,0,1,0,0
1265.48,-6.66,-62.67,0,1,0,0
1268.34,-6.84,-63.03,0,1,0,0
1271.13,-7.02,-64.45,0,1,0,0
1273.85,-7.20,-66.20,0,1,0,0
1276.64,-7.38,-64.59,0,1,0,0
1279.31,-7.56,-67.39,0,1,0,0
1282.04,-7.74,-65.86,0,1,0,0
1284.70,-7.92,-67.67,0,1,0,0
1287.28,-8.10,-69.82,0,1,0,0
1289.93,-8.28,-67.98,0,1,0,0
1292.49,-8.46,-70.15,0,1,0,0
1295.03,-8.64,-70.84,0,1,0,0
1297.50,-8.82,-73.02,0,1,0,0
1299.99,-9.00,-72.23,0,1,0,0
1302.52,-9.18,-71.29,0,1,0,0
1304.97,-9.36,-73.47,0,1,0,0
1307.36,-9.54,-75.31,0,1,0,0
1309.82,-9.72,-73.14,0,1,0,0
1312.22,-9.90,-75.00,0,1,0,0
1314.55,-10.08,-77.25,0,1,0,0
1316.94,-10.26,-75.13,0,1,0,0
1319.27,-10.44,-77.22,0,1,0,0
1321.52,-10.62,-80.29,0,1,0,0
1323.86,-10.80,-76.86,0,1,0,0
1326.15,-10.98,-78.71,0,1,0,0
1328.36,-11.16,-81.23,0,1,0,0
1330.68,-11.34,-77.82,0,1,0,0
1332.93,-11.52,-79.89,0,1,0,0
1335.13,-11.70,-81.63,0,1,0,0
1337.42,-11.88,-78.81,0,1,0,0
1339.60,-12.06,-82.53,0,1,0,0
1341.81,-12.24,-81.34,0,1,0,0
1344.07,-12.42,-79.54,0,1,0,0
1346.27,-12.60,-81.86,0,1,0,0
1348.43,-12.78,-83.53,0,1,0,0
1350.67,-12.96,-80.21,0,1,0,0
1352.81,-13.14,-84.07,0,1,0,0
1355.01,-13.32,-82.08,0,1,0,0
1357.19,-13.50,-82.42,0,1,0,0
1359.43,-13.68,-80.32,0,1,0,0
1361.61,-13.86,-82.42,0,1,0,0
1363.75,-14.04,-84.19,0,1,0,0
1366.00,-14.22,-80.18,0,1,0,0
1368.19,-14.40,-82.12,0,1,0,0
1370.34,-14.58,-83.80,0,1,0,0
1372.57,-14.76,-80.61,0,1,0,0
1374.76,-14.94,-82.08,0,1,0,0
1376.91,-15.12,-83.84,0,1,0,0
1379.17,-15.30,-79.82,0,1,0,0
1381.36,-15.48,-81.89,0,1,0,0
1383.53,-15.66,-83.10,0,1,0,0
1385.80,-15.84,-79.33,0,1,0,0
1388.02,-16.02,-80.97,0,1,0,0
1390.26,-16.20,-80.36,0,1,0,0
1392.45,-16.38,-82.27,0,1,0,0
1394.73,-16.56,-78.81,0,1,0,0
1396.92,-16.74,-82.46,0,1,0,0
1399.15,-16.92,-80.54,0,1,0,0
1401.44,-17.10,-78.53,0,1,0,0
1403.69,-17.28,-80.07,0,1,0,0
1405.90,-17.46,-81.45,0,1,0,0
1408.21,-17.64,-78.09,0,1,0,0
1410.47,-17.82,-79.68,0,1,0,0
1412.69,-18.00,-80.94,0,1,0,0
1415.02,-18.18,-77.25,0,1,0,0
1417.31,-18.36,-78.64,0,1,0,0
1419.56,-18.54,-80.00,0,1,0,0
1421.92,-18.72,-76.27,0,1,0,0
1424.19,-18.90,-79.33,0,1,0,0
1426.51,-19.08,-77.52,0,1,0,0
1428.90,-19.26,-75.25,0,1,0,0
1431.26,-19.44,-76.53,0,1,0,0
1433.57,-19.62,-77.79,0,1,0,0
1435.99,-19.80,-74.38,0,1,0,0
1438.33,-19.98,-76.86,0,1,0,0
1440.74,-20.16,-74.75,0,1,0,0
1443.23,-20.34,-72.23,0,1,0,0
1445.68,-20.52,-73.44,0,1,0,0
1448.17,-20.70,-72.46,0,1,0,0
1450.67,-20.88,-71.83,0,1,0,0
1453.15,-21.06,-72.64,0,1,0,0
1455.75,-21.24,-69.26,0,1,0,0
1458.32,-21.42,-70.04,0,1,0,0
1460.91,-21.60,-69.63,0,1,0,0
1463.52,-21.78,-68.91,0,1,0,0
1466.16,-21.96,-68.21,0,1,0,0
1468.82,-22.14,-67.44,0,1,0,0
1471.54,-22.32,-66.32,0,1,0,0
1474.27,-22.50,-65.96,0,1,0,0
1477.02,-22.68,-65.34,0,1,0,0
1479.81,-22.86,-64.52,0,1,0,0
1482.62,-23.04,-64.10,0,1,0,0
1485.42,-23.22,-64.38,0,1,0,0
1488.28,-23.40,-62.94,0,1,0,0
1491.16,-23.58,-62.46,0,1,0,0
1494.07,-23.76,-61.81,0,1,0,0
1496.99,-23.94,-61.64,0,1,0,0
1499.93,-24.12,-61.22,0,1,0,0
1502.93,-24.30,-59.92,0,1,0,0
1505.90,-24.48,-60.67,0,1,0,0
1508.88,-24.66,-60.48,0,1,0,0
1511.85,-24.84,-60.54,0,1,0,0
1514.83,-25.02,-60.46,0,1,0,0
1517.82,-25.20,-60.22,0,1,0,0
1520.78,-25.38,-60.85,0,1,0,0
1523.76,-25.56,-60.20,0,1,0,0
1526.83,-25.74,-58.69,0,1,0,0
1529.86,-25.92,-59.37,0,1,0,0
1532.92,-26.10,-59.00,0,1,0,0
1535.98,-26.28,-58.75,0,1,0,0
1539.06,-26.46,-58.37,0,1,0,0
1542.18,-26.64,-57.80,0,1,0,0
1545.31,-26.82,-57.54,0,1,0,0
1548.49,-27.00,-56.55,0,1,0,0
1551.77,-27.18,-54.93,0,1,0,0
1555.14,-27.36,-53.36,0,1,0,0
1558.62,-27.54,-51.65,0,1,0,0
1562.23,-27.72,-49.90,0,1,0,0
1565.91,-27.90,-48.95,0,1,0,0
1569.79,-28.08,-46.40,0,1,0,0
1573.67,-28.26,-46.37,0,1,0,0
1577.78,-28.44,-43.78,0,1,0,0
1581.98,-28.62,-42.85,0,1,0,0
1586.29,-28.80,-41.79,0,1,0,0
1590.82,-28.98,-39.75,0,1,0,0
1595.02,-29.16,-42.84,0,1,0,0
1598.76,-29.34,-48.09,0,1,0,0
1602.22,-29.52,-52.07,0,1,0,0
1605.48,-29.70,-55.25,0,1,0,0
1608.59,-29.88,-57.86,0,1,0,0
1611.56,-30.06,-60.54,0,1,0,0
1614.46,-30.24,-62.03,0,1,0,0
1617.31,-30.42,-63.40,0,1,0,0
1620.09,-30.60,-64.54,0,1,0,0
1622.84,-30.78,-65.53,0,1,0,0
1625.56,-30.96,-66.30,0,1,0,0
1628.26,-31.14,-66.69,0,1,0,0
1630.92,-31.32,-67.59,0,1,0,0
1633.52,-31.50,-69.28,0,1,0,0
1636.19,-31.68,-67.42,0,1,0,0
1638.78,-31.86,-69.39,0,1,0,0
1641.30,-32.04,-71.40,0,1,0,0
1643.89,-32.22,-69.58,0,1,0,0
1646.39,-32.40,-72.00,0,1,0,0
1648.81,-32.58,-74.35,0,1,0,0
1651.28,-32.76,-72.87,0,1,0,0
1653.66,-32.94,-75.60,0,1,0,0
1655.96,-33.12,-78.06,0,1,0,0
1658.32,-33.30,-76.50,0,1,0,0
1660.55,-33.48,-80.72,0,1,0,0
1662.78,-33.66,-80.79,0,1,0,0
1665.02,-33.84,-80.07,0,1,0,0
1667.19,-34.02,-83.22,0,1,0,0
1669.27,-34.20,-86.41,0,1,0,0
1671.42,-34.38,-83.84,0,1,0,0
1673.44,-34.56,-89.20,0,1,0,0
1675.47,-34.74,-88.28,0,1,0,0
