Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
594.03,-0.18,-0.30,0,1,0,0
680.19,-0.36,-2.09,0,1,0,0
764.29,-0.54,-2.14,0,1,0,0
891.88,-0.72,-1.41,0,1,0,0
1522.02,-0.90,-0.29,0,1,0,0
1527.51,-1.08,-32.75,0,1,0,0
1531.68,-1.26,-43.14,0,1,0,0
1535.25,-1.44,-50.46,0,1,0,0
1538.54,-1.62,-54.84,0,1,0,0
1541.52,-1.80,-60.18,0,1,0,0
1544.48,-1.98,-60.85,0,1,0,0
1547.29,-2.16,-64.06,0,1,0,0
1549.98,-2.34,-66.94,0,1,0,0
1552.68,-2.52,-66.82,0,1,0,0
1555.36,-2.70,-66.91,0,1,0,0
1557.96,-2.88,-69.26,0,1,0,0
1560.50,-3.06,-70.98,0,1,0,0
1563.08,-3.24,-69.85,0,1,0,0
1565.54,-3.42,-73.08,0,1,0,0
1568.07,-3.60,-71.09,0,1,0,0
1570.51,-3.78,-73.95,0,1,0,0
1572.95,-3.96,-73.62,0,1,0,0
1575.42,-4.14,-72.87,0,1,0,0
1577.84,-4.32,-74.50,0,1,0,0
1580.16,-4.50,-77.49,0,1,0,0
1582.57,-4.68,-74.75,0,1,0,0
1584.92,-4.86,-76.63,0,1,0,0
1587.26,-5.04,-76.92,0,1,0,0
1589.52,-5.22,-79.47,0,1,0,0
1591.89,-5.40,-76.14,0,1,0,0
1594.20,-5.58,-77.92,0,1,0,0
1596.46,-5.76,-79.65,0,1,0,0
1598.80,-5.94,-76.82,0,1,0,0
1601.05,-6.12,-80.14,0,1,0,0
1603.33,-6.30,-78.74,0,1,0,0
1605.67,-6.48,-76.99,0,1,0,0
1607.95,-6.66,-78.84,0,1,0,0
1610.20,-6.84,-80.21,0,1,0,0
1612.52,-7.02,-77.45,0,1,0,0
1614.80,-7.20,-78.91,0,1,0,0
1617.05,-7.38,-80.04,0,1,0,0
1619.40,-7.56,-76.66,0,1,0,0
1621.71,-7.74,-77.79,0,1,0,0
1623.98,-7.92,-79.47,0,1,0,0
1626.34,-8.10,-76.11,0,1,0,0
1628.67,-8.28,-77.42,0,1,0,0
1630.94,-8.46,-79.16,0,1,0,0
1633.33,-8.64,-75.44,0,1,0,0
1635.67,-8.82,-76.96,0,1,0,0
1637.97,-9.00,-78.19,0,1,0,0
1640.33,-9.18,-76.30,0,1,0,0
1642.74,-9.36,-74.66,0,1,0,0
1645.06,-9.54,-77.45,0,1,0,0
1647.49,-9.72,-74.20,0,1,0,0
1649.87,-9.90,-75.57,0,1,0,0
1652.21,-10.08,-76.92,0,1,0,0
1654.63,-10.26,-74.53,0,1,0,0
1656.96,-10.44,-77.09,0,1,0,0
1659.34,-10.62,-75.54,0,1,0,0
1661.70,-10.80,-76.50,0,1,0,0
1664.04,-10.98,-76.89,0,1,0,0
1666.32,-11.16,-79.09,0,1,0,0
1668.66,-11.34,-76.63,0,1,0,0
1670.94,-11.52,-79.16,0,1,0,0
1673.15,-11.70,-81.48,0,1,0,0
1675.41,-11.88,-79.47,0,1,0,0
1677.60,-12.06,-82.27,0,1,0,0
1679.70,-12.24,-85.63,0,1,0,0
1681.86,-12.42,-83.26,0,1,0,0
1683.95,-12.60,-86.29,0,1,0,0
1685.94,-12.78,-90.41,0,1,0,0
1688.00,-12.96,-87.55,0,1,0,0
1689.92,-13.14,-93.60,0,1,0,0
1691.91,-13.32,-90.45,0,1,0,0
1693.77,-13.50,-96.98,0,1,0,0
1695.70,-13.68,-93.26,0,1,0,0
1697.54,-13.86,-97.46,0,1,0,0
1699.32,-14.04,-101.35,0,1,0,0
1701.18,-14.22,-96.98,0,1,0,0
1702.96,-14.40,-101.12,0,1,0,0
1704.71,-14.58,-102.51,0,1,0,0
1706.39,-14.76,-107.02,0,1,0,0
1708.15,-14.94,-102.51,0,1,0,0
1709.79,-15.12,-109.62,0,1,0,0
1711.47,-15.30,-107.33,0,1,0,0
1713.12,-15.48,-109.02,0,1,0,0
1714.81,-15.66,-106.82,0,1,0,0
1716.39,-15.84,-113.64,0,1,0,0
1718.00,-16.02,-111.73,0,1,0,0
1719.60,-16.20,-112.22,0,1,0,0
1721.24,-16.38,-110.43,0,1,0,0
1722.76,-16.56,-117.80,0,1,0,0
1724.36,-16.74,-112.50,0,1,0,0
1725.86,-16.92,-120.24,0,1,0,0
1727.45,-17.10,-113.35,0,1,0,0
1728.98,-17.28,-117.72,0,1,0,0
1730.45,-17.46,-121.95,0,1,0,0
1731.97,-17.64,-119.05,0,1,0,0
1733.47,-17.82,-119.84,0,1,0,0
1735.02,-18.00,-116.35,0,1,0,0
1736.51,-18.18,-120.24,0,1,0,0
1737.96,-18.36,-124.65,0,1,0,0
1739.44,-18.54,-121.46,0,1,0,0
1740.97,-18.72,-117.65,0,1,0,0
1742.40,-18.90,-125.96,0,1,0,0
1743.87,-19.08,-122.70,0,1,0,0
1745.33,-19.26,-122.53,0,1,0,0
1746.80,-19.44,-122.87,0,1,0,0
1748.31,-19.62,-119.68,0,1,0,0
1749.76,-19.80,-124.05,0,1,0,0
1751.21,-19.98,-124.14,0,1,0,0
1752.61,-20.16,-128.30,0,1,0,0
1754.06,-20.34,-123.88,0,1,0,0
1755.56,-20.52,-120.48,0,1,0,0
1756.96,-20.70,-127.93,0,1,0,0
1758.46,-20.88,-120.32,0,1,0,0
1759.86,-21.06,-128.48,0,1,0,0
1761.31,-21.24,-124.14,0,1,0,0
1762.80,-21.42,-120.64,0,1,0,0
1764.25,-21.60,-124.74,0,1,0,0
1765.64,-21.78,-128.94,0,1,0,0
1767.09,-21.96,-124.40,0,1,0,0
1768.53,-22.14,-124.57,0,1,0,0
1769.98,-22.32,-124.05,0,1,0,0
1771.48,-22.50,-120.32,0,1,0,0
1772.89,-22.68,-128.21,0,1,0,0
1774.34,-22.86,-123.71,0,1,0,0
1775.80,-23.04,-123.63,0,1,0,0
1777.26,-23.22,-123.29,0,1,0,0
1778.71,-23.40,-123.46,0,1,0,0
1780.18,-23.58,-123.37,0,1,0,0
1781.64,-23.76,-122.78,0,1,0,0
1783.11,-23.94,-122.78,0,1,0,0
1784.57,-24.12,-122.78,0,1,0,0
1786.05,-24.30,-122.12,0,1,0,0
1787.52,-24.48,-122.03,0,1,0,0
1789.00,-24.66,-121.70,0,1,0,0
1790.49,-24.84,-121.46,0,1,0,0
1791.97,-25.02,-121.38,0,1,0,0
1793.45,-25.20,-121.13,0,1,0,0
1794.94,-25.38,-120.64,0,1,0,0
1796.43,-25.56,-120.89,0,1,0,0
1797.98,-25.74,-116.28,0,1,0,0
1799.48,-25.92,-120.08,0,1,0,0
1800.94,-26.10,-123.46,0,1,0,0
1802.44,-26.28,-119.52,0,1,0,0
1804.00,-26.46,-115.83,0,1,0,0
1805.51,-26.64,-118.97,0,1,0,0
1806.97,-26.82,-123.29,0,1,0,0
1808.48,-27.00,-119.05,0,1,0,0
1810.00,-27.18,-118.97,0,1,0,0
1811.56,-27.36,-115.31,0,1,0,0
1813.07,-27.54,-119.05,0,1,0,0
1814.59,-27.72,-118.73,0,1,0,0
1816.06,-27.90,-122.20,0,1,0,0
1817.63,-28.08,-114.72,0,1,0,0
1819.15,-28.26,-118.66,0,1,0,0
1820.67,-28.44,-118.11,0,1,0,0
1822.19,-28.62,-118.27,0,1,0,0
1823.67,-28.80,-121.95,0,1,0,0
1825.24,-28.98,-114.72,0,1,0,0
1826.72,-29.16,-121.79,0,1,0,0
1828.28,-29.34,-115.02,0,1,0,0
1829.80,-29.52,-118.58,0,1,0,0
1831.27,-29.70,-122.62,0,1,0,0
1832.78,-29.88,-118.89,0,1,0,0
1834.34,-30.06,-115.53,0,1,0,0
1835.85,-30.24,-119.05,0,1,0,0
1837.31,-30.42,-123.12,0,1,0,0
1838.82,-30.60,-119.21,0,1,0,0
1840.33,-30.78,-119.21,0,1,0,0
1841.89,-30.96,-115.76,0,1,0,0
1843.40,-31.14,-119.36,0,1,0,0
1844.90,-31.32,-120.08,0,1,0,0
1846.35,-31.50,-124.05,0,1,0,0
1847.89,-31.68,-116.66,0,1,0,0
1849.38,-31.86,-120.72,0,1,0,0
1850.87,-32.04,-120.97,0,1,0,0
1852.31,-32.22,-125.09,0,1,0,0
1853.79,-32.40,-121.29,0,1,0,0
1855.33,-32.58,-117.49,0,1,0,0
1856.80,-32.76,-121.87,0,1,0,0
1858.28,-32.94,-122.28,0,1,0,0
1859.70,-33.12,-125.96,0,1,0,0
1861.18,-33.30,-122.28,0,1,0,0
1862.65,-33.48,-122.28,0,1,0,0
1864.11,-33.66,-122.95,0,1,0,0
1865.58,-33.84,-122.87,0,1,0,0
1867.04,-34.02,-123.03,0,1,0,0
1868.55,-34.20,-119.05,0,1,0,0
1869.97,-34.38,-127.12,0,1,0,0
1871.43,-34.56,-123.29,0,1,0,0
1872.89,-34.74,-123.54,0,1,0,0
1874.34,-34.92,-123.80,0,1,0,0
1875.79,-35.10,-123.88,0,1,0,0
1877.24,-35.28,-124.40,0,1,0,0
1878.69,-35.46,-124.22,0,1,0,0
1880.14,-35.64,-124.65,0,1,0,0
1881.58,-35.82,-124.74,0,1,0,0
1883.02,-36.00,-125.17,0,1,0,0
1884.46,-36.18,-124.65,0,1,0,0
1885.88,-36.36,-126.32,0,1,0,0
1887.32,-36.54,-125.44,0,1,0,0
1888.75,-36.72,-126.05,0,1,0,0
1890.18,-36.90,-125.79,0,1,0,0
1891.61,-37.08,-126.05,0,1,0,0
1893.03,-37.26,-126.23,0,1,0,0
1894.46,-37.44,-126.14,0,1,0,0
1895.89,-37.62,-125.70,0,1,0,0
1897.32,-37.80,-126.14,0,1,0,0
1898.75,-37.98,-125.44,0,1,0,0
1900.19,-38.16,-125.35,0,1,0,0
1901.68,-38.34,-121.21,0,1,0,0
1903.07,-38.52,-129.12,0,1,0,0
1904.50,-38.70,-125.35,0,1,0,0
1905.95,-38.88,-124.22,0,1,0,0
1907.41,-39.06,-124.05,0,1,0,0
1908.91,-39.24,-119.52,0,1,0,0
1910.32,-39.42,-127.39,0,1,0,0
1911.79,-39.60,-122.70,0,1,0,0
1913.26,-39.78,-122.45,0,1,0,0
1914.79,-39.96,-117.65,0,1,0,0
1916.28,-40.14,-121.05,0,1,0,0
1917.78,-40.32,-120.24,0,1,0,0
1919.23,-40.50,-123.71,0,1,0,0
1920.74,-40.68,-119.21,0,1,0,0
1922.31,-40.86,-114.87,0,1,0,0
1923.83,-41.04,-117.80,0,1,0,0
1925.38,-41.22,-116.81,0,1,0,0
1926.88,-41.40,-119.92,0,1,0,0
1928.43,-41.58,-115.76,0,1,0,0
1930.05,-41.76,-111.39,0,1,0,0
1931.63,-41.94,-113.78,0,1,0,0
1933.17,-42.12,-116.96,0,1,0,0
1934.77,-42.30,-112.43,0,1,0,0
1936.43,-42.48,-108.70,0,1,0,0
1938.05,-42.66,-111.04,0,1,0,0
1939.63,-42.84,-113.64,0,1,0,0
1941.27,-43.02,-109.69,0,1,0,0
1942.97,-43.20,-105.88,0,1,0,0
1944.64,-43.38,-107.98,0,1,0,0
1946.31,-43.56,-107.59,0,1,0,0
1947.95,-43.74,-109.56,0,1,0,0
1949.70,-43.92,-102.80,0,1,0,0
1951.42,-44.10,-105.14,0,1,0,0
1953.11,-44.28,-106.57,0,1,0,0
1954.85,-44.46,-103.21,0,1,0,0
1956.66,-44.64,-99.50,0,1,0,0
1958.43,-44.82,-101.69,0,1,0,0
1960.21,-45.00,-100.84,0,1,0,0
1961.96,-45.18,-103.03,0,1,0,0
1963.82,-45.36,-97.09,0,1,0,0
1965.63,-45.54,-99.39,0,1,0,0
1967.40,-45.72,-101.58,0,1,0,0
1969.22,-45.90,-98.58,0,1,0,0
1971.09,-46.08,-96.26,0,1,0,0
1972.93,-46.26,-98.15,0,1,0,0
1974.75,-46.44,-98.58,0,1,0,0
1976.54,-46.62,-100.84,0,1,0,0
1978.38,-46.80,-98.04,0,1,0,0
1980.20,-46.98,-98.36,0,1,0,0
1982.04,-47.16,-98.15,0,1,0,0
1983.87,-47.34,-98.36,0,1,0,0
