Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.94,-0.24,-0.00,0,0,0,0
6.25,-0.24,-0.00,0,1,0,0
11.65,-0.24,-0.00,0,1,0,0
17.05,-0.24,-0.00,0,1,0,0
22.46,-0.24,-0.00,0,1,0,0
27.88,-0.48,-10.23,0,1,0,0
33.29,-0.48,-10.23,0,1,0,0
38.71,-0.48,-10.23,0,1,0,0
44.12,-0.48,-10.23,0,1,0,0
49.54,-0.48,-10.23,0,1,0,0
54.95,-0.48,-10.23,0,1,0,0
60.47,-0.48,-10.23,0,1,0,0
65.89,-0.48,-10.23,0,1,0,0
71.30,-0.48,-10.23,0,1,0,0
76.72,-0.48,-10.23,0,1,0,0
82.14,-0.48,-10.23,0,1,0,0
87.32,-0.48,-10.23,0,1,0,0
92.47,-0.48,-10.23,0,1,0,0
97.64,-0.48,-10.23,0,1,0,0
102.81,-0.48,-10.23,0,1,0,0
107.97,-0.48,-10.23,0,1,0,0
113.08,-0.48,-10.23,0,1,0,0
118.23,-0.48,-10.23,0,1,0,0
123.40,-0.48,-10.23,0,1,0,0
128.56,-0.48,-10.23,0,1,0,0
133.74,-0.48,-10.23,0,1,0,0
138.90,-0.48,-10.23,0,1,0,0
144.06,-0.48,-10.23,0,1,0,0
149.23,-0.48,-10.23,0,1,0,0
154.39,-0.48,-10.23,0,1,0,0
159.56,-0.48,-10.23,0,1,0,0
164.72,-0.48,-10.23,0,1,0,0
169.88,-0.48,-10.23,0,1,0,0
175.05,-0.48,-10.23,0,1,0,0
180.20,-0.48,-10.23,0,1,0,0
185.36,-0.48,-10.23,0,1,0,0
190.51,-0.48,-10.23,0,1,0,0
195.67,-0.48,-10.23,0,1,0,0
200.82,-0.48,-10.23,0,1,0,0
205.97,-0.48,-10.23,0,1,0,0
211.13,-0.48,-10.23,0,1,0,0
216.28,-0.48,-10.23,0,1,0,0
221.44,-0.48,-10.23,0,1,0,0
226.59,-0.48,-10.23,0,1,0,0
231.74,-0.48,-10.23,0,1,0,0
236.90,-0.48,-10.23,0,1,0,0
242.06,-0.48,-10.23,0,1,0,0
247.21,-0.48,-10.23,0,1,0,0
252.37,-0.48,-10.23,0,1,0,0
257.52,-0.48,-10.23,0,1,0,0
262.68,-0.48,-10.23,0,1,0,0
267.83,-0.48,-10.23,0,1,0,0
272.98,-0.48,-10.23,0,1,0,0
278.14,-0.48,-10.23,0,1,0,0
283.29,-0.48,-10.23,0,1,0,0
288.45,-0.48,-10.23,0,1,0,0
293.60,-0.48,-10.23,0,1,0,0
298.76,-0.48,-10.23,0,1,0,0
303.91,-0.48,-10.23,0,1,0,0
309.07,-0.48,-10.23,0,1,0,0
314.22,-0.48,-10.23,0,1,0,0
319.37,-0.48,-10.23,0,1,0,0
324.53,-0.48,-10.23,0,1,0,0
329.68,-0.48,-10.23,0,1,0,0
334.85,-0.48,-10.23,0,1,0,0
340.00,-0.48,-10.23,0,1,0,0
345.17,-0.48,-10.23,0,1,0,0
350.27,-0.48,-10.23,0,1,0,0
355.37,-0.48,-10.23,0,1,0,0
360.54,-0.48,-10.23,0,1,0,0
365.64,-0.48,-10.23,0,1,0,0
370.79,-0.48,-10.23,0,1,0,0
375.88,-0.48,-10.23,0,1,0,0
381.03,-0.48,-10.23,0,1,0,0
386.12,-0.48,-10.23,0,1,0,0
391.27,-0.48,-10.23,0,1,0,0
396.36,-0.48,-10.23,0,1,0,0
401.51,-0.48,-10.23,0,1,0,0
406.65,-0.48,-10.23,0,1,0,0
411.80,-0.48,-10.23,0,1,0,0
416.94,-0.48,-10.23,0,1,0,0
422.04,-0.48,-10.23,0,1,0,0
427.19,-0.48,-10.23,0,1,0,0
432.28,-0.48,-10.23,0,1,0,0
437.43,-0.48,-10.23,0,1,0,0
442.52,-0.48,-10.23,0,1,0,0
447.67,-0.48,-10.23,0,1,0,0
452.76,-0.48,-10.23,0,1,0,0
457.91,-0.48,-10.23,0,1,0,0
463.00,-0.48,-10.23,0,1,0,0
468.14,-0.24,0.54,0,1,0,0
473.24,-0.24,0.54,0,1,0,0
478.38,-0.24,0.54,0,1,0,0
483.53,-0.24,0.54,0,1,0,0
488.62,-0.24,0.54,0,1,0,0
493.76,-0.24,0.54,0,1,0,0
498.86,-0.24,0.54,0,1,0,0
504.00,-0.24,0.54,0,1,0,0
509.10,-0.24,0.54,0,1,0,0
514.24,-0.24,0.54,0,1,0,0
519.34,-0.24,0.54,0,1,0,0
524.48,-0.24,0.54,0,1,0,0
529.58,-0.24,0.54,0,1,0,0
534.72,-0.24,0.54,0,1,0,0
539.81,-0.24,0.54,0,1,0,0
544.96,-0.24,0.54,0,1,0,0
550.10,-0.24,0.54,0,1,0,0
555.24,-0.24,0.54,0,1,0,0
560.38,-0.24,0.54,0,1,0,0
565.48,-0.24,0.54,0,1,0,0
570.62,-0.24,0.54,0,1,0,0
575.72,-0.24,0.54,0,1,0,0
580.86,-0.24,0.54,0,1,0,0
585.96,-0.24,0.54,0,1,0,0
591.10,-0.24,0.54,0,1,0,0
596.19,-0.24,0.54,0,1,0,0
601.34,-0.24,0.54,0,1,0,0
606.43,-0.24,0.54,0,1,0,0
611.58,-0.24,0.54,0,1,0,0
616.72,-0.24,0.54,0,1,0,0
621.87,-0.24,0.54,0,1,0,0
627.02,-0.24,0.54,0,1,0,0
632.11,0.00,1.49,0,1,0,0
637.25,0.00,1.49,0,1,0,0
642.35,0.00,1.49,0,1,0,0
647.49,0.00,1.49,0,1,0,0
652.58,0.00,1.49,0,1,0,0
657.73,0.00,1.49,0,1,0,0
662.82,0.00,1.49,0,1,0,0
667.97,0.00,1.49,0,1,0,0
673.06,0.00,1.49,0,1,0,0
678.20,0.00,1.49,0,1,0,0
683.29,0.00,1.49,0,1,0,0
688.44,0.00,1.49,0,1,0,0
693.58,0.00,1.49,0,1,0,0
698.67,0.24,3.61,0,1,0,0
703.82,0.24,3.61,0,1,0,0
708.91,0.24,3.61,0,1,0,0
714.06,0.24,3.61,0,1,0,0
719.15,0.24,3.61,0,1,0,0
724.30,0.24,3.61,0,1,0,0
729.39,0.24,3.61,0,1,0,0
734.54,0.24,3.61,0,1,0,0
739.64,0.24,3.61,0,1,0,0
744.79,0.24,3.61,0,1,0,0
749.88,0.24,3.61,0,1,0,0
755.02,0.24,3.61,0,1,0,0
760.17,0.24,3.61,0,1,0,0
765.23,0.24,3.61,0,1,0,0
770.47,0.24,3.61,0,1,0,0
775.56,0.00,-3.13,0,1,0,0
780.71,0.00,-3.13,0,1,0,0
785.85,0.00,-3.13,0,1,0,0
791.00,0.00,-3.13,0,1,0,0
796.14,0.00,-3.13,0,1,0,0
801.29,0.00,-3.13,0,1,0,0
806.44,0.00,-3.13,0,1,0,0
811.58,-0.24,-6.90,0,1,0,0
816.73,-0.24,-6.90,0,1,0,0
821.88,-0.24,-6.90,0,1,0,0
827.03,-0.24,-6.90,0,1,0,0
832.17,-0.24,-6.90,0,1,0,0
837.32,-0.24,-6.90,0,1,0,0
842.47,-0.48,-7.46,0,1,0,0
847.61,-0.48,-7.46,0,1,0,0
852.76,-0.48,-7.46,0,1,0,0
857.91,-0.48,-7.46,0,1,0,0
863.05,-0.48,-7.46,0,1,0,0
868.20,-0.48,-7.46,0,1,0,0
873.35,-0.72,-7.95,0,1,0,0
878.50,-0.72,-7.95,0,1,0,0
883.65,-0.72,-7.95,0,1,0,0
888.80,-0.72,-7.95,0,1,0,0
893.95,-0.72,-7.95,0,1,0,0
899.09,-0.96,-8.43,0,1,0,0
904.24,-0.96,-8.43,0,1,0,0
909.39,-0.96,-8.43,0,1,0,0
914.53,-0.96,-8.43,0,1,0,0
