Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.20,-0.24,-0.00,0,0,0,0
6.65,-0.24,-0.00,0,0,1,0
12.19,-0.24,-0.00,0,0,1,0
17.60,-0.24,-0.00,0,0,1,0
22.88,-0.24,-0.00,0,0,1,0
28.29,-0.24,-0.00,0,0,1,0
33.70,-0.24,-0.00,0,0,1,0
38.93,-0.24,-0.00,0,0,1,0
44.23,-0.24,-0.00,0,0,1,0
49.47,-0.24,-0.00,0,0,1,0
54.78,-0.24,-0.00,0,0,1,0
60.09,-0.24,-0.00,0,0,1,0
65.29,-0.24,-0.00,0,0,1,0
70.59,-0.24,-0.00,0,0,1,0
75.81,-0.24,-0.00,0,0,1,0
81.14,-0.24,-0.00,0,0,1,0
86.44,-0.24,-0.00,0,0,1,0
91.78,-0.24,-0.00,0,0,1,0
97.09,-0.24,-0.00,0,0,1,0
102.27,-0.24,-0.00,0,0,1,0
107.43,-0.24,-0.00,0,0,1,0
112.59,-0.24,-0.00,0,0,1,0
117.74,-0.24,-0.00,0,0,1,0
122.90,-0.24,-0.00,0,0,1,0
128.06,-0.24,-0.00,0,0,1,0
133.21,-0.24,-0.00,0,0,1,0
138.37,-0.24,-0.00,0,0,1,0
143.54,-0.48,-1.69,0,0,1,0
148.69,-0.48,-1.69,0,0,1,0
153.85,-0.48,-1.69,0,0,1,0
159.00,-0.48,-1.69,0,0,1,0
164.14,-0.48,-1.69,0,0,1,0
169.29,-0.48,-1.69,0,0,1,0
174.44,-0.48,-1.69,0,0,1,0
179.59,-0.48,-1.69,0,0,1,0
184.73,-0.48,-1.69,0,0,1,0
189.88,-0.48,-1.69,0,0,1,0
195.03,-0.48,-1.69,0,0,1,0
200.17,-0.48,-1.69,0,0,1,0
205.32,-0.48,-1.69,0,0,1,0
210.47,-0.48,-1.69,0,0,1,0
215.57,-0.48,-1.69,0,0,1,0
220.71,-0.48,-1.69,0,0,1,0
225.86,-0.48,-1.69,0,0,1,0
231.01,-0.48,-1.69,0,0,1,0
236.15,-0.48,-1.69,0,0,1,0
241.30,-0.72,-2.44,0,0,1,0
246.45,-0.72,-2.44,0,0,1,0
251.59,-0.72,-2.44,0,0,1,0
256.74,-0.72,-2.44,0,0,1,0
261.89,-0.72,-2.44,0,0,1,0
267.03,-0.72,-2.44,0,0,1,0
272.18,-0.72,-2.44,0,0,1,0
277.33,-0.72,-2.44,0,0,1,0
282.47,-0.72,-2.44,0,0,1,0
287.62,-0.72,-2.44,0,0,1,0
292.77,-0.72,-2.44,0,0,1,0
297.91,-0.72,-2.44,0,0,1,0
303.07,-0.72,-2.44,0,0,1,0
308.22,-0.72,-2.44,0,0,1,0
313.37,-0.72,-2.44,0,0,1,0
318.52,-0.72,-2.44,0,0,1,0
323.67,-0.72,-2.44,0,0,1,0
328.81,-0.72,-2.44,0,0,1,0
333.96,-0.72,-2.44,0,0,1,0
339.11,-0.72,-2.44,0,0,1,0
344.25,-0.72,-2.44,0,0,1,0
349.40,-0.72,-2.44,0,0,1,0
354.55,-0.72,-2.44,0,0,1,0
359.70,-0.72,-2.44,0,0,1,0
364.84,-0.72,-2.44,0,0,1,0
369.99,-0.72,-2.44,0,0,1,0
375.14,-0.72,-2.44,0,0,1,0
380.28,-0.72,-2.44,0,0,1,0
385.43,-0.72,-2.44,0,0,1,0
390.58,-0.72,-2.44,0,0,1,0
395.73,-0.72,-2.44,0,0,1,0
400.87,-0.72,-2.44,0,0,1,0
406.02,-0.72,-2.44,0,0,1,0
411.17,-0.72,-2.44,0,0,1,0
416.25,-0.72,-2.44,0,0,1,0
421.33,-0.72,-2.44,0,0,1,0
426.39,-0.72,-2.44,0,0,1,0
431.45,-0.72,-2.44,0,0,1,0
436.51,-0.72,-2.44,0,0,1,0
441.57,-0.72,-2.44,0,0,1,0
446.63,-0.72,-2.44,0,0,1,0
451.69,-0.72,-2.44,0,0,1,0
456.75,-0.72,-2.44,0,0,1,0
461.81,-0.72,-2.44,0,0,1,0
466.88,-0.72,-2.44,0,0,1,0
471.94,-0.72,-2.44,0,0,1,0
477.00,-0.72,-2.44,0,0,1,0
482.06,-0.72,-2.44,0,0,1,0
487.13,-0.72,-2.44,0,0,1,0
492.19,-0.72,-2.44,0,0,1,0
497.25,-0.72,-2.44,0,0,1,0
502.31,-0.72,-2.44,0,0,1,0
507.37,-0.48,0.91,0,0,1,0
512.43,-0.48,0.91,0,0,1,0
517.50,-0.48,0.91,0,0,1,0
522.56,-0.48,0.91,0,0,1,0
527.62,-0.48,0.91,0,0,1,0
532.68,-0.48,0.91,0,0,1,0
537.75,-0.48,0.91,0,0,1,0
542.80,-0.48,0.91,0,0,1,0
547.87,-0.48,0.91,0,0,1,0
552.93,-0.48,0.91,0,0,1,0
557.99,-0.48,0.91,0,0,1,0
563.05,-0.48,0.91,0,0,1,0
568.12,-0.48,0.91,0,0,1,0
573.18,-0.48,0.91,0,0,1,0
578.24,-0.48,0.91,0,0,1,0
583.30,-0.48,0.91,0,0,1,0
588.36,-0.48,0.91,0,0,1,0
593.42,-0.48,0.91,0,0,1,0
598.49,-0.48,0.91,0,0,1,0
603.55,-0.48,0.91,0,0,1,0
608.61,-0.48,0.91,0,0,1,0
613.67,-0.48,0.91,0,0,1,0
618.73,-0.48,0.91,0,0,1,0
623.79,-0.48,0.91,0,0,1,0
628.85,-0.48,0.91,0,0,1,0
633.91,-0.48,0.91,0,0,1,0
638.97,-0.48,0.91,0,0,1,0
644.03,-0.48,0.91,0,0,1,0
649.09,-0.48,0.91,0,0,1,0
654.15,-0.48,0.91,0,0,1,0
659.21,-0.48,0.91,0,0,1,0
664.27,-0.48,0.91,0,0,1,0
669.33,-0.48,0.91,0,0,1,0
674.39,-0.48,0.91,0,0,1,0
679.45,-0.48,0.91,0,0,1,0
684.51,-0.48,0.91,0,0,1,0
689.57,-0.48,0.91,0,0,1,0
694.63,-0.48,0.91,0,0,1,0
699.69,-0.48,0.91,0,0,1,0
704.75,-0.48,0.91,0,0,1,0
709.81,-0.48,0.91,0,0,1,0
714.87,-0.48,0.91,0,0,1,0
719.93,-0.48,0.91,0,0,1,0
724.99,-0.48,0.91,0,0,1,0
