Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.82,-0.24,-0.00,0,0,0,0
6.15,-0.24,-0.00,0,0,0,0
11.36,-0.24,-0.00,0,0,0,0
16.66,0.00,14.65,0,0,0,0
21.97,-0.24,-48.14,0,0,0,0
27.29,-0.48,-85.99,0,0,0,0
32.60,-0.48,-85.99,0,0,0,0
37.95,-0.48,-85.99,0,0,0,0
43.29,-0.48,-85.99,0,0,0,0
48.63,-0.48,-85.99,0,0,0,0
53.97,-0.48,-85.99,0,0,0,0
59.30,-0.48,-85.99,0,0,0,0
64.64,-0.48,-85.99,0,0,0,0
69.94,-0.48,-85.99,0,0,0,0
75.25,-0.48,-85.99,0,0,0,0
80.56,-0.24,4.66,0,0,0,0
85.88,-0.24,4.66,0,0,0,0
91.18,-0.24,4.66,0,0,0,0
96.36,-0.24,4.66,0,0,0,0
101.47,-0.24,4.66,0,0,0,0
106.62,-0.24,4.66,0,0,0,0
111.78,-0.24,4.66,0,0,0,0
116.93,-0.24,4.66,0,0,0,0
122.09,-0.24,4.66,0,0,0,0
127.25,-0.24,4.66,0,0,0,0
132.40,-0.24,4.66,0,0,0,0
137.56,0.00,3.97,0,0,0,0
142.71,0.00,3.97,0,0,0,0
147.86,0.00,3.97,0,0,0,0
153.01,0.00,3.97,0,0,0,0
158.16,0.00,3.97,0,0,0,0
163.31,0.00,3.97,0,0,0,0
168.46,0.00,3.97,0,0,0,0
173.61,0.00,3.97,0,0,0,0
178.75,0.24,5.69,0,0,0,0
183.90,0.24,5.69,0,0,0,0
189.05,0.24,5.69,0,0,0,0
194.20,0.24,5.69,0,0,0,0
199.35,0.24,5.69,0,0,0,0
204.50,0.24,5.69,0,0,0,0
209.64,0.24,5.69,0,0,0,0
214.74,0.48,6.76,0,0,0,0
219.88,0.48,6.76,0,0,0,0
224.98,0.48,6.76,0,0,0,0
230.12,0.48,6.76,0,0,0,0
235.27,0.48,6.76,0,0,0,0
240.43,0.48,6.76,0,0,0,0
245.57,0.48,6.76,0,0,0,0
250.67,0.72,7.26,0,0,0,0
255.82,0.72,7.26,0,0,0,0
260.91,0.72,7.26,0,0,0,0
266.06,0.72,7.26,0,0,0,0
271.15,0.72,7.26,0,0,0,0
276.30,0.72,7.26,0,0,0,0
281.40,0.96,7.85,0,0,0,0
286.54,0.96,7.85,0,0,0,0
291.64,0.96,7.85,0,0,0,0
296.78,0.96,7.85,0,0,0,0
301.88,0.96,7.85,0,0,0,0
306.98,1.20,8.32,0,0,0,0
312.07,1.20,8.32,0,0,0,0
317.22,1.20,8.32,0,0,0,0
322.37,1.20,8.32,0,0,0,0
327.53,1.20,8.32,0,0,0,0
332.69,1.20,8.32,0,0,0,0
337.86,1.44,8.69,0,0,0,0
343.02,1.44,8.69,0,0,0,0
348.18,1.44,8.69,0,0,0,0
353.33,1.44,8.69,0,0,0,0
358.48,1.44,8.69,0,0,0,0
363.62,1.68,9.03,0,0,0,0
368.77,1.68,9.03,0,0,0,0
373.92,1.68,9.03,0,0,0,0
379.07,1.68,9.03,0,0,0,0
384.22,1.68,9.03,0,0,0,0
389.37,1.92,9.14,0,0,0,0
394.51,1.92,9.14,0,0,0,0
399.66,1.92,9.14,0,0,0,0
404.81,1.92,9.14,0,0,0,0
409.96,1.92,9.14,0,0,0,0
415.11,2.16,9.20,0,0,0,0
420.25,2.16,9.20,0,0,0,0
425.40,2.16,9.20,0,0,0,0
430.55,2.16,9.20,0,0,0,0
435.70,2.16,9.20,0,0,0,0
440.85,2.40,9.52,0,0,0,0
446.00,2.40,9.52,0,0,0,0
451.14,2.40,9.52,0,0,0,0
456.29,2.40,9.52,0,0,0,0
461.44,2.40,9.52,0,0,0,0
466.59,2.64,9.64,0,0,0,0
471.74,2.64,9.64,0,0,0,0
476.89,2.64,9.64,0,0,0,0
482.05,2.64,9.64,0,0,0,0
487.19,2.64,9.64,0,0,0,0
492.34,2.88,9.40,0,0,0,0
497.50,2.88,9.40,0,0,0,0
502.65,2.88,9.40,0,0,0,0
507.79,2.88,9.40,0,0,0,0
512.94,2.88,9.40,0,0,0,0
518.09,3.12,9.45,0,0,0,0
523.24,3.12,9.45,0,0,0,0
528.38,3.12,9.45,0,0,0,0
533.53,3.12,9.45,0,0,0,0
538.68,3.12,9.45,0,0,0,0
543.83,3.36,9.40,0,0,0,0
548.98,3.36,9.40,0,0,0,0
554.13,3.36,9.40,0,0,0,0
559.27,3.36,9.40,0,0,0,0
564.42,3.36,9.40,0,0,0,0
569.57,3.60,9.15,0,0,0,0
574.72,3.60,9.15,0,0,0,0
579.87,3.60,9.15,0,0,0,0
585.02,3.60,9.15,0,0,0,0
590.16,3.60,9.15,0,0,0,0
595.31,3.84,8.76,0,0,0,0
600.46,3.84,8.76,0,0,0,0
605.61,3.84,8.76,0,0,0,0
610.76,3.84,8.76,0,0,0,0
615.90,3.84,8.76,0,0,0,0
621.05,3.84,8.76,0,0,0,0
626.20,4.08,8.40,0,0,0,0
631.35,4.08,8.40,0,0,0,0
636.50,4.08,8.40,0,0,0,0
641.65,4.08,8.40,0,0,0,0
646.79,4.08,8.40,0,0,0,0
651.94,4.32,7.94,0,0,0,0
