Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.11,-0.24,-0.00,0,0,0,0
6.43,-0.24,-0.00,0,0,0,0
11.84,-0.24,-0.00,0,0,0,0
17.12,-0.24,-0.00,0,0,0,0
22.59,-0.24,-0.00,0,0,0,0
28.00,-0.24,119.58,0,0,0,0
33.30,-0.24,119.58,0,0,0,0
38.72,0.00,25.63,0,0,0,0
44.13,0.00,25.63,0,0,0,0
49.64,0.00,25.63,0,0,0,0
55.06,0.00,25.63,0,0,0,0
60.48,0.00,25.63,0,0,0,0
65.94,0.00,25.63,0,0,0,0
71.36,0.00,25.63,0,0,0,0
77.57,0.00,25.63,0,0,0,0
82.67,0.00,25.63,0,0,0,0
87.86,-0.24,-5.00,0,0,0,0
92.97,-0.24,-5.00,0,0,0,0
98.14,-0.24,-5.00,0,0,0,0
103.30,-0.24,-5.00,0,0,0,0
108.45,-0.24,-5.00,0,0,0,0
113.63,-0.24,-5.00,0,0,0,0
118.79,-0.24,-5.00,0,0,0,0
123.94,-0.24,-5.00,0,0,0,0
129.10,-0.24,-5.00,0,0,0,0
134.29,-0.24,-5.00,0,0,0,0
139.45,-0.24,-5.00,0,0,0,0
144.61,-0.48,-4.01,0,0,0,0
149.77,-0.48,-4.01,0,0,0,0
154.93,-0.48,-4.01,0,0,0,0
160.09,-0.48,-4.01,0,0,0,0
165.25,-0.48,-4.01,0,0,0,0
170.39,-0.48,-4.01,0,0,0,0
175.54,-0.48,-4.01,0,0,0,0
180.69,-0.48,-4.01,0,0,0,0
185.84,-0.72,-5.78,0,0,0,0
190.99,-0.72,-5.78,0,0,0,0
196.14,-0.72,-5.78,0,0,0,0
201.28,-0.72,-5.78,0,0,0,0
206.43,-0.72,-5.78,0,0,0,0
211.58,-0.72,-5.78,0,0,0,0
216.73,-0.72,-5.78,0,0,0,0
221.88,-0.96,-6.79,0,0,0,0
227.03,-0.96,-6.79,0,0,0,0
232.17,-0.96,-6.79,0,0,0,0
237.32,-0.96,-6.79,0,0,0,0
242.47,-0.96,-6.79,0,0,0,0
247.62,-0.96,-6.79,0,0,0,0
252.76,-1.20,-7.43,0,0,0,0
257.91,-1.20,-7.43,0,0,0,0
263.06,-1.20,-7.43,0,0,0,0
268.21,-1.20,-7.43,0,0,0,0
273.36,-1.20,-7.43,0,0,0,0
278.51,-1.20,-7.43,0,0,0,0
283.65,-1.44,-8.01,0,0,0,0
288.80,-1.44,-8.01,0,0,0,0
293.95,-1.44,-8.01,0,0,0,0
299.10,-1.44,-8.01,0,0,0,0
304.26,-1.44,-8.01,0,0,0,0
309.36,-1.44,-8.01,0,0,0,0
314.51,-1.68,-8.55,0,0,0,0
319.61,-1.68,-8.55,0,0,0,0
324.76,-1.68,-8.55,0,0,0,0
329.86,-1.68,-8.55,0,0,0,0
335.00,-1.68,-8.55,0,0,0,0
340.10,-1.92,-8.97,0,0,0,0
345.25,-1.92,-8.97,0,0,0,0
350.35,-1.92,-8.97,0,0,0,0
355.49,-1.92,-8.97,0,0,0,0
360.64,-1.92,-8.97,0,0,0,0
365.80,-2.16,-9.62,0,0,0,0
370.94,-2.16,-9.62,0,0,0,0
376.04,-2.16,-9.62,0,0,0,0
381.19,-2.16,-9.62,0,0,0,0
386.28,-2.16,-9.62,0,0,0,0
391.43,-2.40,-9.65,0,0,0,0
396.52,-2.40,-9.65,0,0,0,0
401.67,-2.40,-9.65,0,0,0,0
406.76,-2.40,-9.65,0,0,0,0
411.91,-2.64,-10.00,0,0,0,0
417.00,-2.64,-10.00,0,0,0,0
422.15,-2.64,-10.00,0,0,0,0
427.25,-2.64,-10.00,0,0,0,0
432.39,-2.64,-10.00,0,0,0,0
437.54,-2.88,-10.26,0,0,0,0
442.63,-2.88,-10.26,0,0,0,0
447.78,-2.88,-10.26,0,0,0,0
452.88,-2.88,-10.26,0,0,0,0
458.02,-3.12,-10.29,0,0,0,0
463.12,-3.12,-10.29,0,0,0,0
468.26,-3.12,-10.29,0,0,0,0
473.36,-3.12,-10.29,0,0,0,0
478.50,-3.12,-10.29,0,0,0,0
483.60,-3.36,-10.51,0,0,0,0
488.74,-3.36,-10.51,0,0,0,0
493.84,-3.36,-10.51,0,0,0,0
498.98,-3.36,-10.51,0,0,0,0
504.13,-3.60,-10.28,0,0,0,0
509.19,-3.60,-10.28,0,0,0,0
514.35,-3.60,-10.28,0,0,0,0
519.45,-3.60,-10.28,0,0,0,0
524.60,-3.60,-10.28,0,0,0,0
529.69,-3.84,-10.36,0,0,0,0
534.84,-3.84,-10.36,0,0,0,0
539.93,-3.84,-10.36,0,0,0,0
545.08,-3.84,-10.36,0,0,0,0
550.18,-3.84,-10.36,0,0,0,0
555.32,-4.08,-10.00,0,0,0,0
560.42,-4.08,-10.00,0,0,0,0
565.56,-4.08,-10.00,0,0,0,0
570.66,-4.08,-10.00,0,0,0,0
575.81,-4.32,-9.96,0,0,0,0
580.95,-4.32,-9.96,0,0,0,0
586.05,-4.32,-9.96,0,0,0,0
591.20,-4.32,-9.96,0,0,0,0
596.29,-4.32,-9.96,0,0,0,0
601.44,-4.56,-9.67,0,0,0,0
606.53,-4.56,-9.67,0,0,0,0
611.68,-4.56,-9.67,0,0,0,0
616.77,-4.56,-9.67,0,0,0,0
621.92,-4.56,-9.67,0,0,0,0
627.01,-4.80,-9.20,0,0,0,0
632.16,-4.80,-9.20,0,0,0,0
637.31,-4.80,-9.20,0,0,0,0
642.46,-4.80,-9.20,0,0,0,0
647.61,-4.80,-9.20,0,0,0,0
652.71,-5.04,-8.92,0,0,0,0
657.85,-5.04,-8.92,0,0,0,0
662.95,-5.04,-8.92,0,0,0,0
668.09,-5.04,-8.92,0,0,0,0
673.19,-5.04,-8.92,0,0,0,0
678.34,-5.04,-8.92,0,0,0,0
683.43,-5.28,-8.39,0,0,0,0
688.58,-5.28,-8.39,0,0,0,0
693.67,-5.28,-8.39,0,0,0,0
698.82,-5.28,-8.39,0,0,0,0
703.97,-5.28,-8.39,0,0,0,0
709.13,-5.28,-8.39,0,0,0,0
714.24,-5.52,-7.72,0,0,0,0
719.40,-5.52,-7.72,0,0,0,0
724.49,-5.52,-7.72,0,0,0,0
729.64,-5.52,-7.72,0,0,0,0
734.79,-5.52,-7.72,0,0,0,0
739.93,-5.52,-7.72,0,0,0,0
745.08,-5.52,-7.72,0,0,0,0
750.23,-5.76,-6.88,0,0,0,0
755.38,-5.76,-6.88,0,0,0,0
760.48,-5.76,-6.88,0,0,0,0
765.71,-5.76,-6.88,0,0,0,0
770.86,-5.76,-6.88,0,0,0,0
776.00,-5.76,-6.88,0,0,0,0
781.15,-5.76,-6.88,0,0,0,0
786.30,-6.00,-6.14,0,0,0,0
791.45,-6.00,-6.14,0,0,0,0
796.60,-6.00,-6.14,0,0,0,0
801.75,-6.00,-6.14,0,0,0,0
806.89,-6.00,-6.14,0,0,0,0
812.04,-6.00,-6.14,0,0,0,0
817.19,-6.00,-6.14,0,0,0,0
822.34,-6.00,-6.14,0,0,0,0
827.49,-6.00,-6.14,0,0,0,0
832.63,-6.00,-6.14,0,0,0,0
837.79,-6.24,-5.06,0,0,0,0
842.94,-6.24,-5.06,0,0,0,0
848.09,-6.24,-5.06,0,0,0,0
853.24,-6.24,-5.06,0,0,0,0
858.38,-6.24,-5.06,0,0,0,0
863.48,-6.24,-5.06,0,0,0,0
868.62,-6.24,-5.06,0,0,0,0
