Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.62,-0.24,-0.00,0,0,0,0
7.16,-0.24,-0.00,0,1,0,0
12.58,-0.24,-0.00,0,1,0,0
17.90,-0.24,-0.00,0,1,0,0
23.23,-0.24,-0.00,0,1,0,0
28.56,-0.24,-0.00,0,1,0,0
33.99,-0.24,-0.00,0,1,0,0
39.41,-0.24,-0.00,0,1,0,0
44.84,-0.24,-0.00,0,1,0,0
50.30,-0.24,-0.00,0,1,0,0
55.72,-0.24,-0.00,0,1,0,0
61.64,-0.24,-0.00,0,1,0,0
66.87,-0.24,-0.00,0,1,0,0
72.06,-0.24,-0.00,0,1,0,0
77.23,-0.24,-0.00,0,1,0,0
82.38,-0.24,-0.00,0,1,0,0
87.62,-0.24,-0.00,0,1,0,0
92.76,-0.24,-0.00,0,1,0,0
97.90,-0.24,-0.00,0,1,0,0
103.09,-0.24,-0.00,0,1,0,0
108.28,-0.24,-0.00,0,1,0,0
113.47,-0.24,-0.00,0,1,0,0
118.61,-0.24,-0.00,0,1,0,0
123.74,-0.24,-0.00,0,1,0,0
128.94,-0.24,-0.00,0,1,0,0
134.08,-0.24,-0.00,0,1,0,0
139.27,-0.24,-0.00,0,1,0,0
144.37,-0.24,-0.00,0,1,0,0
149.51,-0.24,-0.00,0,1,0,0
154.61,-0.24,-0.00,0,1,0,0
159.75,-0.24,-0.00,0,1,0,0
164.85,-0.24,-0.00,0,1,0,0
170.00,-0.24,-0.00,0,1,0,0
175.15,-0.24,-0.00,0,1,0,0
180.29,-0.24,-0.00,0,1,0,0
185.44,-0.24,-0.00,0,1,0,0
190.54,-0.24,-0.00,0,1,0,0
195.69,-0.24,-0.00,0,1,0,0
200.79,-0.24,-0.00,0,1,0,0
205.94,-0.24,-0.00,0,1,0,0
211.04,-0.24,-0.00,0,1,0,0
216.18,-0.24,-0.00,0,1,0,0
221.28,-0.24,-0.00,0,1,0,0
226.42,-0.24,-0.00,0,1,0,0
231.51,-0.24,-0.00,0,1,0,0
236.66,-0.24,-0.00,0,1,0,0
241.81,-0.24,-0.00,0,1,0,0
246.95,-0.24,-0.00,0,1,0,0
252.10,-0.24,-0.00,0,1,0,0
257.19,-0.24,-0.00,0,1,0,0
262.30,-0.24,-0.00,0,1,0,0
267.39,-0.24,-0.00,0,1,0,0
272.53,-0.24,-0.00,0,1,0,0
277.62,-0.24,-0.00,0,1,0,0
282.77,-0.24,-0.00,0,1,0,0
287.88,-0.24,-0.00,0,1,0,0
293.02,-0.24,-0.00,0,1,0,0
298.12,-0.24,-0.00,0,1,0,0
303.22,-0.24,-0.00,0,1,0,0
308.31,-0.24,-0.00,0,1,0,0
313.41,-0.24,-0.00,0,1,0,0
318.50,-0.24,-0.00,0,1,0,0
323.65,-0.24,-0.00,0,1,0,0
328.79,-0.24,-0.00,0,1,0,0
333.89,-0.24,-0.00,0,1,0,0
339.03,-0.24,-0.00,0,1,0,0
344.13,-0.24,-0.00,0,1,0,0
349.27,-0.24,-0.00,0,1,0,0
354.37,-0.24,-0.00,0,1,0,0
359.51,-0.24,-0.00,0,1,0,0
364.61,-0.24,-0.00,0,1,0,0
369.70,-0.24,-0.00,0,1,0,0
374.80,-0.24,-0.00,0,1,0,0
379.94,-0.24,-0.00,0,1,0,0
385.03,-0.24,-0.00,0,1,0,0
390.18,-0.24,-0.00,0,1,0,0
395.32,-0.24,-0.00,0,1,0,0
400.42,-0.24,-0.00,0,1,0,0
405.56,-0.24,-0.00,0,1,0,0
410.66,-0.24,-0.00,0,1,0,0
415.76,-0.24,-0.00,0,1,0,0
420.85,-0.24,-0.00,0,1,0,0
426.00,-0.24,-0.00,0,1,0,0
431.10,-0.24,-0.00,0,1,0,0
436.24,-0.24,-0.00,0,1,0,0
441.33,-0.24,-0.00,0,1,0,0
446.48,-0.24,-0.00,0,1,0,0
451.57,-0.24,-0.00,0,1,0,0
456.72,-0.24,-0.00,0,1,0,0
461.81,-0.24,-0.00,0,1,0,0
466.96,-0.24,-0.00,0,1,0,0
472.10,-0.24,-0.00,0,1,0,0
477.19,-0.24,-0.00,0,1,0,0
482.34,-0.24,-0.00,0,1,0,0
487.43,-0.24,-0.00,0,1,0,0
492.58,-0.24,-0.00,0,1,0,0
497.67,-0.24,-0.00,0,1,0,0
502.82,-0.24,-0.00,0,1,0,0
507.91,-0.24,-0.00,0,1,0,0
513.06,-0.24,-0.00,0,1,0,0
518.15,-0.24,-0.00,0,1,0,0
