Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.05,-0.18,-0.00,0,0,0,0
2.17,-0.18,-0.00,0,1,0,0
3.27,-0.18,-0.00,0,1,0,0
4.38,-0.18,-0.00,0,1,0,0
5.48,0.00,11.47,0,1,0,0
6.63,0.00,11.47,0,1,0,0
7.69,0.00,11.47,0,1,0,0
8.75,0.00,11.47,0,1,0,0
9.81,0.00,11.47,0,1,0,0
10.87,0.00,11.47,0,1,0,0
11.93,0.00,11.47,0,1,0,0
12.99,0.00,11.47,0,1,0,0
14.05,0.00,11.47,0,1,0,0
15.11,0.00,11.47,0,1,0,0
16.17,0.00,11.47,0,1,0,0
17.23,0.00,11.47,0,1,0,0
18.29,0.00,11.47,0,1,0,0
19.35,0.00,11.47,0,1,0,0
20.41,0.00,11.47,0,1,0,0
21.48,0.00,11.47,0,1,0,0
22.54,0.00,11.47,0,1,0,0
23.60,0.00,11.47,0,1,0,0
24.66,0.00,11.47,0,1,0,0
25.72,0.00,11.47,0,1,0,0
26.78,0.00,11.47,0,1,0,0
27.84,0.00,11.47,0,1,0,0
28.90,0.00,11.47,0,1,0,0
29.96,0.00,11.47,0,1,0,0
31.02,0.00,11.47,0,1,0,0
32.08,0.00,11.47,0,1,0,0
33.14,0.00,11.47,0,1,0,0
34.20,0.00,11.47,0,1,0,0
35.26,0.00,11.47,0,1,0,0
36.32,0.00,11.47,0,1,0,0
37.38,0.00,11.47,0,1,0,0
38.44,0.00,11.47,0,1,0,0
39.50,0.00,11.47,0,1,0,0
40.56,0.00,11.47,0,1,0,0
41.62,0.00,11.47,0,1,0,0
42.69,0.00,11.47,0,1,0,0
43.75,0.00,11.47,0,1,0,0
44.81,0.00,11.47,0,1,0,0
45.87,0.00,11.47,0,1,0,0
46.93,0.00,11.47,0,1,0,0
47.99,0.00,11.47,0,1,0,0
49.05,0.00,11.47,0,1,0,0
50.11,0.18,4.07,0,1,0,0
51.16,0.18,4.07,0,1,0,0
52.23,0.18,4.07,0,1,0,0
53.28,0.18,4.07,0,1,0,0
54.34,0.18,4.07,0,1,0,0
55.40,0.18,4.07,0,1,0,0
56.46,0.18,4.07,0,1,0,0
57.52,0.18,4.07,0,1,0,0
58.58,0.18,4.07,0,1,0,0
59.64,0.18,4.07,0,1,0,0
60.70,0.18,4.07,0,1,0,0
61.76,0.18,4.07,0,1,0,0
62.82,0.18,4.07,0,1,0,0
63.88,0.18,4.07,0,1,0,0
64.94,0.18,4.07,0,1,0,0
66.00,0.18,4.07,0,1,0,0
67.06,0.18,4.07,0,1,0,0
68.12,0.18,4.07,0,1,0,0
69.18,0.18,4.07,0,1,0,0
70.24,0.18,4.07,0,1,0,0
71.30,0.18,4.07,0,1,0,0
72.36,0.18,4.07,0,1,0,0
73.42,0.18,4.07,0,1,0,0
74.48,0.18,4.07,0,1,0,0
75.54,0.18,4.07,0,1,0,0
76.60,0.18,4.07,0,1,0,0
77.66,0.18,4.07,0,1,0,0
78.72,0.18,4.07,0,1,0,0
79.78,0.18,4.07,0,1,0,0
80.84,0.18,4.07,0,1,0,0
81.90,0.18,4.07,0,1,0,0
82.96,0.18,4.07,0,1,0,0
84.02,0.18,4.07,0,1,0,0
85.08,0.18,4.07,0,1,0,0
86.14,0.18,4.07,0,1,0,0
87.20,0.18,4.07,0,1,0,0
88.26,0.18,4.07,0,1,0,0
89.32,0.18,4.07,0,1,0,0
90.38,0.18,4.07,0,1,0,0
91.44,0.18,4.07,0,1,0,0
92.50,0.18,4.07,0,1,0,0
93.56,0.18,4.07,0,1,0,0
94.62,0.18,4.07,0,1,0,0
95.69,0.18,4.07,0,1,0,0
96.75,0.18,4.07,0,1,0,0
97.80,0.18,4.07,0,1,0,0
98.86,0.18,4.07,0,1,0,0
99.89,0.36,3.61,0,1,0,0
100.95,0.36,3.61,0,1,0,0
102.01,0.36,3.61,0,1,0,0
103.07,0.36,3.61,0,1,0,0
104.13,0.36,3.61,0,1,0,0
105.19,0.36,3.61,0,1,0,0
106.25,0.36,3.61,0,1,0,0
107.31,0.36,3.61,0,1,0,0
108.37,0.36,3.61,0,1,0,0
109.43,0.36,3.61,0,1,0,0
110.49,0.36,3.61,0,1,0,0
111.55,0.36,3.61,0,1,0,0
112.61,0.36,3.61,0,1,0,0
113.67,0.36,3.61,0,1,0,0
114.73,0.36,3.61,0,1,0,0
115.79,0.36,3.61,0,1,0,0
116.85,0.36,3.61,0,1,0,0
117.91,0.36,3.61,0,1,0,0
118.97,0.36,3.61,0,1,0,0
120.03,0.36,3.61,0,1,0,0
121.09,0.36,3.61,0,1,0,0
122.15,0.36,3.61,0,1,0,0
123.21,0.36,3.61,0,1,0,0
