Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.56,-0.18,-0.00,0,0,0,0
5.72,-0.18,-0.00,0,1,0,0
10.82,-0.18,-0.00,0,1,0,0
15.93,-0.18,-0.00,0,1,0,0
21.03,0.00,12.28,0,1,0,0
26.17,0.00,12.28,0,1,0,0
31.28,0.00,12.28,0,1,0,0
36.39,0.00,12.28,0,1,0,0
41.50,0.00,12.28,0,1,0,0
46.62,0.00,12.28,0,1,0,0
51.72,-0.18,-8.20,0,1,0,0
56.82,-0.18,-8.20,0,1,0,0
61.98,-0.18,-8.20,0,1,0,0
67.08,-0.18,-8.20,0,1,0,0
72.24,-0.18,-8.20,0,1,0,0
77.39,-0.18,-8.20,0,1,0,0
82.55,-0.18,-8.20,0,1,0,0
87.65,-0.18,-8.20,0,1,0,0
92.77,-0.18,-8.20,0,1,0,0
97.88,-0.18,-8.20,0,1,0,0
102.98,-0.18,-8.20,0,1,0,0
108.12,-0.18,-8.20,0,1,0,0
113.22,-0.18,-8.20,0,1,0,0
118.37,-0.18,-8.20,0,1,0,0
123.47,-0.18,-8.20,0,1,0,0
128.62,-0.18,-8.20,0,1,0,0
133.71,-0.18,-8.20,0,1,0,0
138.86,-0.18,-8.20,0,1,0,0
144.01,-0.18,-8.20,0,1,0,0
149.16,-0.18,-8.20,0,1,0,0
154.31,-0.18,-8.20,0,1,0,0
159.46,-0.18,-8.20,0,1,0,0
164.61,-0.18,-8.20,0,1,0,0
169.76,-0.18,-8.20,0,1,0,0
174.91,-0.18,-8.20,0,1,0,0
180.06,-0.18,-8.20,0,1,0,0
185.21,-0.18,-8.20,0,1,0,0
190.36,-0.18,-8.20,0,1,0,0
195.51,-0.18,-8.20,0,1,0,0
200.66,-0.18,-8.20,0,1,0,0
205.82,-0.18,-8.20,0,1,0,0
210.96,-0.18,-8.20,0,1,0,0
216.10,-0.18,-8.20,0,1,0,0
221.25,-0.18,-8.20,0,1,0,0
226.35,-0.18,-8.20,0,1,0,0
231.50,-0.18,-8.20,0,1,0,0
236.59,-0.18,-8.20,0,1,0,0
241.74,-0.18,-8.20,0,1,0,0
246.85,-0.18,-8.20,0,1,0,0
252.00,-0.18,-8.20,0,1,0,0
257.10,-0.18,-8.20,0,1,0,0
262.25,-0.18,-8.20,0,1,0,0
267.34,-0.18,-8.20,0,1,0,0
272.49,-0.18,-8.20,0,1,0,0
277.64,-0.18,-8.20,0,1,0,0
282.76,-0.18,-8.20,0,1,0,0
287.91,-0.18,-8.20,0,1,0,0
293.01,-0.18,-8.20,0,1,0,0
298.15,-0.18,-8.20,0,1,0,0
303.25,-0.18,-8.20,0,1,0,0
308.40,-0.18,-8.20,0,1,0,0
313.50,-0.18,-8.20,0,1,0,0
318.66,-0.18,-8.20,0,1,0,0
323.76,-0.18,-8.20,0,1,0,0
328.82,-0.18,-8.20,0,1,0,0
333.88,-0.18,-8.20,0,1,0,0
338.95,-0.18,-8.20,0,1,0,0
344.01,-0.18,-8.20,0,1,0,0
349.07,-0.18,-8.20,0,1,0,0
354.14,-0.18,-8.20,0,1,0,0
359.20,-0.18,-8.20,0,1,0,0
364.26,-0.18,-8.20,0,1,0,0
369.33,-0.18,-8.20,0,1,0,0
374.39,-0.18,-8.20,0,1,0,0
379.45,-0.18,-8.20,0,1,0,0
384.52,-0.18,-8.20,0,1,0,0
389.58,-0.18,-8.20,0,1,0,0
394.64,-0.18,-8.20,0,1,0,0
399.70,-0.18,-8.20,0,1,0,0
404.77,-0.18,-8.20,0,1,0,0
409.83,-0.18,-8.20,0,1,0,0
414.89,-0.18,-8.20,0,1,0,0
419.96,-0.18,-8.20,0,1,0,0
425.02,-0.18,-8.20,0,1,0,0
430.08,-0.18,-8.20,0,1,0,0
435.15,-0.18,-8.20,0,1,0,0
440.21,-0.18,-8.20,0,1,0,0
445.27,-0.18,-8.20,0,1,0,0
450.33,-0.18,-8.20,0,1,0,0
455.40,-0.18,-8.20,0,1,0,0
460.46,-0.18,-8.20,0,1,0,0
