Time,Degree,Velocity,Electromagnet_1_Clutch,Electromagnet_2_Clutch,Electromagnet_3_Clutch,Electromagnet_4_Clutch
0.92,-0.24,-0.00,0,1,0,0
6.23,-0.24,-0.00,0,1,0,0
11.63,-0.24,-0.00,0,1,0,0
17.03,-0.24,-0.00,0,1,0,0
22.32,-0.24,-0.00,0,1,0,0
27.73,-0.24,-0.00,0,1,0,0
33.15,-0.24,-0.00,0,1,0,0
38.58,-0.24,-0.00,0,1,0,0
44.02,-0.24,-0.00,0,1,0,0
49.43,-0.24,-0.00,0,1,0,0
54.85,-0.24,-0.00,0,1,0,0
60.27,-0.24,-0.00,0,1,0,0
65.68,-0.24,-0.00,0,1,0,0
71.11,-0.24,-0.00,0,1,0,0
76.53,-0.24,-0.00,0,1,0,0
81.96,-0.24,-0.00,0,1,0,0
87.37,-0.24,-0.00,0,1,0,0
92.78,-0.24,-0.00,0,1,0,0
98.16,-0.24,-0.00,0,1,0,0
103.52,-0.24,-0.00,0,1,0,0
108.93,-0.24,-0.00,0,1,0,0
114.35,-0.24,-0.00,0,1,0,0
119.76,-0.24,-0.00,0,1,0,0
125.22,-0.24,-0.00,0,1,0,0
130.34,-0.24,-0.00,0,1,0,0
135.50,-0.24,-0.00,0,1,0,0
140.65,-0.24,-0.00,0,1,0,0
145.81,-0.24,-0.00,0,1,0,0
150.96,-0.24,-0.00,0,1,0,0
156.12,-0.24,-0.00,0,1,0,0
161.27,-0.24,-0.00,0,1,0,0
166.43,-0.24,-0.00,0,1,0,0
171.57,-0.24,-0.00,0,1,0,0
176.72,-0.24,-0.00,0,1,0,0
181.86,-0.24,-0.00,0,1,0,0
187.01,-0.24,-0.00,0,1,0,0
192.15,-0.24,-0.00,0,1,0,0
197.30,-0.24,-0.00,0,1,0,0
202.44,-0.24,-0.00,0,1,0,0
207.59,-0.24,-0.00,0,1,0,0
212.73,-0.24,-0.00,0,1,0,0
217.88,-0.24,-0.00,0,1,0,0
223.02,-0.24,-0.00,0,1,0,0
228.17,-0.24,-0.00,0,1,0,0
233.31,-0.24,-0.00,0,1,0,0
238.46,-0.24,-0.00,0,1,0,0
243.60,-0.24,-0.00,0,1,0,0
248.75,-0.24,-0.00,0,1,0,0
253.90,-0.24,-0.00,0,1,0,0
259.04,-0.24,-0.00,0,1,0,0
264.19,-0.24,-0.00,0,1,0,0
269.33,-0.24,-0.00,0,1,0,0
274.48,-0.24,-0.00,0,1,0,0
279.62,-0.24,-0.00,0,1,0,0
284.77,-0.24,-0.00,0,1,0,0
289.91,-0.24,-0.00,0,1,0,0
295.07,-0.24,-0.00,0,1,0,0
300.22,-0.24,-0.00,0,1,0,0
305.36,-0.24,-0.00,0,1,0,0
310.51,-0.24,-0.00,0,1,0,0
315.65,-0.24,-0.00,0,1,0,0
320.80,-0.24,-0.00,0,1,0,0
