Time,Degree,Velocity
0.37,0.00,-0.00
5.50,0.00,-0.00
10.62,0.00,-0.00
15.73,0.00,-0.00
20.85,0.00,-0.00
25.97,0.00,-0.00
31.09,0.00,-0.00
36.20,0.00,-0.00
41.32,0.00,-0.00
46.43,0.00,-0.00
51.55,0.00,-0.00
56.66,0.00,-0.00
61.78,0.00,-0.00
66.90,0.00,-0.00
72.01,0.00,-0.00
77.13,0.00,-0.00
82.24,0.00,-0.00
87.36,0.00,-0.00
92.48,0.00,-0.00
97.60,0.00,-0.00
102.72,0.00,-0.00
107.84,0.00,-0.00
112.95,0.00,-0.00
118.07,0.00,-0.00
123.19,0.00,-0.00
128.31,0.00,-0.00
133.42,0.00,-0.00
138.54,0.00,-0.00
143.66,0.00,-0.00
148.77,0.00,-0.00
153.88,0.00,-0.00
159.00,0.00,-0.00
164.12,0.00,-0.00
169.23,0.00,-0.00
174.35,0.00,-0.00
179.47,0.00,-0.00
184.58,0.00,-0.00
189.70,0.00,-0.00
194.89,0.00,-0.00
200.02,0.00,-0.00
205.15,0.00,-0.00
210.28,0.00,-0.00
215.41,0.00,-0.00
220.53,0.00,-0.00
225.66,0.00,-0.00
230.78,0.00,-0.00
235.91,0.00,-0.00
241.04,0.00,-0.00
246.17,0.00,-0.00
251.30,0.00,-0.00
256.43,0.00,-0.00
261.55,0.00,-0.00
266.68,0.00,-0.00
271.81,0.00,-0.00
276.94,0.00,-0.00
282.06,0.00,-0.00
287.19,0.00,-0.00
292.32,0.00,-0.00
297.52,0.00,-0.00
302.64,0.00,-0.00
307.76,0.00,-0.00
312.87,0.00,-0.00
317.99,0.00,-0.00
323.11,0.00,-0.00
328.28,0.00,-0.00
333.45,0.00,-0.00
338.62,0.00,-0.00
343.79,0.00,-0.00
348.96,0.00,-0.00
354.13,0.00,-0.00
359.30,0.00,-0.00
364.47,0.00,-0.00
369.64,0.00,-0.00
374.81,0.00,-0.00
379.98,0.00,-0.00
385.14,0.00,-0.00
390.31,0.00,-0.00
395.48,0.00,-0.00
400.67,0.00,-0.00
405.84,0.00,-0.00
411.01,0.00,-0.00
416.18,0.00,-0.00
421.35,0.00,-0.00
426.52,0.00,-0.00
431.69,0.00,-0.00
436.86,0.00,-0.00
442.02,0.00,-0.00
447.19,0.00,-0.00
452.36,0.00,-0.00
457.53,0.00,-0.00
462.70,0.00,-0.00
467.87,0.00,-0.00
473.04,0.00,-0.00
478.21,0.00,-0.00
483.38,0.00,-0.00
488.55,0.00,-0.00
493.71,0.00,-0.00
498.88,0.00,-0.00
504.11,0.00,-0.00
509.30,0.00,-0.00
514.49,0.00,-0.00
519.68,0.00,-0.00
524.87,0.00,-0.00
530.06,0.00,-0.00
535.25,0.00,-0.00
540.43,0.00,-0.00
545.62,0.00,-0.00
550.81,0.00,-0.00
556.00,0.00,-0.00
561.19,0.00,-0.00
566.38,0.00,-0.00
571.57,0.00,-0.00
576.76,0.00,-0.00
581.95,0.00,-0.00
587.14,0.00,-0.00
592.32,0.00,-0.00
597.51,0.00,-0.00
602.70,0.00,-0.00
607.92,0.00,-0.00
613.11,0.00,-0.00
618.30,0.00,-0.00
623.49,0.00,-0.00
628.67,0.00,-0.00
633.86,0.00,-0.00
639.05,0.00,-0.00
644.23,0.00,-0.00
649.42,0.00,-0.00
654.61,0.00,-0.00
659.80,0.00,-0.00
664.99,0.00,-0.00
670.18,0.00,-0.00
675.37,0.00,-0.00
680.55,0.00,-0.00
685.75,0.00,-0.00
691.63,0.00,-0.00
696.86,0.00,-0.00
702.09,0.00,-0.00
711.16,0.00,-0.00
716.31,0.00,-0.00
721.46,0.00,-0.00
726.62,0.00,-0.00
731.75,0.00,-0.00
736.87,0.00,-0.00
741.98,0.00,-0.00
747.09,0.00,-0.00
752.20,0.00,-0.00
757.30,0.00,-0.00
762.41,0.00,-0.00
767.52,0.00,-0.00
772.62,0.00,-0.00
777.73,0.00,-0.00
782.84,0.00,-0.00
787.95,0.00,-0.00
793.06,0.00,-0.00
798.17,0.00,-0.00
803.28,0.00,-0.00
808.40,0.00,-0.00
813.54,0.00,-0.00
818.65,0.00,-0.00
823.76,0.00,-0.00
828.87,0.00,-0.00
833.97,0.00,-0.00
839.08,0.00,-0.00
844.18,0.00,-0.00
849.29,0.00,-0.00
854.40,0.00,-0.00
859.51,0.00,-0.00
864.62,0.00,-0.00
869.72,0.00,-0.00
874.83,0.00,-0.00
879.93,0.00,-0.00
885.04,0.00,-0.00
890.15,0.00,-0.00
895.25,0.00,-0.00
900.36,0.00,-0.00
905.47,0.00,-0.00
910.57,0.00,-0.00
915.75,0.00,-0.00
920.87,0.00,-0.00
926.00,0.00,-0.00
931.12,0.00,-0.00
936.24,0.00,-0.00
941.37,0.00,-0.00
946.49,0.00,-0.00
951.61,0.00,-0.00
956.74,0.00,-0.00
961.87,0.00,-0.00
967.00,0.00,-0.00
972.12,0.00,-0.00
977.24,0.00,-0.00
982.37,0.00,-0.00
987.49,0.00,-0.00
992.61,0.00,-0.00
997.74,0.00,-0.00
1002.86,0.00,-0.00
1007.98,0.00,-0.00
1013.10,0.00,-0.00
1018.25,0.00,-0.00
1023.37,0.00,-0.00
1028.49,0.00,-0.00
1033.62,0.00,-0.00
1038.74,0.00,-0.00
1043.86,0.00,-0.00
1048.99,0.00,-0.00
1054.11,0.00,-0.00
1059.23,0.00,-0.00
1064.35,0.00,-0.00
1069.48,0.00,-0.00
1074.60,0.00,-0.00
1079.72,0.00,-0.00
1084.85,0.00,-0.00
1089.97,0.00,-0.00
1095.10,0.00,-0.00
1100.22,0.00,-0.00
1105.34,0.00,-0.00
1110.46,0.00,-0.00
1115.59,0.00,-0.00
1120.73,0.00,-0.00
1125.86,0.00,-0.00
1130.98,0.00,-0.00
1136.10,0.00,-0.00
1141.22,0.00,-0.00
1146.35,0.00,-0.00
1151.47,0.00,-0.00
1156.59,0.00,-0.00
1161.71,0.00,-0.00
1166.96,0.00,-0.00
1172.09,0.00,-0.00
1177.21,0.00,-0.00
1182.34,0.00,-0.00
1187.46,0.00,-0.00
1192.58,0.00,-0.00
1197.71,0.00,-0.00
1202.83,0.00,-0.00
1207.95,0.00,-0.00
1213.07,0.00,-0.00
1218.20,0.00,-0.00
1223.35,0.00,-0.00
1228.47,0.00,-0.00
1233.59,0.00,-0.00
1238.72,0.00,-0.00
1243.84,0.00,-0.00
1248.96,0.00,-0.00
1254.08,0.00,-0.00
1259.20,0.00,-0.00
1264.33,0.00,-0.00
1269.45,0.00,-0.00
1274.58,0.00,-0.00
1279.70,0.00,-0.00
1284.82,0.00,-0.00
1289.94,0.00,-0.00
1295.07,0.00,-0.00
1300.19,0.00,-0.00
1305.31,0.00,-0.00
1310.43,0.00,-0.00
1315.56,0.00,-0.00
1320.68,0.00,-0.00
1325.81,0.00,-0.00
1330.93,0.00,-0.00
1336.06,0.00,-0.00
1341.18,0.00,-0.00
1346.30,0.00,-0.00
1351.42,0.00,-0.00
1356.55,0.00,-0.00
1361.67,0.00,-0.00
1366.79,0.00,-0.00
1371.91,0.00,-0.00
1377.03,0.00,-0.00
1382.15,0.00,-0.00
1387.28,0.00,-0.00
1392.40,0.00,-0.00
1397.52,0.00,-0.00
1402.64,0.00,-0.00
1407.77,0.00,-0.00
1412.89,0.00,-0.00
1418.01,0.00,-0.00
1423.13,0.00,-0.00
1428.27,0.00,-0.00
1433.39,0.00,-0.00
1438.51,0.00,-0.00
1443.63,0.00,-0.00
1448.76,0.00,-0.00
1453.88,0.00,-0.00
1459.00,0.00,-0.00
1464.12,0.00,-0.00
1469.24,0.00,-0.00
1474.37,0.00,-0.00
1479.49,0.00,-0.00
1484.61,0.00,-0.00
1489.73,0.00,-0.00
1494.86,0.00,-0.00
1499.98,0.00,-0.00
1505.10,0.00,-0.00
1510.22,0.00,-0.00
1515.35,0.00,-0.00
1520.47,0.00,-0.00
1525.59,0.00,-0.00
1530.72,0.00,-0.00
1535.85,0.00,-0.00
1540.97,0.00,-0.00
1546.09,0.00,-0.00
1551.21,0.00,-0.00
1556.34,0.00,-0.00
1561.46,0.00,-0.00
1566.58,0.00,-0.00
1571.70,0.00,-0.00
1576.83,0.00,-0.00
1581.95,0.00,-0.00
1587.07,0.00,-0.00
1592.19,0.00,-0.00
1597.32,0.00,-0.00
1602.44,0.00,-0.00
1607.56,0.00,-0.00
1612.68,0.00,-0.00
1617.80,0.00,-0.00
1622.92,0.00,-0.00
