Objects
100
,,Global Angle Demo:Demo,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.008700,-0.073699,-0.199859,61.565933,1063.150024,972.371765
2,0,-0.009556,-0.074410,-0.199510,61.553295,1063.170532,972.418152
3,0,-0.004737,-0.071810,-0.204105,61.641960,1063.226074,972.588928
4,0,-0.009281,-0.074959,-0.200374,61.536980,1063.132813,972.484009
5,0,-0.008781,-0.074944,-0.200630,61.532890,1063.107666,972.496521
6,0,-0.008287,-0.074568,-0.200776,61.540668,1063.113770,972.525146
7,0,-0.007953,-0.074461,-0.200595,61.534260,1063.119751,972.515076
8,0,-0.007958,-0.074498,-0.199648,61.528355,1063.154297,972.482971
9,0,-0.007989,-0.074600,-0.199281,61.514591,1063.201660,972.483276
10,0,-0.007884,-0.074995,-0.198973,61.507015,1063.232178,972.493713
11,0,-0.002359,-0.071309,-0.203144,61.623116,1063.326294,972.661560
12,0,-0.007067,-0.074772,-0.198981,61.531002,1063.244995,972.492493
13,0,-0.006451,-0.074225,-0.198995,61.537807,1063.200684,972.469788
14,0,-0.006767,-0.073566,-0.199417,61.556305,1063.172974,972.456482
15,0,-0.006470,-0.074009,-0.199268,61.559502,1063.175049,972.430359
16,0,-0.006378,-0.073842,-0.199663,61.562649,1063.202759,972.425232
17,0,-0.006915,-0.073836,-0.199574,61.560940,1063.226807,972.425659
18,0,-0.007758,-0.074178,-0.199363,61.562538,1063.238525,972.413574
19,0,-0.008653,-0.074560,-0.198927,61.583298,1063.246582,972.402222
20,0,-0.009009,-0.074089,-0.199772,61.599491,1063.233276,972.374207
21,0,-0.009061,-0.073605,-0.200386,61.622875,1063.187378,972.351868
22,0,-0.009099,-0.073382,-0.200820,61.639694,1063.152588,972.339050
23,0,-0.009397,-0.073728,-0.201319,61.636547,1063.138062,972.318909
24,0,-0.009776,-0.073872,-0.201547,61.647537,1063.120850,972.298096
25,0,-0.010405,-0.073799,-0.201990,61.673306,1063.107544,972.296387
26,0,-0.011020,-0.073716,-0.202472,61.690697,1063.079590,972.261902
27,0,-0.011490,-0.073557,-0.202999,61.693623,1063.044434,972.233154
28,0,-0.011843,-0.073122,-0.203422,61.722782,1063.008179,972.198425
29,0,-0.011934,-0.073730,-0.203954,61.737877,1062.980713,972.166870
30,0,-0.012341,-0.073523,-0.204709,61.771130,1062.966187,972.126709
31,0,-0.013975,-0.073393,-0.206192,61.775780,1062.992920,972.118835
32,0,-0.015712,-0.074776,-0.206366,61.779015,1063.050537,972.099243
33,0,-0.017601,-0.075340,-0.206833,61.767181,1063.085693,972.094604
34,0,-0.012018,-0.071166,-0.211243,61.846008,1063.190308,972.274170
35,0,-0.018149,-0.075844,-0.207629,61.752274,1063.081787,972.096497
36,0,-0.017672,-0.075669,-0.207739,61.741180,1063.069580,972.130798
37,0,-0.017684,-0.075745,-0.207652,61.732613,1063.056274,972.155334
38,0,-0.017713,-0.075784,-0.207480,61.735943,1063.087402,972.166077
39,0,-0.017958,-0.075489,-0.207051,61.734104,1063.105469,972.158081
40,0,-0.017881,-0.076009,-0.206749,61.745842,1063.122314,972.135559
41,0,-0.017840,-0.076525,-0.206542,61.742928,1063.150513,972.152527
42,0,-0.018044,-0.076220,-0.206601,61.734104,1063.145630,972.188354
43,0,-0.018046,-0.076228,-0.206756,61.736641,1063.138062,972.222656
44,0,-0.017254,-0.077018,-0.207023,61.733215,1063.127319,972.246277
45,0,-0.017424,-0.077073,-0.206975,61.747307,1063.113892,972.258362
46,0,-0.017189,-0.076802,-0.206763,61.742065,1063.117554,972.273926
47,0,-0.017007,-0.076745,-0.206817,61.727192,1063.142456,972.282837
48,0,-0.017297,-0.076738,-0.206297,61.719936,1063.163574,972.301331
49,0,-0.017634,-0.077636,-0.206041,61.715332,1063.192993,972.327576
50,0,-0.017980,-0.077660,-0.205772,61.717976,1063.205078,972.351929
51,0,-0.017708,-0.077639,-0.205709,61.707748,1063.219238,972.377930
52,0,-0.017788,-0.077361,-0.205725,61.706409,1063.213867,972.377075
