Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.38,-0.24,-0.00,0,0,0,0
6.88,-0.24,-0.00,0,0,1,0
12.19,-0.24,-0.00,0,0,1,0
17.41,-0.24,-0.00,0,0,1,0
22.71,-0.24,-0.00,0,0,1,0
27.93,-0.24,-0.00,0,0,1,0
33.23,-0.24,-0.00,0,0,1,0
38.44,-0.24,-0.00,0,0,1,0
43.62,-0.24,-0.00,0,0,1,0
48.92,-0.24,-0.00,0,0,1,0
54.13,-0.24,-0.00,0,0,1,0
59.43,-0.24,-0.00,0,0,1,0
64.64,-0.24,-0.00,0,0,1,0
69.94,-0.24,-0.00,0,0,1,0
75.26,-0.24,-0.00,0,0,1,0
80.47,-0.24,-0.00,0,0,1,0
85.77,-0.24,-0.00,0,0,1,0
90.98,-0.24,-0.00,0,0,1,0
96.17,-0.24,-0.00,0,0,1,0
101.27,-0.24,-0.00,0,0,1,0
106.43,-0.24,-0.00,0,0,1,0
111.53,-0.24,-0.00,0,0,1,0
116.69,-0.24,-0.00,0,0,1,0
121.84,-0.24,-0.00,0,0,1,0
126.94,-0.24,-0.00,0,0,1,0
132.10,-0.24,-0.00,0,0,1,0
137.21,-0.24,-0.00,0,0,1,0
142.36,-0.24,-0.00,0,0,1,0
147.46,-0.24,-0.00,0,0,1,0
152.61,-0.24,-0.00,0,0,1,0
157.71,-0.24,-0.00,0,0,1,0
162.85,-0.24,-0.00,0,0,1,0
167.94,-0.24,-0.00,0,0,1,0
173.09,-0.24,-0.00,0,0,1,0
178.18,-0.24,-0.00,0,0,1,0
183.33,-0.24,-0.00,0,0,1,0
188.47,-0.24,-0.00,0,0,1,0
193.57,-0.24,-0.00,0,0,1,0
198.72,-0.24,-0.00,0,0,1,0
203.81,-0.24,-0.00,0,0,1,0
208.96,-0.24,-0.00,0,0,1,0
214.05,-0.24,-0.00,0,0,1,0
219.19,-0.24,-0.00,0,0,1,0
224.29,-0.24,-0.00,0,0,1,0
229.44,-0.24,-0.00,0,0,1,0
234.53,-0.24,-0.00,0,0,1,0
239.67,-0.24,-0.00,0,0,1,0
244.77,-0.24,-0.00,0,0,1,0
249.91,-0.24,-0.00,0,0,1,0
255.06,-0.24,-0.00,0,0,1,0
260.14,-0.24,-0.00,0,0,1,0
265.29,-0.24,-0.00,0,0,1,0
270.38,-0.24,-0.00,0,0,1,0
275.53,-0.24,-0.00,0,0,1,0
280.62,-0.24,-0.00,0,0,1,0
285.77,-0.24,-0.00,0,0,1,0
290.86,-0.24,-0.00,0,0,1,0
