Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
16516.81,-30.72,-0.13,0,0,1,0
16521.88,-30.72,-0.13,0,0,1,0
16526.95,-30.72,-0.13,0,0,1,0
16532.01,-30.72,-0.13,0,0,1,0
16537.08,-30.72,-0.13,0,0,1,0
16542.15,-30.72,-0.13,0,0,1,0
16547.21,-30.72,-0.13,0,0,1,0
16552.28,-30.72,-0.13,0,0,1,0
16557.35,-30.72,-0.13,0,0,1,0
16562.41,-30.72,-0.13,0,0,1,0
16567.48,-30.72,-0.13,0,0,1,0
16572.54,-30.72,-0.13,0,0,1,0
16577.61,-30.72,-0.13,0,0,1,0
16582.67,-30.72,-0.13,0,0,1,0
16587.74,-30.72,-0.13,0,0,1,0
16592.81,-30.72,-0.13,0,0,1,0
16597.88,-30.72,-0.13,0,0,1,0
16602.94,-30.72,-0.13,0,0,1,0
16608.01,-30.72,-0.13,0,0,1,0
16613.08,-30.72,-0.13,0,0,1,0
16618.14,-30.72,-0.13,0,0,1,0
16623.21,-30.72,-0.13,0,0,1,0
16628.28,-30.72,-0.13,0,0,1,0
16633.34,-30.72,-0.13,0,0,1,0
16638.41,-30.72,-0.13,0,0,1,0
16643.48,-30.72,-0.13,0,0,1,0
16648.55,-30.72,-0.13,0,0,1,0
16653.62,-30.72,-0.13,0,0,1,0
16658.68,-30.72,-0.13,0,0,1,0
16663.75,-30.72,-0.13,0,0,1,0
16668.82,-30.72,-0.13,0,0,1,0
16673.89,-30.72,-0.13,0,0,1,0
16678.96,-30.72,-0.13,0,0,1,0
16684.03,-30.72,-0.13,0,0,1,0
16689.1,-30.72,-0.13,0,0,1,0
16694.17,-30.72,-0.13,0,0,1,0
16699.21,-30.48,0.11,0,0,1,0
16704.28,-30.48,0.11,0,0,1,0
16709.35,-30.48,0.11,0,0,1,0
16714.42,-30.48,0.11,0,0,1,0
16719.49,-30.48,0.11,0,0,1,0
16724.56,-30.48,0.11,0,0,1,0
16729.62,-30.48,0.11,0,0,1,0
16734.69,-30.48,0.11,0,0,1,0
16739.76,-30.48,0.11,0,0,1,0
16744.83,-30.48,0.11,0,0,1,0
16749.9,-30.48,0.11,0,0,1,0
16754.97,-30.24,4.32,0,0,1,0
16760.03,-30.24,4.32,0,0,1,0
16765.11,-30.24,4.32,0,0,1,0
16770.17,-30.24,4.32,0,0,1,0
16775.24,-30,10.78,0,0,1,0
16780.31,-30,10.78,0,0,1,0
16785.38,-30,10.78,0,0,1,0
16790.45,-29.76,14.15,0,0,1,0
16795.52,-29.76,14.15,0,0,1,0
