Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
1.89,0.24,0.00,0,0,0,0
7.32,0.24,0.00,0,0,1,0
12.63,0.00,-19.64,0,0,1,0
17.93,0.00,-19.64,0,0,1,0
23.14,-0.24,-32.35,0,0,1,0
28.44,-0.48,-62.84,0,0,1,0
33.64,-0.96,-115.22,0,0,1,0
38.95,-0.96,-115.22,0,0,1,0
44.26,-0.96,-115.22,0,0,1,0
49.47,-0.96,-115.22,0,0,1,0
54.77,-0.96,-115.22,0,0,1,0
59.98,-0.96,-115.22,0,0,1,0
65.28,-0.96,-115.22,0,0,1,0
70.49,-0.96,-115.22,0,0,1,0
75.70,-0.96,-115.22,0,0,1,0
81.00,-0.96,-115.22,0,0,1,0
86.21,-0.96,-115.22,0,0,1,0
91.39,-1.20,-4.19,0,0,1,0
96.49,-1.20,-4.19,0,0,1,0
101.64,-1.20,-4.19,0,0,1,0
106.75,-1.20,-4.19,0,0,1,0
111.90,-1.20,-4.19,0,0,1,0
117.06,-1.20,-4.19,0,0,1,0
122.22,-1.20,-4.19,0,0,1,0
127.37,-1.20,-4.19,0,0,1,0
132.48,-1.20,-4.19,0,0,1,0
137.63,-1.20,-4.19,0,0,1,0
142.74,-1.20,-4.19,0,0,1,0
147.88,-1.20,-4.19,0,0,1,0
152.98,-1.20,-4.19,0,0,1,0
158.12,-1.20,-4.19,0,0,1,0
163.22,-1.20,-4.19,0,0,1,0
168.36,-1.20,-4.19,0,0,1,0
173.45,-1.20,-4.19,0,0,1,0
178.60,-1.20,-4.19,0,0,1,0
183.69,-1.20,-4.19,0,0,1,0
188.84,-1.20,-4.19,0,0,1,0
193.98,-1.20,-4.19,0,0,1,0
199.08,-1.20,-4.19,0,0,1,0
204.22,-1.20,-4.19,0,0,1,0
209.32,-1.20,-4.19,0,0,1,0
214.46,-1.20,-4.19,0,0,1,0
219.56,-1.20,-4.19,0,0,1,0
224.70,-1.20,-4.19,0,0,1,0
229.79,-1.20,-4.19,0,0,1,0
234.94,-1.20,-4.19,0,0,1,0
240.03,-0.96,1.62,0,0,1,0
245.18,-0.96,1.62,0,0,1,0
250.32,-0.96,1.62,0,0,1,0
255.48,-0.96,1.62,0,0,1,0
260.63,-0.96,1.62,0,0,1,0
265.72,-0.96,1.62,0,0,1,0
270.87,-0.96,1.62,0,0,1,0
275.96,-0.96,1.62,0,0,1,0
281.11,-0.96,1.62,0,0,1,0
286.20,-0.96,1.62,0,0,1,0
291.34,-0.96,1.62,0,0,1,0
296.44,-0.96,1.62,0,0,1,0
301.58,-0.96,1.62,0,0,1,0
306.68,-0.96,1.62,0,0,1,0
311.82,-0.96,1.62,0,0,1,0
316.92,-0.96,1.62,0,0,1,0
322.06,-0.96,1.62,0,0,1,0
327.21,-0.96,1.62,0,0,1,0
332.31,-0.96,1.62,0,0,1,0
337.45,-0.96,1.62,0,0,1,0
342.55,-0.96,1.62,0,0,1,0
347.64,-0.96,1.62,0,0,1,0
352.79,-0.96,1.62,0,0,1,0
357.89,-0.96,1.62,0,0,1,0
362.99,-0.96,1.62,0,0,1,0
368.13,-1.20,-1.85,0,0,1,0
373.23,-1.20,-1.85,0,0,1,0
378.37,-1.20,-1.85,0,0,1,0
383.46,-1.20,-1.85,0,0,1,0
388.61,-1.20,-1.85,0,0,1,0
393.75,-1.20,-1.85,0,0,1,0
398.95,-1.20,-1.85,0,0,1,0
404.10,-1.20,-1.85,0,0,1,0
409.19,-1.20,-1.85,0,0,1,0
414.33,-1.20,-1.85,0,0,1,0
419.43,-1.20,-1.85,0,0,1,0
424.57,-1.20,-1.85,0,0,1,0
429.72,-1.20,-1.85,0,0,1,0
434.87,-1.44,-3.52,0,0,1,0
440.02,-1.44,-3.52,0,0,1,0
445.16,-1.44,-3.52,0,0,1,0
450.31,-1.44,-3.52,0,0,1,0
455.46,-1.44,-3.52,0,0,1,0
460.63,-1.44,-3.52,0,0,1,0
465.78,-1.44,-3.52,0,0,1,0
470.93,-1.44,-3.52,0,0,1,0
476.08,-1.44,-3.52,0,0,1,0
481.22,-1.44,-3.52,0,0,1,0
486.37,-1.44,-3.52,0,0,1,0
491.53,-1.44,-3.52,0,0,1,0
496.68,-1.44,-3.52,0,0,1,0
501.82,-1.44,-3.52,0,0,1,0
506.97,-1.44,-3.52,0,0,1,0
512.12,-1.44,-3.52,0,0,1,0
517.26,-1.44,-3.52,0,0,1,0
522.36,-1.44,-3.52,0,0,1,0
527.51,-1.68,-2.61,0,0,1,0
532.66,-1.68,-2.61,0,0,1,0
537.81,-1.68,-2.61,0,0,1,0
542.95,-1.68,-2.61,0,0,1,0
548.10,-1.68,-2.61,0,0,1,0
553.25,-1.68,-2.61,0,0,1,0
558.39,-1.68,-2.61,0,0,1,0
563.54,-1.68,-2.61,0,0,1,0
568.69,-1.68,-2.61,0,0,1,0
573.83,-1.68,-2.61,0,0,1,0
578.98,-1.68,-2.61,0,0,1,0
584.13,-1.68,-2.61,0,0,1,0
589.27,-1.68,-2.61,0,0,1,0
594.42,-1.68,-2.61,0,0,1,0
599.57,-1.68,-2.61,0,0,1,0
604.71,-1.68,-2.61,0,0,1,0
609.86,-1.68,-2.61,0,0,1,0
615.01,-1.68,-2.61,0,0,1,0
620.15,-1.68,-2.61,0,0,1,0
625.30,-1.68,-2.61,0,0,1,0
630.45,-1.68,-2.61,0,0,1,0
