Time,Degree,Velocity,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
0.37,-0.24,-0.00,0,0,0,0
5.52,-0.24,-0.00,0,0,0,0
10.72,-0.24,-0.00,0,0,0,0
15.87,-0.24,-0.00,0,0,0,0
21.07,0.00,13.84,0,0,0,0
26.22,-0.24,-48.17,0,0,0,0
31.42,-0.24,-48.17,0,0,0,0
36.56,-0.24,-48.17,0,0,0,0
41.67,-0.24,-48.17,0,0,0,0
46.81,-0.24,-48.17,0,0,0,0
51.96,-0.24,-48.17,0,0,0,0
57.11,-0.24,-48.17,0,0,0,0
62.25,-0.24,-48.17,0,0,0,0
67.45,-0.24,-48.17,0,0,0,0
72.60,-0.24,-48.17,0,0,0,0
77.80,-0.24,-48.17,0,0,0,0
82.95,-0.24,-48.17,0,0,0,0
88.14,0.00,3.81,0,0,0,0
93.28,0.00,3.81,0,0,0,0
98.35,0.00,3.81,0,0,0,0
103.50,0.00,3.81,0,0,0,0
108.58,0.00,3.81,0,0,0,0
113.68,0.00,3.81,0,0,0,0
118.78,0.00,3.81,0,0,0,0
123.92,0.00,3.81,0,0,0,0
129.02,0.00,3.81,0,0,0,0
134.16,0.00,3.81,0,0,0,0
139.25,0.00,3.81,0,0,0,0
144.41,0.00,3.81,0,0,0,0
149.50,0.00,3.81,0,0,0,0
154.65,0.00,3.81,0,0,0,0
159.80,0.00,3.81,0,0,0,0
164.96,0.00,3.81,0,0,0,0
170.10,0.24,2.86,0,0,0,0
175.20,0.24,2.86,0,0,0,0
180.34,0.24,2.86,0,0,0,0
185.44,0.24,2.86,0,0,0,0
190.59,0.24,2.86,0,0,0,0
195.68,0.24,2.86,0,0,0,0
200.83,0.24,2.86,0,0,0,0
205.92,0.24,2.86,0,0,0,0
211.07,0.24,2.86,0,0,0,0
216.16,0.24,2.86,0,0,0,0
221.31,0.24,2.86,0,0,0,0
226.40,0.24,2.86,0,0,0,0
231.55,0.24,2.86,0,0,0,0
236.70,0.48,3.70,0,0,0,0
241.79,0.48,3.70,0,0,0,0
246.94,0.48,3.70,0,0,0,0
252.03,0.48,3.70,0,0,0,0
257.18,0.48,3.70,0,0,0,0
262.27,0.48,3.70,0,0,0,0
267.42,0.48,3.70,0,0,0,0
272.52,0.48,3.70,0,0,0,0
277.66,0.48,3.70,0,0,0,0
282.76,0.48,3.70,0,0,0,0
287.90,0.48,3.70,0,0,0,0
293.05,0.72,4.16,0,0,0,0
298.20,0.72,4.16,0,0,0,0
303.35,0.72,4.16,0,0,0,0
308.40,0.72,4.16,0,0,0,0
313.55,0.72,4.16,0,0,0,0
318.65,0.72,4.16,0,0,0,0
323.80,0.72,4.16,0,0,0,0
328.94,0.72,4.16,0,0,0,0
334.09,0.72,4.16,0,0,0,0
339.24,0.72,4.16,0,0,0,0
344.39,0.72,4.16,0,0,0,0
349.54,0.96,4.38,0,0,0,0
354.69,0.96,4.38,0,0,0,0
359.84,0.96,4.38,0,0,0,0
364.99,0.96,4.38,0,0,0,0
370.14,0.96,4.38,0,0,0,0
375.29,0.96,4.38,0,0,0,0
380.43,0.96,4.38,0,0,0,0
385.53,0.96,4.38,0,0,0,0
390.68,0.96,4.38,0,0,0,0
395.77,0.96,4.38,0,0,0,0
400.92,0.96,4.38,0,0,0,0
406.01,1.20,4.40,0,0,0,0
411.16,1.20,4.40,0,0,0,0
416.25,1.20,4.40,0,0,0,0
421.40,1.20,4.40,0,0,0,0
426.54,1.20,4.40,0,0,0,0
431.69,1.20,4.40,0,0,0,0
436.84,1.20,4.40,0,0,0,0
442.00,1.20,4.40,0,0,0,0
447.15,1.20,4.40,0,0,0,0
452.30,1.20,4.40,0,0,0,0
457.44,1.20,4.40,0,0,0,0
462.59,1.44,4.24,0,0,0,0
467.74,1.44,4.24,0,0,0,0
472.89,1.44,4.24,0,0,0,0
478.04,1.44,4.24,0,0,0,0
483.19,1.44,4.24,0,0,0,0
488.33,1.44,4.24,0,0,0,0
493.48,1.44,4.24,0,0,0,0
498.63,1.44,4.24,0,0,0,0
503.78,1.44,4.24,0,0,0,0
508.93,1.44,4.24,0,0,0,0
514.08,1.44,4.24,0,0,0,0
519.22,1.44,4.24,0,0,0,0
524.37,1.68,3.87,0,0,0,0
529.52,1.68,3.87,0,0,0,0
534.67,1.68,3.87,0,0,0,0
539.82,1.68,3.87,0,0,0,0
544.96,1.68,3.87,0,0,0,0
550.11,1.68,3.87,0,0,0,0
555.20,1.68,3.87,0,0,0,0
560.35,1.68,3.87,0,0,0,0
565.50,1.68,3.87,0,0,0,0
570.65,1.68,3.87,0,0,0,0
575.79,1.68,3.87,0,0,0,0
580.94,1.68,3.87,0,0,0,0
586.09,1.68,3.87,0,0,0,0
591.24,1.92,3.46,0,0,0,0
596.39,1.92,3.46,0,0,0,0
601.53,1.92,3.46,0,0,0,0
606.68,1.92,3.46,0,0,0,0
611.83,1.92,3.46,0,0,0,0
616.98,1.92,3.46,0,0,0,0
622.13,1.92,3.46,0,0,0,0
627.28,1.92,3.46,0,0,0,0
632.42,1.92,3.46,0,0,0,0
637.57,1.92,3.46,0,0,0,0
642.73,1.92,3.46,0,0,0,0
647.88,1.92,3.46,0,0,0,0
653.03,1.92,3.46,0,0,0,0
658.18,1.92,3.46,0,0,0,0
663.33,1.92,3.46,0,0,0,0
668.47,1.92,3.46,0,0,0,0
673.62,1.92,3.46,0,0,0,0
